instance_file ../instances/set_1/N_1000/Correia_Random_4_3_10_10.txt
config set1_3types_linear
algorithm AILS
run 1
seed 42
start_time 2026-05-02 11:21:42
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 55.407379
objective 76110.000000
total_bin_cost 76110
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 667 load 100
bin 1 type 0 capacity 100 cost 100 items 324 load 100
bin 2 type 0 capacity 100 cost 100 items 24 load 100
bin 3 type 0 capacity 100 cost 100 items 974 load 100
bin 4 type 0 capacity 100 cost 100 items 979 load 100
bin 5 type 0 capacity 100 cost 100 items 402 load 100
bin 6 type 0 capacity 100 cost 100 items 669 load 100
bin 7 type 0 capacity 100 cost 100 items 96 load 100
bin 8 type 0 capacity 100 cost 100 items 122 load 100
bin 9 type 0 capacity 100 cost 100 items 360 load 100
bin 10 type 2 capacity 150 cost 150 items 643 709 load 150
bin 11 type 0 capacity 100 cost 100 items 236 load 100
bin 12 type 0 capacity 100 cost 100 items 996 load 99
bin 13 type 2 capacity 150 cost 150 items 663 647 load 150
bin 14 type 2 capacity 150 cost 150 items 450 674 load 149
bin 15 type 2 capacity 150 cost 150 items 168 949 load 150
bin 16 type 0 capacity 100 cost 100 items 431 load 99
bin 17 type 0 capacity 100 cost 100 items 220 load 98
bin 18 type 0 capacity 100 cost 100 items 218 load 98
bin 19 type 0 capacity 100 cost 100 items 520 load 98
bin 20 type 0 capacity 100 cost 100 items 967 load 98
bin 21 type 2 capacity 150 cost 150 items 964 217 load 149
bin 22 type 2 capacity 150 cost 150 items 716 484 load 150
bin 23 type 2 capacity 150 cost 150 items 944 595 load 149
bin 24 type 0 capacity 100 cost 100 items 293 load 98
bin 25 type 0 capacity 100 cost 100 items 893 load 97
bin 26 type 2 capacity 150 cost 150 items 851 403 load 148
bin 27 type 2 capacity 150 cost 150 items 23 162 load 150
bin 28 type 2 capacity 150 cost 150 items 852 451 load 150
bin 29 type 2 capacity 150 cost 150 items 443 943 load 150
bin 30 type 2 capacity 150 cost 150 items 505 429 load 150
bin 31 type 2 capacity 150 cost 150 items 833 821 load 150
bin 32 type 2 capacity 150 cost 150 items 347 966 load 150
bin 33 type 0 capacity 100 cost 100 items 682 load 97
bin 34 type 2 capacity 150 cost 150 items 576 221 load 150
bin 35 type 2 capacity 150 cost 150 items 417 390 load 150
bin 36 type 2 capacity 150 cost 150 items 984 75 load 150
bin 37 type 2 capacity 150 cost 150 items 276 8 load 150
bin 38 type 2 capacity 150 cost 150 items 378 884 load 150
bin 39 type 2 capacity 150 cost 150 items 969 604 load 150
bin 40 type 2 capacity 150 cost 150 items 54 638 load 150
bin 41 type 2 capacity 150 cost 150 items 977 197 load 150
bin 42 type 2 capacity 150 cost 150 items 699 968 load 150
bin 43 type 2 capacity 150 cost 150 items 432 118 load 148
bin 44 type 2 capacity 150 cost 150 items 102 178 load 150
bin 45 type 2 capacity 150 cost 150 items 823 93 load 147
bin 46 type 2 capacity 150 cost 150 items 206 40 load 150
bin 47 type 2 capacity 150 cost 150 items 905 847 load 150
bin 48 type 2 capacity 150 cost 150 items 812 267 load 150
bin 49 type 2 capacity 150 cost 150 items 635 962 load 148
bin 50 type 2 capacity 150 cost 150 items 775 45 load 149
bin 51 type 2 capacity 150 cost 150 items 982 53 load 150
bin 52 type 2 capacity 150 cost 150 items 621 92 load 150
bin 53 type 2 capacity 150 cost 150 items 386 397 load 149
bin 54 type 2 capacity 150 cost 150 items 785 693 load 147
bin 55 type 2 capacity 150 cost 150 items 543 689 load 149
bin 56 type 2 capacity 150 cost 150 items 20 472 load 149
bin 57 type 2 capacity 150 cost 150 items 28 850 load 144
bin 58 type 2 capacity 150 cost 150 items 248 804 load 150
bin 59 type 2 capacity 150 cost 150 items 732 387 load 149
bin 60 type 2 capacity 150 cost 150 items 51 777 load 149
bin 61 type 2 capacity 150 cost 150 items 136 480 load 147
bin 62 type 2 capacity 150 cost 150 items 346 790 load 149
bin 63 type 2 capacity 150 cost 150 items 920 728 load 147
bin 64 type 2 capacity 150 cost 150 items 611 614 load 150
bin 65 type 2 capacity 150 cost 150 items 720 238 load 150
bin 66 type 2 capacity 150 cost 150 items 306 820 load 150
bin 67 type 2 capacity 150 cost 150 items 419 128 load 150
bin 68 type 2 capacity 150 cost 150 items 337 524 load 149
bin 69 type 2 capacity 150 cost 150 items 738 74 load 147
bin 70 type 2 capacity 150 cost 150 items 869 566 load 150
bin 71 type 2 capacity 150 cost 150 items 502 29 load 149
bin 72 type 2 capacity 150 cost 150 items 816 761 load 150
bin 73 type 2 capacity 150 cost 150 items 661 895 load 150
bin 74 type 2 capacity 150 cost 150 items 991 261 load 150
bin 75 type 2 capacity 150 cost 150 items 49 504 load 149
bin 76 type 2 capacity 150 cost 150 items 703 686 load 149
bin 77 type 2 capacity 150 cost 150 items 924 526 load 149
bin 78 type 2 capacity 150 cost 150 items 80 776 load 150
bin 79 type 2 capacity 150 cost 150 items 179 498 load 149
bin 80 type 2 capacity 150 cost 150 items 882 364 load 150
bin 81 type 2 capacity 150 cost 150 items 846 494 load 149
bin 82 type 2 capacity 150 cost 150 items 649 191 load 150
bin 83 type 2 capacity 150 cost 150 items 749 865 load 148
bin 84 type 2 capacity 150 cost 150 items 365 467 load 149
bin 85 type 2 capacity 150 cost 150 items 149 778 load 149
bin 86 type 2 capacity 150 cost 150 items 11 251 load 150
bin 87 type 2 capacity 150 cost 150 items 182 625 load 149
bin 88 type 2 capacity 150 cost 150 items 285 58 load 150
bin 89 type 2 capacity 150 cost 150 items 735 150 load 149
bin 90 type 2 capacity 150 cost 150 items 459 36 load 150
bin 91 type 2 capacity 150 cost 150 items 210 330 load 150
bin 92 type 2 capacity 150 cost 150 items 930 559 load 148
bin 93 type 2 capacity 150 cost 150 items 710 479 load 148
bin 94 type 2 capacity 150 cost 150 items 684 301 load 150
bin 95 type 2 capacity 150 cost 150 items 363 563 load 149
bin 96 type 2 capacity 150 cost 150 items 786 126 load 150
bin 97 type 2 capacity 150 cost 150 items 690 228 load 150
bin 98 type 2 capacity 150 cost 150 items 734 176 load 149
bin 99 type 2 capacity 150 cost 150 items 225 452 load 150
bin 100 type 2 capacity 150 cost 150 items 856 309 load 150
bin 101 type 2 capacity 150 cost 150 items 64 104 load 150
bin 102 type 2 capacity 150 cost 150 items 860 320 load 150
bin 103 type 2 capacity 150 cost 150 items 368 188 load 149
bin 104 type 2 capacity 150 cost 150 items 549 121 load 148
bin 105 type 2 capacity 150 cost 150 items 509 139 load 150
bin 106 type 2 capacity 150 cost 150 items 751 156 load 150
bin 107 type 2 capacity 150 cost 150 items 890 468 load 148
bin 108 type 2 capacity 150 cost 150 items 223 3 load 149
