instance_file ../instances/set_1/N_1000/Correia_Random_4_3_10_2.txt
config set1_3types_linear
algorithm AILS
run 7
seed 48
start_time 2026-05-02 11:39:54
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 90.448104
objective 75800.000000
total_bin_cost 75800
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 685 load 100
bin 1 type 0 capacity 100 cost 100 items 158 load 100
bin 2 type 0 capacity 100 cost 100 items 405 load 100
bin 3 type 0 capacity 100 cost 100 items 763 load 100
bin 4 type 0 capacity 100 cost 100 items 719 load 100
bin 5 type 0 capacity 100 cost 100 items 872 load 100
bin 6 type 2 capacity 150 cost 150 items 238 832 load 150
bin 7 type 2 capacity 150 cost 150 items 557 161 load 150
bin 8 type 0 capacity 100 cost 100 items 215 load 99
bin 9 type 0 capacity 100 cost 100 items 143 load 99
bin 10 type 2 capacity 150 cost 150 items 821 876 load 150
bin 11 type 2 capacity 150 cost 150 items 314 926 load 150
bin 12 type 2 capacity 150 cost 150 items 306 104 load 150
bin 13 type 2 capacity 150 cost 150 items 773 379 load 149
bin 14 type 2 capacity 150 cost 150 items 151 802 load 150
bin 15 type 2 capacity 150 cost 150 items 670 587 load 150
bin 16 type 0 capacity 100 cost 100 items 765 load 97
bin 17 type 2 capacity 150 cost 150 items 352 359 load 150
bin 18 type 2 capacity 150 cost 150 items 632 559 load 150
bin 19 type 2 capacity 150 cost 150 items 434 229 load 150
bin 20 type 2 capacity 150 cost 150 items 865 929 load 150
bin 21 type 2 capacity 150 cost 150 items 828 348 load 149
bin 22 type 2 capacity 150 cost 150 items 368 917 load 150
bin 23 type 2 capacity 150 cost 150 items 873 234 load 149
bin 24 type 2 capacity 150 cost 150 items 228 792 load 150
bin 25 type 2 capacity 150 cost 150 items 18 173 load 150
bin 26 type 2 capacity 150 cost 150 items 192 978 load 150
bin 27 type 2 capacity 150 cost 150 items 523 704 load 150
bin 28 type 2 capacity 150 cost 150 items 253 241 load 150
bin 29 type 2 capacity 150 cost 150 items 987 342 load 150
bin 30 type 2 capacity 150 cost 150 items 701 885 load 149
bin 31 type 2 capacity 150 cost 150 items 275 103 load 149
bin 32 type 2 capacity 150 cost 150 items 603 881 load 149
bin 33 type 2 capacity 150 cost 150 items 786 305 load 149
bin 34 type 2 capacity 150 cost 150 items 157 483 load 150
bin 35 type 2 capacity 150 cost 150 items 412 696 load 149
bin 36 type 2 capacity 150 cost 150 items 90 445 load 149
bin 37 type 2 capacity 150 cost 150 items 287 35 load 150
bin 38 type 2 capacity 150 cost 150 items 100 582 load 150
bin 39 type 2 capacity 150 cost 150 items 96 335 load 150
bin 40 type 2 capacity 150 cost 150 items 279 605 load 150
bin 41 type 2 capacity 150 cost 150 items 489 336 load 149
bin 42 type 2 capacity 150 cost 150 items 547 868 load 148
bin 43 type 2 capacity 150 cost 150 items 613 973 load 150
bin 44 type 2 capacity 150 cost 150 items 293 490 load 150
bin 45 type 2 capacity 150 cost 150 items 351 574 load 150
bin 46 type 2 capacity 150 cost 150 items 13 944 load 149
bin 47 type 2 capacity 150 cost 150 items 808 436 load 150
bin 48 type 2 capacity 150 cost 150 items 683 132 load 150
bin 49 type 2 capacity 150 cost 150 items 989 695 load 150
bin 50 type 2 capacity 150 cost 150 items 299 641 load 150
bin 51 type 2 capacity 150 cost 150 items 6 280 load 150
bin 52 type 2 capacity 150 cost 150 items 510 754 load 150
bin 53 type 2 capacity 150 cost 150 items 313 858 load 150
bin 54 type 2 capacity 150 cost 150 items 159 384 load 147
bin 55 type 2 capacity 150 cost 150 items 755 874 load 150
bin 56 type 2 capacity 150 cost 150 items 909 495 load 149
bin 57 type 2 capacity 150 cost 150 items 678 738 load 149
bin 58 type 2 capacity 150 cost 150 items 85 975 load 150
bin 59 type 2 capacity 150 cost 150 items 692 414 load 149
bin 60 type 2 capacity 150 cost 150 items 202 350 load 150
bin 61 type 2 capacity 150 cost 150 items 622 654 load 148
bin 62 type 2 capacity 150 cost 150 items 12 798 load 149
bin 63 type 2 capacity 150 cost 150 items 428 943 load 150
bin 64 type 2 capacity 150 cost 150 items 964 0 load 145
bin 65 type 2 capacity 150 cost 150 items 328 469 load 150
bin 66 type 2 capacity 150 cost 150 items 904 25 load 149
bin 67 type 2 capacity 150 cost 150 items 511 73 load 149
bin 68 type 2 capacity 150 cost 150 items 470 599 load 150
bin 69 type 2 capacity 150 cost 150 items 390 935 load 150
bin 70 type 2 capacity 150 cost 150 items 47 433 load 150
bin 71 type 2 capacity 150 cost 150 items 739 339 load 149
bin 72 type 2 capacity 150 cost 150 items 993 731 load 150
bin 73 type 2 capacity 150 cost 150 items 774 743 load 148
bin 74 type 2 capacity 150 cost 150 items 92 105 load 150
bin 75 type 2 capacity 150 cost 150 items 834 772 load 149
bin 76 type 2 capacity 150 cost 150 items 245 842 load 148
bin 77 type 2 capacity 150 cost 150 items 420 932 load 148
bin 78 type 2 capacity 150 cost 150 items 86 375 load 150
bin 79 type 2 capacity 150 cost 150 items 840 711 load 150
bin 80 type 2 capacity 150 cost 150 items 800 803 load 150
bin 81 type 2 capacity 150 cost 150 items 487 682 load 150
bin 82 type 2 capacity 150 cost 150 items 686 60 load 149
bin 83 type 2 capacity 150 cost 150 items 387 278 load 146
bin 84 type 2 capacity 150 cost 150 items 219 37 load 150
bin 85 type 2 capacity 150 cost 150 items 852 416 load 150
bin 86 type 2 capacity 150 cost 150 items 992 298 load 150
bin 87 type 2 capacity 150 cost 150 items 152 791 load 150
bin 88 type 2 capacity 150 cost 150 items 981 710 load 150
bin 89 type 2 capacity 150 cost 150 items 815 869 load 150
bin 90 type 2 capacity 150 cost 150 items 333 56 load 150
bin 91 type 2 capacity 150 cost 150 items 925 600 load 149
bin 92 type 2 capacity 150 cost 150 items 781 995 load 150
bin 93 type 2 capacity 150 cost 150 items 966 452 load 150
bin 94 type 2 capacity 150 cost 150 items 650 291 load 150
bin 95 type 2 capacity 150 cost 150 items 866 284 load 150
bin 96 type 2 capacity 150 cost 150 items 611 391 load 149
bin 97 type 2 capacity 150 cost 150 items 113 130 load 150
bin 98 type 2 capacity 150 cost 150 items 274 778 load 150
bin 99 type 2 capacity 150 cost 150 items 820 207 load 147
bin 100 type 2 capacity 150 cost 150 items 398 822 load 150
bin 101 type 2 capacity 150 cost 150 items 324 733 load 149
bin 102 type 2 capacity 150 cost 150 items 718 900 load 150
bin 103 type 2 capacity 150 cost 150 items 589 57 load 150
bin 104 type 2 capacity 150 cost 150 items 829 421 load 150
bin 105 type 2 capacity 150 cost 150 items 770 846 load 150
bin 106 type 2 capacity 150 cost 150 items 54 680 load 150
bin 107 type 2 capacity 150 cost 150 items 934 23 load 149
bin 108 type 2 capacity 150 cost 150 items 663 905 load 150
bin 109 type 2 capacity 150 cost 150 items 520 110 load 149
bin 110 type 2 capacity 150 cost 150 items 443 980 load 150
bin 111 type 2 capacity 150 cost 150 items 183 503 load 149
bin 112 type 2 capacity 150 cost 150 items 833 431 load 150
bin 113 type 2 capacity 150 cost 150 items 748 642 load 149
bin 114 type 2 capacity 150 cost 150 items 790 256 load 150
bin 115 type 2 capacity 150 cost 150 items 251 27 load 149
bin 116 type 2 capacity 150 cost 150 items 195 3 load 150
bin 117 type 2 capacity 150 cost 150 items 940 984 load 148
bin 118 type 2 capacity 150 cost 150 items 51 121 load 150
bin 119 type 2 capacity 150 cost 150 items 902 823 load 150
bin 120 type 2 capacity 150 cost 150 items 961 264 load 150
bin 121 type 2 capacity 150 cost 150 items 566 439 load 148
bin 122 type 2 capacity 150 cost 150 items 841 986 load 150
bin 123 type 2 capacity 150 cost 150 items 736 114 load 149
bin 124 type 2 capacity 150 cost 150 items 408 631 load 149
bin 125 type 2 capacity 150 cost 150 items 167 625 load 150
bin 126 type 2 capacity 150 cost 150 items 181 554 load 148
bin 127 type 2 capacity 150 cost 150 items 246 124 load 150
bin 128 type 2 capacity 150 cost 150 items 526 994 load 148
bin 129 type 2 capacity 150 cost 150 items 117 270 load 148
bin 130 type 2 capacity 150 cost 150 items 630 186 load 150
bin 131 type 2 capacity 150 cost 150 items 91 184 load 148
bin 132 type 2 capacity 150 cost 150 items 156 386 load 150
bin 133 type 2 capacity 150 cost 150 items 620 133 load 150
bin 134 type 2 capacity 150 cost 150 items 525 41 load 150
bin 135 type 2 capacity 150 cost 150 items 318 205 load 150
bin 136 type 2 capacity 150 cost 150 items 662 720 load 150
bin 137 type 2 capacity 150 cost 150 items 937 954 load 150
bin 138 type 2 capacity 150 cost 150 items 922 198 load 150
bin 139 type 2 capacity 150 cost 150 items 706 730 load 150
bin 140 type 2 capacity 150 cost 150 items 473 206 load 150
bin 141 type 2 capacity 150 cost 150 items 61 767 load 149
bin 142 type 2 capacity 150 cost 150 items 415 126 load 144
bin 143 type 2 capacity 150 cost 150 items 635 401 load 147
bin 144 type 2 capacity 150 cost 150 items 722 45 load 150
bin 145 type 2 capacity 150 cost 150 items 796 919 load 149
bin 146 type 2 capacity 150 cost 150 items 88 82 load 149
bin 147 type 2 capacity 150 cost 150 items 147 214 load 149
bin 148 type 2 capacity 150 cost 150 items 226 199 load 147
bin 149 type 2 capacity 150 cost 150 items 959 570 load 150
bin 150 type 2 capacity 150 cost 150 items 860 358 load 147
bin 151 type 2 capacity 150 cost 150 items 456 48 load 147
bin 152 type 2 capacity 150 cost 150 items 585 176 load 149
bin 153 type 2 capacity 150 cost 150 items 640 532 load 150
bin 154 type 2 capacity 150 cost 150 items 138 788 load 150
bin 155 type 2 capacity 150 cost 150 items 481 127 load 149
bin 156 type 2 capacity 150 cost 150 items 608 87 load 148
bin 157 type 2 capacity 150 cost 150 items 418 488 load 148
bin 158 type 2 capacity 150 cost 150 items 837 887 load 150
bin 159 type 2 capacity 150 cost 150 items 366 70 load 150
bin 160 type 2 capacity 150 cost 150 items 404 1 load 148
bin 161 type 2 capacity 150 cost 150 items 111 370 load 150
bin 162 type 2 capacity 150 cost 150 items 304 411 load 150
bin 163 type 2 capacity 150 cost 150 items 62 633 load 150
bin 164 type 2 capacity 150 cost 150 items 265 240 load 150
bin 165 type 2 capacity 150 cost 150 items 948 645 load 146
bin 166 type 2 capacity 150 cost 150 items 49 646 load 150
bin 167 type 2 capacity 150 cost 150 items 459 623 load 150
bin 168 type 2 capacity 150 cost 150 items 675 761 load 150
bin 169 type 2 capacity 150 cost 150 items 33 101 load 150
bin 170 type 2 capacity 150 cost 150 items 197 561 load 148
bin 171 type 2 capacity 150 cost 150 items 962 734 load 150
bin 172 type 2 capacity 150 cost 150 items 674 447 load 150
bin 173 type 2 capacity 150 cost 150 items 435 617 load 148
bin 174 type 2 capacity 150 cost 150 items 322 266 load 150
bin 175 type 2 capacity 150 cost 150 items 533 406 load 149
bin 176 type 2 capacity 150 cost 150 items 759 941 load 150
bin 177 type 2 capacity 150 cost 150 items 709 170 load 150
bin 178 type 2 capacity 150 cost 150 items 655 344 load 150
bin 179 type 2 capacity 150 cost 150 items 817 69 load 149
bin 180 type 2 capacity 150 cost 150 items 424 340 load 150
bin 181 type 2 capacity 150 cost 150 items 519 118 load 147
bin 182 type 2 capacity 150 cost 150 items 19 374 load 150
bin 183 type 2 capacity 150 cost 150 items 886 985 load 150
bin 184 type 2 capacity 150 cost 150 items 417 109 load 150
bin 185 type 2 capacity 150 cost 150 items 194 315 load 149
