instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_10.txt
config set1_5types_linear
algorithm AILS
run 10
seed 51
start_time 2026-05-02 15:24:33
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 31.185998
objective 75680.000000
total_bin_cost 75680
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 100 cost 100 items 643 load 100
bin 1 type 2 capacity 100 cost 100 items 314 load 100
bin 2 type 2 capacity 100 cost 100 items 974 load 100
bin 3 type 4 capacity 150 cost 150 items 236 681 load 150
bin 4 type 2 capacity 100 cost 100 items 107 load 100
bin 5 type 4 capacity 150 cost 150 items 145 201 load 150
bin 6 type 2 capacity 100 cost 100 items 450 load 99
bin 7 type 4 capacity 150 cost 150 items 807 580 load 150
bin 8 type 4 capacity 150 cost 150 items 667 69 load 150
bin 9 type 4 capacity 150 cost 150 items 866 595 load 150
bin 10 type 4 capacity 150 cost 150 items 553 217 load 150
bin 11 type 4 capacity 150 cost 150 items 507 602 load 150
bin 12 type 4 capacity 150 cost 150 items 663 262 load 150
bin 13 type 4 capacity 150 cost 150 items 550 814 load 150
bin 14 type 4 capacity 150 cost 150 items 19 423 load 150
bin 15 type 4 capacity 150 cost 150 items 174 608 load 150
bin 16 type 4 capacity 150 cost 150 items 716 352 load 149
bin 17 type 4 capacity 150 cost 150 items 520 406 load 149
bin 18 type 4 capacity 150 cost 150 items 944 910 load 149
bin 19 type 2 capacity 100 cost 100 items 904 load 98
bin 20 type 4 capacity 150 cost 150 items 194 896 load 149
bin 21 type 4 capacity 150 cost 150 items 137 725 load 150
bin 22 type 4 capacity 150 cost 150 items 273 164 load 150
bin 23 type 2 capacity 100 cost 100 items 220 load 98
bin 24 type 4 capacity 150 cost 150 items 964 484 load 150
bin 25 type 4 capacity 150 cost 150 items 415 376 load 150
bin 26 type 2 capacity 100 cost 100 items 771 load 98
bin 27 type 4 capacity 150 cost 150 items 227 72 load 148
bin 28 type 4 capacity 150 cost 150 items 16 881 load 149
bin 29 type 4 capacity 150 cost 150 items 644 429 load 150
bin 30 type 4 capacity 150 cost 150 items 43 966 load 150
bin 31 type 4 capacity 150 cost 150 items 933 451 load 150
bin 32 type 4 capacity 150 cost 150 items 682 943 load 150
bin 33 type 4 capacity 150 cost 150 items 510 448 load 150
bin 34 type 4 capacity 150 cost 150 items 842 162 load 150
bin 35 type 4 capacity 150 cost 150 items 668 98 load 150
bin 36 type 4 capacity 150 cost 150 items 443 118 load 150
bin 37 type 4 capacity 150 cost 150 items 23 487 load 150
bin 38 type 4 capacity 150 cost 150 items 347 312 load 149
bin 39 type 4 capacity 150 cost 150 items 908 75 load 150
bin 40 type 2 capacity 100 cost 100 items 833 load 97
bin 41 type 4 capacity 150 cost 150 items 893 161 load 148
