instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_3.txt
config set1_3types_linear
algorithm AILS
run 9
seed 50
start_time 2026-05-02 15:40:48
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 33.818445
objective 75170.000000
total_bin_cost 75170
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 70 load 100
bin 1 type 0 capacity 100 cost 100 items 249 load 100
bin 2 type 2 capacity 150 cost 150 items 817 853 load 150
bin 3 type 2 capacity 150 cost 150 items 679 583 load 150
bin 4 type 2 capacity 150 cost 150 items 246 304 load 150
bin 5 type 0 capacity 100 cost 100 items 55 load 100
bin 6 type 2 capacity 150 cost 150 items 288 431 load 150
bin 7 type 0 capacity 100 cost 100 items 457 load 100
bin 8 type 0 capacity 100 cost 100 items 134 load 100
bin 9 type 2 capacity 150 cost 150 items 119 900 load 150
bin 10 type 2 capacity 150 cost 150 items 648 806 load 149
bin 11 type 2 capacity 150 cost 150 items 308 375 load 150
bin 12 type 0 capacity 100 cost 100 items 130 load 99
bin 13 type 2 capacity 150 cost 150 items 310 958 load 150
bin 14 type 2 capacity 150 cost 150 items 160 646 load 150
bin 15 type 2 capacity 150 cost 150 items 887 455 load 150
bin 16 type 2 capacity 150 cost 150 items 556 867 load 150
bin 17 type 2 capacity 150 cost 150 items 95 337 load 150
bin 18 type 2 capacity 150 cost 150 items 692 755 load 150
bin 19 type 2 capacity 150 cost 150 items 822 893 load 150
bin 20 type 2 capacity 150 cost 150 items 764 576 load 149
bin 21 type 2 capacity 150 cost 150 items 744 387 load 150
bin 22 type 2 capacity 150 cost 150 items 959 706 load 150
bin 23 type 2 capacity 150 cost 150 items 506 239 load 150
bin 24 type 2 capacity 150 cost 150 items 693 779 load 150
bin 25 type 2 capacity 150 cost 150 items 815 734 load 149
bin 26 type 2 capacity 150 cost 150 items 885 212 load 150
bin 27 type 2 capacity 150 cost 150 items 371 906 load 150
bin 28 type 2 capacity 150 cost 150 items 517 222 load 150
bin 29 type 2 capacity 150 cost 150 items 678 657 load 150
bin 30 type 2 capacity 150 cost 150 items 866 115 load 148
bin 31 type 2 capacity 150 cost 150 items 940 933 load 150
bin 32 type 2 capacity 150 cost 150 items 552 149 load 150
bin 33 type 2 capacity 150 cost 150 items 836 300 load 149
bin 34 type 2 capacity 150 cost 150 items 1 606 load 150
bin 35 type 2 capacity 150 cost 150 items 47 515 load 150
bin 36 type 2 capacity 150 cost 150 items 596 272 load 150
bin 37 type 2 capacity 150 cost 150 items 258 728 load 150
bin 38 type 2 capacity 150 cost 150 items 497 561 load 150
bin 39 type 2 capacity 150 cost 150 items 602 861 load 150
bin 40 type 2 capacity 150 cost 150 items 848 927 load 150
bin 41 type 2 capacity 150 cost 150 items 763 609 load 148
bin 42 type 2 capacity 150 cost 150 items 695 559 load 149
bin 43 type 2 capacity 150 cost 150 items 213 440 load 150
bin 44 type 2 capacity 150 cost 150 items 438 437 load 150
bin 45 type 2 capacity 150 cost 150 items 409 935 load 150
bin 46 type 2 capacity 150 cost 150 items 931 855 load 150
bin 47 type 2 capacity 150 cost 150 items 870 978 load 150
bin 48 type 2 capacity 150 cost 150 items 633 741 load 150
bin 49 type 0 capacity 100 cost 100 items 386 load 95
bin 50 type 2 capacity 150 cost 150 items 471 208 load 150
bin 51 type 2 capacity 150 cost 150 items 469 809 load 150
bin 52 type 2 capacity 150 cost 150 items 776 827 load 150
bin 53 type 2 capacity 150 cost 150 items 965 376 load 150
bin 54 type 2 capacity 150 cost 150 items 364 773 load 150
bin 55 type 2 capacity 150 cost 150 items 230 997 load 150
bin 56 type 2 capacity 150 cost 150 items 726 727 load 150
bin 57 type 2 capacity 150 cost 150 items 703 200 load 150
bin 58 type 2 capacity 150 cost 150 items 102 80 load 148
bin 59 type 2 capacity 150 cost 150 items 660 913 load 150
bin 60 type 2 capacity 150 cost 150 items 84 234 load 150
bin 61 type 2 capacity 150 cost 150 items 28 674 load 150
bin 62 type 2 capacity 150 cost 150 items 715 942 load 150
bin 63 type 2 capacity 150 cost 150 items 4 484 load 150
bin 64 type 2 capacity 150 cost 150 items 521 203 load 150
bin 65 type 2 capacity 150 cost 150 items 787 329 load 150
bin 66 type 2 capacity 150 cost 150 items 745 926 load 150
bin 67 type 2 capacity 150 cost 150 items 6 989 load 150
bin 68 type 2 capacity 150 cost 150 items 790 854 load 150
bin 69 type 2 capacity 150 cost 150 items 235 898 load 150
bin 70 type 2 capacity 150 cost 150 items 963 343 load 149
bin 71 type 2 capacity 150 cost 150 items 458 89 load 150
bin 72 type 2 capacity 150 cost 150 items 228 129 load 150
bin 73 type 2 capacity 150 cost 150 items 50 77 load 150
bin 74 type 2 capacity 150 cost 150 items 823 116 load 150
bin 75 type 2 capacity 150 cost 150 items 891 383 load 150
bin 76 type 2 capacity 150 cost 150 items 253 380 load 150
bin 77 type 2 capacity 150 cost 150 items 973 857 load 149
bin 78 type 2 capacity 150 cost 150 items 872 109 load 148
bin 79 type 2 capacity 150 cost 150 items 182 698 load 150
bin 80 type 2 capacity 150 cost 150 items 244 804 load 150
bin 81 type 2 capacity 150 cost 150 items 382 873 load 148
bin 82 type 2 capacity 150 cost 150 items 379 426 load 150
bin 83 type 2 capacity 150 cost 150 items 39 319 load 150
bin 84 type 2 capacity 150 cost 150 items 405 485 load 150
bin 85 type 2 capacity 150 cost 150 items 911 708 load 149
bin 86 type 2 capacity 150 cost 150 items 923 758 load 150
bin 87 type 2 capacity 150 cost 150 items 478 925 load 150
bin 88 type 2 capacity 150 cost 150 items 972 141 load 150
bin 89 type 2 capacity 150 cost 150 items 309 404 load 150
bin 90 type 2 capacity 150 cost 150 items 211 971 load 148
bin 91 type 2 capacity 150 cost 150 items 303 277 load 146
