instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_9.txt
config set1_3types_linear
algorithm AILS
run 7
seed 48
start_time 2026-05-02 16:32:53
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 31.163037
objective 75160.000000
total_bin_cost 75160
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 230 load 100
bin 1 type 2 capacity 150 cost 150 items 139 564 load 150
bin 2 type 2 capacity 150 cost 150 items 913 678 load 150
bin 3 type 2 capacity 150 cost 150 items 381 739 load 150
bin 4 type 2 capacity 150 cost 150 items 183 675 load 150
bin 5 type 2 capacity 150 cost 150 items 740 242 load 150
bin 6 type 2 capacity 150 cost 150 items 842 761 load 150
bin 7 type 2 capacity 150 cost 150 items 667 305 load 150
bin 8 type 2 capacity 150 cost 150 items 513 274 load 150
bin 9 type 2 capacity 150 cost 150 items 6 910 load 150
bin 10 type 2 capacity 150 cost 150 items 471 815 load 150
bin 11 type 2 capacity 150 cost 150 items 11 285 load 150
bin 12 type 2 capacity 150 cost 150 items 492 423 load 150
bin 13 type 2 capacity 150 cost 150 items 430 45 load 150
bin 14 type 2 capacity 150 cost 150 items 635 195 load 149
bin 15 type 2 capacity 150 cost 150 items 612 491 load 150
bin 16 type 2 capacity 150 cost 150 items 107 553 load 150
bin 17 type 2 capacity 150 cost 150 items 13 857 load 150
bin 18 type 2 capacity 150 cost 150 items 182 715 load 150
bin 19 type 2 capacity 150 cost 150 items 610 689 load 149
bin 20 type 2 capacity 150 cost 150 items 557 259 load 150
bin 21 type 2 capacity 150 cost 150 items 786 855 load 149
bin 22 type 2 capacity 150 cost 150 items 686 262 load 149
bin 23 type 2 capacity 150 cost 150 items 408 160 load 150
bin 24 type 2 capacity 150 cost 150 items 777 534 load 150
bin 25 type 2 capacity 150 cost 150 items 673 969 load 150
bin 26 type 2 capacity 150 cost 150 items 958 379 load 149
bin 27 type 2 capacity 150 cost 150 items 989 978 load 150
bin 28 type 2 capacity 150 cost 150 items 29 79 load 148
bin 29 type 2 capacity 150 cost 150 items 275 334 load 150
bin 30 type 2 capacity 150 cost 150 items 653 668 load 150
bin 31 type 2 capacity 150 cost 150 items 966 81 load 148
bin 32 type 2 capacity 150 cost 150 items 467 674 load 147
bin 33 type 2 capacity 150 cost 150 items 214 310 load 149
bin 34 type 2 capacity 150 cost 150 items 515 25 load 150
bin 35 type 2 capacity 150 cost 150 items 18 124 load 150
bin 36 type 2 capacity 150 cost 150 items 586 403 load 150
bin 37 type 0 capacity 100 cost 100 items 15 load 97
bin 38 type 2 capacity 150 cost 150 items 658 878 load 150
bin 39 type 2 capacity 150 cost 150 items 581 797 load 150
bin 40 type 0 capacity 100 cost 100 items 48 load 97
bin 41 type 0 capacity 100 cost 100 items 876 load 97
bin 42 type 2 capacity 150 cost 150 items 714 102 load 150
bin 43 type 2 capacity 150 cost 150 items 648 724 load 150
bin 44 type 2 capacity 150 cost 150 items 952 263 load 149
bin 45 type 0 capacity 100 cost 100 items 660 load 97
bin 46 type 0 capacity 100 cost 100 items 317 load 96
bin 47 type 2 capacity 150 cost 150 items 321 39 load 150
bin 48 type 2 capacity 150 cost 150 items 572 421 load 150
bin 49 type 2 capacity 150 cost 150 items 37 599 load 150
bin 50 type 2 capacity 150 cost 150 items 954 439 load 150
bin 51 type 2 capacity 150 cost 150 items 925 204 load 150
bin 52 type 2 capacity 150 cost 150 items 547 333 load 150
bin 53 type 2 capacity 150 cost 150 items 871 329 load 149
bin 54 type 2 capacity 150 cost 150 items 355 237 load 150
bin 55 type 2 capacity 150 cost 150 items 466 159 load 150
bin 56 type 2 capacity 150 cost 150 items 962 911 load 150
bin 57 type 2 capacity 150 cost 150 items 448 140 load 150
bin 58 type 2 capacity 150 cost 150 items 473 700 load 150
bin 59 type 2 capacity 150 cost 150 items 908 450 load 150
bin 60 type 2 capacity 150 cost 150 items 371 327 load 149
bin 61 type 2 capacity 150 cost 150 items 699 886 load 149
bin 62 type 2 capacity 150 cost 150 items 130 393 load 150
bin 63 type 2 capacity 150 cost 150 items 332 303 load 149
bin 64 type 2 capacity 150 cost 150 items 999 331 load 149
bin 65 type 2 capacity 150 cost 150 items 622 571 load 148
bin 66 type 2 capacity 150 cost 150 items 96 126 load 150
bin 67 type 2 capacity 150 cost 150 items 582 201 load 148
bin 68 type 2 capacity 150 cost 150 items 854 757 load 148
bin 69 type 2 capacity 150 cost 150 items 965 788 load 150
bin 70 type 2 capacity 150 cost 150 items 766 312 load 149
bin 71 type 2 capacity 150 cost 150 items 882 348 load 150
bin 72 type 2 capacity 150 cost 150 items 17 338 load 150
bin 73 type 2 capacity 150 cost 150 items 824 981 load 150
bin 74 type 2 capacity 150 cost 150 items 236 220 load 149
bin 75 type 2 capacity 150 cost 150 items 357 76 load 149
bin 76 type 2 capacity 150 cost 150 items 691 751 load 149
bin 77 type 2 capacity 150 cost 150 items 101 554 load 150
bin 78 type 2 capacity 150 cost 150 items 860 651 load 150
bin 79 type 2 capacity 150 cost 150 items 342 703 load 150
bin 80 type 2 capacity 150 cost 150 items 900 23 load 150
bin 81 type 2 capacity 150 cost 150 items 885 377 load 150
bin 82 type 2 capacity 150 cost 150 items 592 996 load 150
bin 83 type 2 capacity 150 cost 150 items 464 558 load 150
bin 84 type 2 capacity 150 cost 150 items 272 517 load 150
bin 85 type 2 capacity 150 cost 150 items 565 308 load 150
bin 86 type 2 capacity 150 cost 150 items 216 75 load 150
bin 87 type 2 capacity 150 cost 150 items 805 774 load 147
bin 88 type 2 capacity 150 cost 150 items 518 406 load 150
bin 89 type 2 capacity 150 cost 150 items 905 918 load 149
bin 90 type 2 capacity 150 cost 150 items 652 902 load 150
bin 91 type 2 capacity 150 cost 150 items 171 469 load 150
bin 92 type 2 capacity 150 cost 150 items 243 210 load 150
bin 93 type 2 capacity 150 cost 150 items 977 907 load 150
bin 94 type 2 capacity 150 cost 150 items 973 879 load 150
bin 95 type 2 capacity 150 cost 150 items 44 583 load 150
bin 96 type 2 capacity 150 cost 150 items 61 283 load 148
bin 97 type 2 capacity 150 cost 150 items 87 434 load 150
bin 98 type 2 capacity 150 cost 150 items 556 217 load 150
bin 99 type 2 capacity 150 cost 150 items 418 134 load 150
bin 100 type 2 capacity 150 cost 150 items 147 927 load 150
bin 101 type 2 capacity 150 cost 150 items 468 176 load 150
bin 102 type 2 capacity 150 cost 150 items 212 431 load 150
bin 103 type 2 capacity 150 cost 150 items 395 42 load 150
bin 104 type 2 capacity 150 cost 150 items 942 998 load 150
bin 105 type 2 capacity 150 cost 150 items 694 883 load 150
bin 106 type 2 capacity 150 cost 150 items 14 137 load 149
bin 107 type 2 capacity 150 cost 150 items 964 486 load 150
bin 108 type 2 capacity 150 cost 150 items 180 579 load 149
bin 109 type 2 capacity 150 cost 150 items 872 28 load 149
bin 110 type 2 capacity 150 cost 150 items 199 533 load 150
bin 111 type 2 capacity 150 cost 150 items 155 438 load 149
bin 112 type 2 capacity 150 cost 150 items 213 384 load 150
bin 113 type 2 capacity 150 cost 150 items 760 385 load 150
bin 114 type 2 capacity 150 cost 150 items 190 253 load 150
bin 115 type 2 capacity 150 cost 150 items 191 167 load 149
bin 116 type 2 capacity 150 cost 150 items 231 301 load 150
bin 117 type 2 capacity 150 cost 150 items 851 731 load 150
bin 118 type 2 capacity 150 cost 150 items 402 311 load 150
bin 119 type 2 capacity 150 cost 150 items 233 77 load 150
bin 120 type 2 capacity 150 cost 150 items 716 656 load 150
bin 121 type 2 capacity 150 cost 150 items 250 488 load 150
bin 122 type 2 capacity 150 cost 150 items 427 762 load 150
bin 123 type 2 capacity 150 cost 150 items 528 142 load 150
bin 124 type 2 capacity 150 cost 150 items 776 507 load 150
bin 125 type 2 capacity 150 cost 150 items 234 617 load 150
bin 126 type 2 capacity 150 cost 150 items 718 339 load 150
bin 127 type 2 capacity 150 cost 150 items 873 615 load 150
bin 128 type 2 capacity 150 cost 150 items 585 877 load 149
bin 129 type 2 capacity 150 cost 150 items 151 516 load 150
bin 130 type 2 capacity 150 cost 150 items 690 519 load 150
bin 131 type 2 capacity 150 cost 150 items 697 980 load 148
bin 132 type 2 capacity 150 cost 150 items 769 298 load 150
bin 133 type 2 capacity 150 cost 150 items 588 993 load 150
bin 134 type 2 capacity 150 cost 150 items 601 19 load 148
bin 135 type 2 capacity 150 cost 150 items 27 376 load 150
bin 136 type 2 capacity 150 cost 150 items 452 580 load 150
bin 137 type 2 capacity 150 cost 150 items 369 987 load 149
bin 138 type 2 capacity 150 cost 150 items 163 893 load 150
bin 139 type 2 capacity 150 cost 150 items 239 868 load 150
bin 140 type 2 capacity 150 cost 150 items 309 99 load 150
bin 141 type 2 capacity 150 cost 150 items 770 68 load 150
bin 142 type 2 capacity 150 cost 150 items 324 449 load 150
bin 143 type 2 capacity 150 cost 150 items 899 603 load 150
bin 144 type 2 capacity 150 cost 150 items 502 677 load 150
bin 145 type 2 capacity 150 cost 150 items 411 821 load 150
bin 146 type 2 capacity 150 cost 150 items 30 754 load 148
bin 147 type 2 capacity 150 cost 150 items 326 741 load 150
bin 148 type 2 capacity 150 cost 150 items 638 32 load 150
bin 149 type 2 capacity 150 cost 150 items 170 174 load 150
bin 150 type 2 capacity 150 cost 150 items 316 24 load 150
bin 151 type 2 capacity 150 cost 150 items 613 287 load 150
bin 152 type 2 capacity 150 cost 150 items 990 145 load 148
bin 153 type 2 capacity 150 cost 150 items 359 412 load 150
bin 154 type 2 capacity 150 cost 150 items 884 352 load 150
bin 155 type 2 capacity 150 cost 150 items 343 732 load 150
bin 156 type 2 capacity 150 cost 150 items 461 647 load 150
bin 157 type 2 capacity 150 cost 150 items 526 10 load 149
bin 158 type 2 capacity 150 cost 150 items 604 683 load 150
bin 159 type 2 capacity 150 cost 150 items 909 781 load 150
bin 160 type 2 capacity 150 cost 150 items 812 168 load 150
bin 161 type 2 capacity 150 cost 150 items 841 413 load 148
bin 162 type 2 capacity 150 cost 150 items 35 51 load 150
bin 163 type 2 capacity 150 cost 150 items 64 82 load 148
bin 164 type 2 capacity 150 cost 150 items 113 693 load 147
bin 165 type 2 capacity 150 cost 150 items 407 932 load 150
