instance_file ../instances/set_2/N_1000/HS_Random_4_10_5.txt
config set2_7types_linear
algorithm AILS
run 2
seed 43
start_time 2026-05-02 19:44:17
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 85.873705
objective 125590.000000
total_bin_cost 125590
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 30 load 250
bin 1 type 6 capacity 250 cost 250 items 477 load 250
bin 2 type 6 capacity 250 cost 250 items 163 load 250
bin 3 type 6 capacity 250 cost 250 items 562 load 249
bin 4 type 6 capacity 250 cost 250 items 563 load 249
bin 5 type 6 capacity 250 cost 250 items 703 load 249
bin 6 type 6 capacity 250 cost 250 items 467 load 249
bin 7 type 6 capacity 250 cost 250 items 187 load 249
bin 8 type 6 capacity 250 cost 250 items 922 load 248
bin 9 type 6 capacity 250 cost 250 items 247 load 248
bin 10 type 6 capacity 250 cost 250 items 277 load 247
bin 11 type 6 capacity 250 cost 250 items 409 load 247
bin 12 type 6 capacity 250 cost 250 items 781 load 246
bin 13 type 6 capacity 250 cost 250 items 460 load 246
bin 14 type 6 capacity 250 cost 250 items 716 501 load 250
bin 15 type 6 capacity 250 cost 250 items 835 821 load 248
bin 16 type 6 capacity 250 cost 250 items 969 224 load 249
bin 17 type 6 capacity 250 cost 250 items 553 860 load 250
bin 18 type 6 capacity 250 cost 250 items 632 load 243
bin 19 type 6 capacity 250 cost 250 items 693 341 load 248
bin 20 type 6 capacity 250 cost 250 items 844 805 load 249
bin 21 type 6 capacity 250 cost 250 items 289 load 240
bin 22 type 6 capacity 250 cost 250 items 200 394 load 244
bin 23 type 6 capacity 250 cost 250 items 585 load 239
bin 24 type 6 capacity 250 cost 250 items 214 768 load 249
bin 25 type 6 capacity 250 cost 250 items 2 573 load 244
bin 26 type 6 capacity 250 cost 250 items 863 567 load 249
bin 27 type 6 capacity 250 cost 250 items 360 730 load 245
bin 28 type 6 capacity 250 cost 250 items 494 322 load 240
bin 29 type 6 capacity 250 cost 250 items 157 88 load 250
bin 30 type 6 capacity 250 cost 250 items 534 310 load 246
bin 31 type 6 capacity 250 cost 250 items 890 752 load 249
bin 32 type 6 capacity 250 cost 250 items 690 817 load 243
bin 33 type 6 capacity 250 cost 250 items 578 775 load 236
bin 34 type 6 capacity 250 cost 250 items 234 426 load 240
bin 35 type 6 capacity 250 cost 250 items 979 load 233
bin 36 type 6 capacity 250 cost 250 items 924 load 232
bin 37 type 6 capacity 250 cost 250 items 586 99 load 244
bin 38 type 6 capacity 250 cost 250 items 466 106 load 242
bin 39 type 6 capacity 250 cost 250 items 710 985 load 248
