instance_file ../instances/set_2/N_1000/HS_Random_4_9_10.txt
config set2_7types_concave
algorithm AILS
run 10
seed 51
start_time 2026-05-03 05:30:04
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 135.864619
objective 81695.000000
total_bin_cost 81695
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 647 load 250
bin 1 type 6 capacity 250 cost 159 items 378 load 250
bin 2 type 6 capacity 250 cost 159 items 379 load 250
bin 3 type 6 capacity 250 cost 159 items 781 load 250
bin 4 type 6 capacity 250 cost 159 items 354 load 250
bin 5 type 6 capacity 250 cost 159 items 483 load 250
bin 6 type 6 capacity 250 cost 159 items 595 load 249
bin 7 type 6 capacity 250 cost 159 items 582 load 249
bin 8 type 6 capacity 250 cost 159 items 863 load 249
bin 9 type 6 capacity 250 cost 159 items 495 load 248
bin 10 type 6 capacity 250 cost 159 items 486 load 247
bin 11 type 6 capacity 250 cost 159 items 491 load 247
bin 12 type 6 capacity 250 cost 159 items 441 load 247
bin 13 type 6 capacity 250 cost 159 items 217 load 246
bin 14 type 6 capacity 250 cost 159 items 620 660 load 249
bin 15 type 6 capacity 250 cost 159 items 231 load 243
bin 16 type 6 capacity 250 cost 159 items 807 load 243
bin 17 type 6 capacity 250 cost 159 items 925 869 load 244
bin 18 type 6 capacity 250 cost 159 items 601 13 load 245
bin 19 type 6 capacity 250 cost 159 items 488 load 239
bin 20 type 6 capacity 250 cost 159 items 597 314 load 250
bin 21 type 6 capacity 250 cost 159 items 920 857 load 249
bin 22 type 6 capacity 250 cost 159 items 503 959 load 250
bin 23 type 6 capacity 250 cost 159 items 215 39 load 250
bin 24 type 6 capacity 250 cost 159 items 666 571 load 250
bin 25 type 6 capacity 250 cost 159 items 614 682 load 249
bin 26 type 6 capacity 250 cost 159 items 701 252 load 250
bin 27 type 6 capacity 250 cost 159 items 257 889 load 250
bin 28 type 6 capacity 250 cost 159 items 550 906 load 250
bin 29 type 6 capacity 250 cost 159 items 242 909 load 249
bin 30 type 6 capacity 250 cost 159 items 615 621 load 249
bin 31 type 6 capacity 250 cost 159 items 344 127 load 249
bin 32 type 6 capacity 250 cost 159 items 727 624 load 249
bin 33 type 6 capacity 250 cost 159 items 960 815 load 250
bin 34 type 6 capacity 250 cost 159 items 63 880 load 248
bin 35 type 6 capacity 250 cost 159 items 26 994 load 250
bin 36 type 6 capacity 250 cost 159 items 467 664 load 250
bin 37 type 6 capacity 250 cost 159 items 884 360 load 246
bin 38 type 6 capacity 250 cost 159 items 260 55 load 249
bin 39 type 6 capacity 250 cost 159 items 444 56 load 247
bin 40 type 6 capacity 250 cost 159 items 248 793 load 248
bin 41 type 6 capacity 250 cost 159 items 46 178 load 250
bin 42 type 6 capacity 250 cost 159 items 578 627 load 249
bin 43 type 6 capacity 250 cost 159 items 929 472 load 248
bin 44 type 5 capacity 220 cost 149 items 157 load 219
bin 45 type 6 capacity 250 cost 159 items 394 992 load 248
bin 46 type 6 capacity 250 cost 159 items 673 683 load 250
bin 47 type 6 capacity 250 cost 159 items 8 30 load 248
bin 48 type 6 capacity 250 cost 159 items 592 855 load 250
bin 49 type 6 capacity 250 cost 159 items 201 850 load 248
bin 50 type 6 capacity 250 cost 159 items 871 707 load 250
bin 51 type 6 capacity 250 cost 159 items 386 236 load 245
bin 52 type 6 capacity 250 cost 159 items 256 20 load 247
bin 53 type 6 capacity 250 cost 159 items 996 392 load 249
bin 54 type 6 capacity 250 cost 159 items 259 633 load 249
bin 55 type 6 capacity 250 cost 159 items 622 118 load 250
bin 56 type 6 capacity 250 cost 159 items 984 161 load 248
bin 57 type 6 capacity 250 cost 159 items 717 22 load 249
bin 58 type 6 capacity 250 cost 159 items 640 90 load 247
bin 59 type 6 capacity 250 cost 159 items 773 464 load 249
bin 60 type 6 capacity 250 cost 159 items 130 656 load 250
bin 61 type 6 capacity 250 cost 159 items 650 447 load 245
bin 62 type 6 capacity 250 cost 159 items 362 879 load 250
