instance_file ../instances/set_2/N_1000/HS_Random_4_9_1.txt
config set2_7types_concave
algorithm AILS
run 10
seed 51
start_time 2026-05-03 04:56:24
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 231.507334
objective 80353.000000
total_bin_cost 80353
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 860 load 250
bin 1 type 6 capacity 250 cost 159 items 67 load 250
bin 2 type 6 capacity 250 cost 159 items 961 load 250
bin 3 type 6 capacity 250 cost 159 items 374 load 250
bin 4 type 6 capacity 250 cost 159 items 702 load 250
bin 5 type 6 capacity 250 cost 159 items 202 load 250
bin 6 type 6 capacity 250 cost 159 items 317 load 250
bin 7 type 6 capacity 250 cost 159 items 206 load 249
bin 8 type 6 capacity 250 cost 159 items 880 load 249
bin 9 type 6 capacity 250 cost 159 items 811 load 249
bin 10 type 6 capacity 250 cost 159 items 742 load 249
bin 11 type 6 capacity 250 cost 159 items 58 load 248
bin 12 type 6 capacity 250 cost 159 items 69 load 248
bin 13 type 6 capacity 250 cost 159 items 782 load 247
bin 14 type 6 capacity 250 cost 159 items 887 load 247
bin 15 type 6 capacity 250 cost 159 items 966 load 247
bin 16 type 6 capacity 250 cost 159 items 25 load 247
bin 17 type 6 capacity 250 cost 159 items 9 load 246
bin 18 type 6 capacity 250 cost 159 items 913 load 246
bin 19 type 6 capacity 250 cost 159 items 929 load 246
bin 20 type 6 capacity 250 cost 159 items 328 load 244
bin 21 type 6 capacity 250 cost 159 items 789 load 244
bin 22 type 6 capacity 250 cost 159 items 553 load 244
bin 23 type 6 capacity 250 cost 159 items 426 load 243
bin 24 type 6 capacity 250 cost 159 items 427 load 242
bin 25 type 6 capacity 250 cost 159 items 718 261 load 249
bin 26 type 6 capacity 250 cost 159 items 817 737 load 250
bin 27 type 6 capacity 250 cost 159 items 940 432 load 250
bin 28 type 6 capacity 250 cost 159 items 495 305 load 250
bin 29 type 6 capacity 250 cost 159 items 830 908 load 250
bin 30 type 6 capacity 250 cost 159 items 229 260 load 243
bin 31 type 6 capacity 250 cost 159 items 933 403 load 247
bin 32 type 6 capacity 250 cost 159 items 953 32 load 250
bin 33 type 6 capacity 250 cost 159 items 853 825 load 245
bin 34 type 6 capacity 250 cost 159 items 413 638 load 244
bin 35 type 6 capacity 250 cost 159 items 614 74 load 249
bin 36 type 6 capacity 250 cost 159 items 989 load 236
bin 37 type 6 capacity 250 cost 159 items 347 786 load 249
bin 38 type 6 capacity 250 cost 159 items 365 127 load 249
bin 39 type 6 capacity 250 cost 159 items 814 336 load 249
bin 40 type 6 capacity 250 cost 159 items 927 845 load 249
bin 41 type 6 capacity 250 cost 159 items 178 960 load 248
bin 42 type 6 capacity 250 cost 159 items 62 566 load 247
bin 43 type 6 capacity 250 cost 159 items 354 822 load 248
bin 44 type 6 capacity 250 cost 159 items 251 750 load 238
bin 45 type 6 capacity 250 cost 159 items 101 585 load 241
bin 46 type 6 capacity 250 cost 159 items 122 517 load 248
bin 47 type 6 capacity 250 cost 159 items 473 587 load 248
bin 48 type 6 capacity 250 cost 159 items 878 724 load 246
bin 49 type 6 capacity 250 cost 159 items 720 222 load 248
bin 50 type 6 capacity 250 cost 159 items 667 705 load 239
bin 51 type 6 capacity 250 cost 159 items 851 997 load 250
bin 52 type 6 capacity 250 cost 159 items 727 337 load 250
bin 53 type 6 capacity 250 cost 159 items 228 369 load 246
bin 54 type 6 capacity 250 cost 159 items 958 380 load 247
bin 55 type 6 capacity 250 cost 159 items 351 611 load 250
