instance_file ../instances/set_2/N_1000/HS_Random_4_9_1.txt
config set2_7types_concave
algorithm AILS
run 6
seed 47
start_time 2026-05-03 04:44:22
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 140.581288
objective 80352.000000
total_bin_cost 80352
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 860 load 250
bin 1 type 6 capacity 250 cost 159 items 67 load 250
bin 2 type 6 capacity 250 cost 159 items 961 load 250
bin 3 type 6 capacity 250 cost 159 items 374 load 250
bin 4 type 6 capacity 250 cost 159 items 702 load 250
bin 5 type 6 capacity 250 cost 159 items 202 load 250
bin 6 type 6 capacity 250 cost 159 items 317 load 250
bin 7 type 6 capacity 250 cost 159 items 206 load 249
bin 8 type 6 capacity 250 cost 159 items 880 load 249
bin 9 type 6 capacity 250 cost 159 items 811 load 249
bin 10 type 6 capacity 250 cost 159 items 742 load 249
bin 11 type 6 capacity 250 cost 159 items 58 load 248
bin 12 type 6 capacity 250 cost 159 items 69 load 248
bin 13 type 6 capacity 250 cost 159 items 782 load 247
bin 14 type 6 capacity 250 cost 159 items 887 load 247
bin 15 type 6 capacity 250 cost 159 items 966 load 247
bin 16 type 6 capacity 250 cost 159 items 25 load 247
bin 17 type 6 capacity 250 cost 159 items 9 load 246
bin 18 type 6 capacity 250 cost 159 items 913 load 246
bin 19 type 6 capacity 250 cost 159 items 328 load 244
bin 20 type 6 capacity 250 cost 159 items 789 load 244
bin 21 type 6 capacity 250 cost 159 items 426 load 243
bin 22 type 6 capacity 250 cost 159 items 427 load 242
bin 23 type 6 capacity 250 cost 159 items 817 737 load 250
bin 24 type 6 capacity 250 cost 159 items 495 305 load 250
bin 25 type 6 capacity 250 cost 159 items 229 260 load 243
bin 26 type 6 capacity 250 cost 159 items 933 403 load 247
bin 27 type 6 capacity 250 cost 159 items 200 43 load 242
bin 28 type 6 capacity 250 cost 159 items 953 32 load 250
bin 29 type 6 capacity 250 cost 159 items 853 825 load 245
bin 30 type 6 capacity 250 cost 159 items 413 638 load 244
bin 31 type 6 capacity 250 cost 159 items 814 336 load 249
bin 32 type 6 capacity 250 cost 159 items 178 960 load 248
bin 33 type 6 capacity 250 cost 159 items 251 750 load 238
bin 34 type 6 capacity 250 cost 159 items 122 517 load 248
bin 35 type 6 capacity 250 cost 159 items 473 587 load 248
bin 36 type 6 capacity 250 cost 159 items 878 724 load 246
bin 37 type 6 capacity 250 cost 159 items 720 222 load 248
bin 38 type 6 capacity 250 cost 159 items 851 997 load 250
bin 39 type 6 capacity 250 cost 159 items 727 337 load 250
bin 40 type 6 capacity 250 cost 159 items 228 369 load 246
bin 41 type 6 capacity 250 cost 159 items 958 380 load 247
bin 42 type 6 capacity 250 cost 159 items 351 611 load 250
bin 43 type 6 capacity 250 cost 159 items 508 450 load 249
bin 44 type 6 capacity 250 cost 159 items 965 203 load 249
bin 45 type 6 capacity 250 cost 159 items 973 622 load 249
bin 46 type 6 capacity 250 cost 159 items 900 397 load 249
bin 47 type 6 capacity 250 cost 159 items 161 57 load 250
bin 48 type 6 capacity 250 cost 159 items 603 123 load 250
bin 49 type 6 capacity 250 cost 159 items 565 847 load 249
bin 50 type 6 capacity 250 cost 159 items 466 362 load 250
bin 51 type 6 capacity 250 cost 159 items 255 896 load 250
bin 52 type 6 capacity 250 cost 159 items 608 862 load 248
bin 53 type 6 capacity 250 cost 159 items 216 176 load 247
bin 54 type 6 capacity 250 cost 159 items 767 73 load 248
bin 55 type 6 capacity 250 cost 159 items 140 464 load 250
bin 56 type 6 capacity 250 cost 159 items 104 524 load 250
bin 57 type 6 capacity 250 cost 159 items 854 396 load 248
bin 58 type 6 capacity 250 cost 159 items 976 39 load 249
bin 59 type 6 capacity 250 cost 159 items 531 111 load 248
bin 60 type 6 capacity 250 cost 159 items 376 802 load 250
bin 61 type 6 capacity 250 cost 159 items 467 257 load 247
bin 62 type 6 capacity 250 cost 159 items 762 627 load 250
bin 63 type 6 capacity 250 cost 159 items 525 867 load 243
bin 64 type 6 capacity 250 cost 159 items 102 416 load 249
bin 65 type 6 capacity 250 cost 159 items 147 185 load 250
bin 66 type 6 capacity 250 cost 159 items 126 729 load 244
bin 67 type 6 capacity 250 cost 159 items 65 442 load 249
bin 68 type 6 capacity 250 cost 159 items 884 700 load 245
bin 69 type 6 capacity 250 cost 159 items 666 550 load 249
bin 70 type 6 capacity 250 cost 159 items 719 886 load 249
bin 71 type 6 capacity 250 cost 159 items 310 683 load 250
bin 72 type 6 capacity 250 cost 159 items 518 248 load 249
bin 73 type 6 capacity 250 cost 159 items 734 659 load 250
bin 74 type 6 capacity 250 cost 159 items 322 412 load 249
bin 75 type 6 capacity 250 cost 159 items 544 183 load 243
bin 76 type 6 capacity 250 cost 159 items 821 540 load 247
bin 77 type 6 capacity 250 cost 159 items 223 669 load 250
bin 78 type 6 capacity 250 cost 159 items 410 486 load 248
bin 79 type 6 capacity 250 cost 159 items 935 752 load 244
bin 80 type 6 capacity 250 cost 159 items 334 155 load 250
bin 81 type 6 capacity 250 cost 159 items 15 568 load 250
bin 82 type 6 capacity 250 cost 159 items 910 267 load 249
bin 83 type 6 capacity 250 cost 159 items 279 470 load 245
bin 84 type 6 capacity 250 cost 159 items 791 828 load 246
bin 85 type 6 capacity 250 cost 159 items 835 2 load 250
bin 86 type 6 capacity 250 cost 159 items 968 378 load 249
bin 87 type 6 capacity 250 cost 159 items 516 149 load 243
bin 88 type 6 capacity 250 cost 159 items 375 981 load 245
bin 89 type 6 capacity 250 cost 159 items 995 675 load 250
bin 90 type 6 capacity 250 cost 159 items 54 163 load 249
bin 91 type 6 capacity 250 cost 159 items 265 197 load 249
bin 92 type 6 capacity 250 cost 159 items 809 352 load 248
bin 93 type 5 capacity 220 cost 149 items 274 load 220
bin 94 type 6 capacity 250 cost 159 items 937 832 load 246
bin 95 type 6 capacity 250 cost 159 items 333 271 load 250
bin 96 type 6 capacity 250 cost 159 items 510 778 load 236
bin 97 type 6 capacity 250 cost 159 items 115 640 load 250
bin 98 type 6 capacity 250 cost 159 items 655 151 load 250
bin 99 type 6 capacity 250 cost 159 items 448 449 load 250
bin 100 type 6 capacity 250 cost 159 items 360 504 load 250
bin 101 type 6 capacity 250 cost 159 items 409 576 load 250
bin 102 type 6 capacity 250 cost 159 items 586 241 load 249
bin 103 type 6 capacity 250 cost 159 items 338 110 load 249
bin 104 type 6 capacity 250 cost 159 items 154 757 load 250
bin 105 type 6 capacity 250 cost 159 items 81 657 load 247
bin 106 type 6 capacity 250 cost 159 items 244 905 load 248
bin 107 type 6 capacity 250 cost 159 items 969 388 load 245
bin 108 type 6 capacity 250 cost 159 items 268 77 load 250
bin 109 type 6 capacity 250 cost 159 items 462 24 load 250
bin 110 type 6 capacity 250 cost 159 items 118 221 load 250
bin 111 type 6 capacity 250 cost 159 items 96 777 load 248
bin 112 type 6 capacity 250 cost 159 items 476 231 load 248
bin 113 type 6 capacity 250 cost 159 items 434 59 load 248
bin 114 type 6 capacity 250 cost 159 items 519 800 load 249
bin 115 type 6 capacity 250 cost 159 items 714 803 load 245
bin 116 type 6 capacity 250 cost 159 items 93 51 load 247
bin 117 type 6 capacity 250 cost 159 items 939 429 load 249
bin 118 type 6 capacity 250 cost 159 items 482 959 load 250
bin 119 type 6 capacity 250 cost 159 items 652 318 load 247
bin 120 type 6 capacity 250 cost 159 items 358 307 load 248
bin 121 type 6 capacity 250 cost 159 items 850 150 load 248
bin 122 type 6 capacity 250 cost 159 items 312 97 load 250
bin 123 type 6 capacity 250 cost 159 items 193 635 load 245
bin 124 type 6 capacity 250 cost 159 items 195 37 load 249
bin 125 type 6 capacity 250 cost 159 items 435 839 load 250
bin 126 type 6 capacity 250 cost 159 items 745 581 load 250
bin 127 type 6 capacity 250 cost 159 items 469 177 load 250
bin 128 type 6 capacity 250 cost 159 items 404 394 load 249
bin 129 type 6 capacity 250 cost 159 items 288 557 load 250
bin 130 type 6 capacity 250 cost 159 items 826 773 load 248
bin 131 type 6 capacity 250 cost 159 items 572 213 load 249
bin 132 type 6 capacity 250 cost 159 items 595 856 load 244
bin 133 type 6 capacity 250 cost 159 items 617 484 load 245
bin 134 type 6 capacity 250 cost 159 items 534 14 load 250
bin 135 type 6 capacity 250 cost 159 items 85 575 986 load 250
bin 136 type 6 capacity 250 cost 159 items 604 179 load 250
bin 137 type 6 capacity 250 cost 159 items 94 988 load 249
bin 138 type 6 capacity 250 cost 159 items 763 421 load 250
bin 139 type 6 capacity 250 cost 159 items 331 227 load 249
bin 140 type 6 capacity 250 cost 159 items 392 593 load 249
bin 141 type 6 capacity 250 cost 159 items 881 707 load 248
bin 142 type 6 capacity 250 cost 159 items 259 301 load 248
bin 143 type 6 capacity 250 cost 159 items 350 113 load 250
bin 144 type 6 capacity 250 cost 159 items 414 45 load 249
bin 145 type 6 capacity 250 cost 159 items 311 157 load 249
bin 146 type 6 capacity 250 cost 159 items 423 612 load 247
bin 147 type 6 capacity 250 cost 159 items 299 903 load 245
bin 148 type 6 capacity 250 cost 159 items 116 437 load 249
bin 149 type 6 capacity 250 cost 159 items 551 457 load 249
bin 150 type 6 capacity 250 cost 159 items 507 974 load 249
bin 151 type 6 capacity 250 cost 159 items 159 879 load 246
bin 152 type 6 capacity 250 cost 159 items 117 559 load 250
bin 153 type 6 capacity 250 cost 159 items 588 923 load 250
bin 154 type 6 capacity 250 cost 159 items 527 697 load 250
bin 155 type 6 capacity 250 cost 159 items 528 186 load 246
bin 156 type 6 capacity 250 cost 159 items 806 180 load 250
bin 157 type 6 capacity 250 cost 159 items 130 475 load 248
bin 158 type 6 capacity 250 cost 159 items 438 914 load 247
bin 159 type 6 capacity 250 cost 159 items 795 119 load 247
bin 160 type 6 capacity 250 cost 159 items 66 651 load 248
bin 161 type 6 capacity 250 cost 159 items 236 44 load 246
bin 162 type 6 capacity 250 cost 159 items 419 844 load 249
bin 163 type 6 capacity 250 cost 159 items 701 897 load 242
bin 164 type 6 capacity 250 cost 159 items 424 217 530 load 250
bin 165 type 6 capacity 250 cost 159 items 804 679 453 load 249
bin 166 type 6 capacity 250 cost 159 items 114 405 41 load 250
bin 167 type 6 capacity 250 cost 159 items 597 601 549 load 249
bin 168 type 6 capacity 250 cost 159 items 799 624 load 250
bin 169 type 6 capacity 250 cost 159 items 818 634 load 250
bin 170 type 6 capacity 250 cost 159 items 103 106 load 250
bin 171 type 6 capacity 250 cost 159 items 92 52 load 247
bin 172 type 6 capacity 250 cost 159 items 671 796 load 250
bin 173 type 6 capacity 250 cost 159 items 605 613 load 239
bin 174 type 6 capacity 250 cost 159 items 347 786 load 249
bin 175 type 6 capacity 250 cost 159 items 70 406 load 249
bin 176 type 6 capacity 250 cost 159 items 672 648 load 245
bin 177 type 6 capacity 250 cost 159 items 907 436 load 245
bin 178 type 6 capacity 250 cost 159 items 30 308 load 248
bin 179 type 6 capacity 250 cost 159 items 712 237 load 250
bin 180 type 6 capacity 250 cost 159 items 882 477 422 load 247
bin 181 type 6 capacity 250 cost 159 items 788 170 523 load 249
bin 182 type 6 capacity 250 cost 159 items 194 326 load 247
bin 183 type 6 capacity 250 cost 159 items 529 284 load 250
bin 184 type 6 capacity 250 cost 159 items 547 189 load 247
bin 185 type 6 capacity 250 cost 159 items 843 533 load 249
bin 186 type 6 capacity 250 cost 159 items 399 292 load 249
bin 187 type 6 capacity 250 cost 159 items 869 626 load 239
bin 188 type 6 capacity 250 cost 159 items 759 269 load 247
bin 189 type 6 capacity 250 cost 159 items 979 139 load 247
bin 190 type 6 capacity 250 cost 159 items 682 716 load 250
bin 191 type 6 capacity 250 cost 159 items 342 383 load 247
