instance_file ../instances/set_2/N_1000/HS_Random_4_9_1.txt
config set2_7types_concave
algorithm AILS
run 9
seed 50
start_time 2026-05-03 04:52:32
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 231.509780
objective 80361.000000
total_bin_cost 80361
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 860 load 250
bin 1 type 6 capacity 250 cost 159 items 67 load 250
bin 2 type 6 capacity 250 cost 159 items 961 load 250
bin 3 type 6 capacity 250 cost 159 items 374 load 250
bin 4 type 6 capacity 250 cost 159 items 702 load 250
bin 5 type 6 capacity 250 cost 159 items 202 load 250
bin 6 type 6 capacity 250 cost 159 items 317 load 250
bin 7 type 6 capacity 250 cost 159 items 206 load 249
bin 8 type 6 capacity 250 cost 159 items 880 load 249
bin 9 type 6 capacity 250 cost 159 items 811 load 249
bin 10 type 6 capacity 250 cost 159 items 742 load 249
bin 11 type 6 capacity 250 cost 159 items 58 load 248
bin 12 type 6 capacity 250 cost 159 items 69 load 248
bin 13 type 6 capacity 250 cost 159 items 782 load 247
bin 14 type 6 capacity 250 cost 159 items 887 load 247
bin 15 type 6 capacity 250 cost 159 items 966 load 247
bin 16 type 6 capacity 250 cost 159 items 25 load 247
bin 17 type 6 capacity 250 cost 159 items 9 load 246
bin 18 type 6 capacity 250 cost 159 items 913 load 246
bin 19 type 6 capacity 250 cost 159 items 328 load 244
bin 20 type 6 capacity 250 cost 159 items 789 load 244
bin 21 type 6 capacity 250 cost 159 items 426 load 243
bin 22 type 6 capacity 250 cost 159 items 536 164 load 247
bin 23 type 6 capacity 250 cost 159 items 427 load 242
bin 24 type 6 capacity 250 cost 159 items 817 737 load 250
bin 25 type 6 capacity 250 cost 159 items 940 432 load 250
bin 26 type 6 capacity 250 cost 159 items 229 260 load 243
bin 27 type 6 capacity 250 cost 159 items 365 127 load 249
bin 28 type 6 capacity 250 cost 159 items 3 8 load 248
bin 29 type 6 capacity 250 cost 159 items 473 587 load 248
bin 30 type 6 capacity 250 cost 159 items 878 724 load 246
bin 31 type 6 capacity 250 cost 159 items 667 705 load 239
bin 32 type 6 capacity 250 cost 159 items 362 466 load 250
bin 33 type 6 capacity 250 cost 159 items 727 337 load 250
bin 34 type 6 capacity 250 cost 159 items 351 611 load 250
bin 35 type 6 capacity 250 cost 159 items 565 847 load 249
bin 36 type 6 capacity 250 cost 159 items 76 239 load 247
bin 37 type 6 capacity 250 cost 159 items 216 176 load 247
bin 38 type 6 capacity 250 cost 159 items 767 73 load 248
bin 39 type 6 capacity 250 cost 159 items 329 463 load 248
bin 40 type 6 capacity 250 cost 159 items 140 464 load 250
bin 41 type 6 capacity 250 cost 159 items 854 396 load 248
bin 42 type 6 capacity 250 cost 159 items 531 111 load 248
bin 43 type 6 capacity 250 cost 159 items 376 802 load 250
bin 44 type 6 capacity 250 cost 159 items 467 257 load 247
bin 45 type 6 capacity 250 cost 159 items 152 943 load 250
bin 46 type 6 capacity 250 cost 159 items 762 627 load 250
bin 47 type 6 capacity 250 cost 159 items 102 416 load 249
bin 48 type 6 capacity 250 cost 159 items 147 185 load 250
bin 49 type 6 capacity 250 cost 159 items 428 723 load 242
bin 50 type 6 capacity 250 cost 159 items 496 335 load 247
bin 51 type 6 capacity 250 cost 159 items 738 932 load 250
bin 52 type 6 capacity 250 cost 159 items 734 659 load 250
bin 53 type 6 capacity 250 cost 159 items 544 183 load 243
bin 54 type 6 capacity 250 cost 159 items 799 624 load 250
bin 55 type 6 capacity 250 cost 159 items 410 486 load 248
bin 56 type 6 capacity 250 cost 159 items 935 752 load 244
bin 57 type 6 capacity 250 cost 159 items 353 243 load 249
bin 58 type 6 capacity 250 cost 159 items 334 155 load 250
bin 59 type 6 capacity 250 cost 159 items 15 568 load 250
bin 60 type 6 capacity 250 cost 159 items 910 267 load 249
bin 61 type 6 capacity 250 cost 159 items 294 798 load 249
bin 62 type 6 capacity 250 cost 159 items 835 2 load 250
bin 63 type 6 capacity 250 cost 159 items 516 149 load 243
bin 64 type 6 capacity 250 cost 159 items 54 163 load 249
bin 65 type 6 capacity 250 cost 159 items 265 197 load 249
bin 66 type 6 capacity 250 cost 159 items 809 352 load 248
bin 67 type 6 capacity 250 cost 159 items 371 936 load 250
bin 68 type 6 capacity 250 cost 159 items 945 240 load 248
bin 69 type 6 capacity 250 cost 159 items 333 271 load 250
bin 70 type 6 capacity 250 cost 159 items 115 640 load 250
bin 71 type 6 capacity 250 cost 159 items 819 760 load 249
bin 72 type 6 capacity 250 cost 159 items 537 212 load 250
bin 73 type 6 capacity 250 cost 159 items 685 925 load 245
