instance_file ../instances/set_2/N_1000/HS_Random_4_9_1.txt
config set2_7types_linear
algorithm AILS
run 6
seed 47
start_time 2026-05-03 04:21:41
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 84.380584
objective 125840.000000
total_bin_cost 125840
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 860 load 250
bin 1 type 6 capacity 250 cost 250 items 67 load 250
bin 2 type 6 capacity 250 cost 250 items 961 load 250
bin 3 type 6 capacity 250 cost 250 items 374 load 250
bin 4 type 6 capacity 250 cost 250 items 702 load 250
bin 5 type 6 capacity 250 cost 250 items 202 load 250
bin 6 type 6 capacity 250 cost 250 items 317 load 250
bin 7 type 6 capacity 250 cost 250 items 206 load 249
bin 8 type 6 capacity 250 cost 250 items 880 load 249
bin 9 type 6 capacity 250 cost 250 items 811 load 249
bin 10 type 6 capacity 250 cost 250 items 742 load 249
bin 11 type 6 capacity 250 cost 250 items 58 load 248
bin 12 type 6 capacity 250 cost 250 items 69 load 248
bin 13 type 6 capacity 250 cost 250 items 782 load 247
bin 14 type 6 capacity 250 cost 250 items 887 load 247
bin 15 type 6 capacity 250 cost 250 items 966 load 247
bin 16 type 6 capacity 250 cost 250 items 25 load 247
bin 17 type 6 capacity 250 cost 250 items 9 load 246
bin 18 type 6 capacity 250 cost 250 items 913 load 246
bin 19 type 6 capacity 250 cost 250 items 328 load 244
bin 20 type 6 capacity 250 cost 250 items 789 load 244
bin 21 type 6 capacity 250 cost 250 items 522 532 load 250
bin 22 type 6 capacity 250 cost 250 items 426 load 243
bin 23 type 6 capacity 250 cost 250 items 536 164 load 247
bin 24 type 6 capacity 250 cost 250 items 427 load 242
bin 25 type 6 capacity 250 cost 250 items 940 432 load 250
bin 26 type 6 capacity 250 cost 250 items 495 305 load 250
bin 27 type 6 capacity 250 cost 250 items 830 908 load 250
bin 28 type 6 capacity 250 cost 250 items 229 260 load 243
bin 29 type 6 capacity 250 cost 250 items 487 964 load 247
bin 30 type 6 capacity 250 cost 250 items 953 32 load 250
bin 31 type 6 capacity 250 cost 250 items 413 638 load 244
bin 32 type 6 capacity 250 cost 250 items 614 74 load 249
bin 33 type 6 capacity 250 cost 250 items 365 127 load 249
bin 34 type 6 capacity 250 cost 250 items 814 336 load 249
bin 35 type 6 capacity 250 cost 250 items 927 845 load 249
bin 36 type 6 capacity 250 cost 250 items 831 639 load 246
bin 37 type 6 capacity 250 cost 250 items 270 753 load 249
bin 38 type 6 capacity 250 cost 250 items 354 585 load 246
bin 39 type 6 capacity 250 cost 250 items 251 750 load 238
bin 40 type 6 capacity 250 cost 250 items 122 517 load 248
bin 41 type 6 capacity 250 cost 250 items 473 587 load 248
bin 42 type 6 capacity 250 cost 250 items 878 724 load 246
bin 43 type 6 capacity 250 cost 250 items 720 222 load 248
bin 44 type 6 capacity 250 cost 250 items 667 705 load 239
bin 45 type 6 capacity 250 cost 250 items 362 466 load 250
bin 46 type 6 capacity 250 cost 250 items 816 660 load 249
bin 47 type 6 capacity 250 cost 250 items 727 337 load 250
bin 48 type 6 capacity 250 cost 250 items 351 611 load 250
bin 49 type 6 capacity 250 cost 250 items 508 450 load 249
bin 50 type 6 capacity 250 cost 250 items 965 203 load 249
bin 51 type 6 capacity 250 cost 250 items 973 622 load 249
bin 52 type 6 capacity 250 cost 250 items 900 397 load 249
bin 53 type 6 capacity 250 cost 250 items 161 57 load 250
bin 54 type 6 capacity 250 cost 250 items 603 123 load 250
bin 55 type 5 capacity 220 cost 220 items 274 load 220
bin 56 type 6 capacity 250 cost 250 items 255 896 load 250
bin 57 type 6 capacity 250 cost 250 items 608 862 load 248
bin 58 type 6 capacity 250 cost 250 items 309 993 load 249
bin 59 type 6 capacity 250 cost 250 items 644 134 load 250
bin 60 type 6 capacity 250 cost 250 items 767 73 load 248
bin 61 type 6 capacity 250 cost 250 items 620 883 load 248
bin 62 type 6 capacity 250 cost 250 items 329 463 load 248
bin 63 type 6 capacity 250 cost 250 items 140 464 load 250
bin 64 type 6 capacity 250 cost 250 items 758 599 load 248
bin 65 type 6 capacity 250 cost 250 items 411 313 load 249
bin 66 type 6 capacity 250 cost 250 items 104 524 load 250
bin 67 type 6 capacity 250 cost 250 items 854 396 load 248
bin 68 type 6 capacity 250 cost 250 items 531 111 load 248
bin 69 type 6 capacity 250 cost 250 items 749 692 load 249
bin 70 type 6 capacity 250 cost 250 items 376 802 load 250
bin 71 type 6 capacity 250 cost 250 items 467 257 load 247
bin 72 type 6 capacity 250 cost 250 items 926 253 load 250
bin 73 type 6 capacity 250 cost 250 items 152 943 load 250
bin 74 type 6 capacity 250 cost 250 items 762 627 load 250
bin 75 type 6 capacity 250 cost 250 items 525 867 load 243
bin 76 type 6 capacity 250 cost 250 items 102 416 load 249
bin 77 type 6 capacity 250 cost 250 items 147 185 load 250
bin 78 type 6 capacity 250 cost 250 items 126 729 load 244
bin 79 type 6 capacity 250 cost 250 items 264 650 load 246
bin 80 type 6 capacity 250 cost 250 items 398 393 load 249
bin 81 type 6 capacity 250 cost 250 items 994 670 load 250
bin 82 type 6 capacity 250 cost 250 items 65 442 load 249
bin 83 type 6 capacity 250 cost 250 items 562 876 load 250
bin 84 type 6 capacity 250 cost 250 items 666 550 load 249
bin 85 type 6 capacity 250 cost 250 items 496 335 load 247
bin 86 type 6 capacity 250 cost 250 items 719 886 load 249
bin 87 type 6 capacity 250 cost 250 items 310 683 load 250
bin 88 type 6 capacity 250 cost 250 items 518 248 load 249
bin 89 type 6 capacity 250 cost 250 items 734 659 load 250
bin 90 type 6 capacity 250 cost 250 items 544 183 load 243
bin 91 type 6 capacity 250 cost 250 items 821 540 load 247
bin 92 type 6 capacity 250 cost 250 items 547 533 load 250
bin 93 type 6 capacity 250 cost 250 items 223 669 load 250
bin 94 type 6 capacity 250 cost 250 items 843 748 load 247
bin 95 type 6 capacity 250 cost 250 items 218 632 load 250
bin 96 type 6 capacity 250 cost 250 items 410 486 load 248
bin 97 type 6 capacity 250 cost 250 items 935 752 load 244
bin 98 type 6 capacity 250 cost 250 items 353 243 load 249
bin 99 type 6 capacity 250 cost 250 items 636 624 load 247
bin 100 type 6 capacity 250 cost 250 items 672 269 load 250
bin 101 type 6 capacity 250 cost 250 items 334 155 load 250
bin 102 type 6 capacity 250 cost 250 items 15 568 load 250
bin 103 type 6 capacity 250 cost 250 items 399 292 load 249
bin 104 type 6 capacity 250 cost 250 items 61 23 load 249
bin 105 type 6 capacity 250 cost 250 items 320 205 load 250
bin 106 type 6 capacity 250 cost 250 items 747 658 load 250
bin 107 type 6 capacity 250 cost 250 items 910 267 load 249
bin 108 type 6 capacity 250 cost 250 items 294 798 load 249
bin 109 type 6 capacity 250 cost 250 items 992 174 load 248
bin 110 type 6 capacity 250 cost 250 items 875 238 load 248
bin 111 type 6 capacity 250 cost 250 items 838 999 load 248
bin 112 type 6 capacity 250 cost 250 items 791 828 load 246
bin 113 type 6 capacity 250 cost 250 items 968 378 load 249
bin 114 type 6 capacity 250 cost 250 items 654 341 load 245
bin 115 type 6 capacity 250 cost 250 items 372 219 load 248
bin 116 type 6 capacity 250 cost 250 items 302 36 load 248
bin 117 type 6 capacity 250 cost 250 items 995 675 load 250
bin 118 type 6 capacity 250 cost 250 items 54 163 load 249
bin 119 type 6 capacity 250 cost 250 items 265 197 load 249
bin 120 type 6 capacity 250 cost 250 items 764 575 load 243
bin 121 type 6 capacity 250 cost 250 items 371 936 load 250
bin 122 type 6 capacity 250 cost 250 items 945 240 load 248
bin 123 type 6 capacity 250 cost 250 items 333 271 load 250
bin 124 type 6 capacity 250 cost 250 items 704 998 load 248
bin 125 type 6 capacity 250 cost 250 items 956 668 load 242
bin 126 type 6 capacity 250 cost 250 items 537 212 load 250
bin 127 type 6 capacity 250 cost 250 items 448 449 load 250
bin 128 type 6 capacity 250 cost 250 items 509 131 load 249
bin 129 type 6 capacity 250 cost 250 items 30 990 load 247
bin 130 type 6 capacity 250 cost 250 items 360 504 load 250
bin 131 type 6 capacity 250 cost 250 items 409 576 load 250
bin 132 type 6 capacity 250 cost 250 items 586 241 load 249
bin 133 type 6 capacity 250 cost 250 items 338 110 load 249
bin 134 type 6 capacity 250 cost 250 items 154 757 load 250
bin 135 type 6 capacity 250 cost 250 items 969 388 load 245
bin 136 type 6 capacity 250 cost 250 items 431 859 load 249
bin 137 type 6 capacity 250 cost 250 items 281 514 load 249
bin 138 type 6 capacity 250 cost 250 items 268 77 load 250
bin 139 type 5 capacity 220 cost 220 items 784 385 load 218
bin 140 type 6 capacity 250 cost 250 items 558 691 load 249
bin 141 type 6 capacity 250 cost 250 items 12 628 load 248
bin 142 type 6 capacity 250 cost 250 items 96 777 load 248
bin 143 type 6 capacity 250 cost 250 items 476 231 load 248
bin 144 type 6 capacity 250 cost 250 items 78 387 load 250
bin 145 type 6 capacity 250 cost 250 items 538 618 load 248
bin 146 type 6 capacity 250 cost 250 items 519 800 load 249
bin 147 type 6 capacity 250 cost 250 items 714 803 load 245
bin 148 type 6 capacity 250 cost 250 items 93 51 load 247
bin 149 type 6 capacity 250 cost 250 items 642 598 load 249
bin 150 type 6 capacity 250 cost 250 items 939 429 load 249
bin 151 type 6 capacity 250 cost 250 items 892 643 load 249
bin 152 type 6 capacity 250 cost 250 items 564 917 load 250
bin 153 type 6 capacity 250 cost 250 items 482 959 load 250
bin 154 type 6 capacity 250 cost 250 items 358 307 load 248
bin 155 type 6 capacity 250 cost 250 items 478 790 load 250
bin 156 type 6 capacity 250 cost 250 items 391 674 load 250
bin 157 type 6 capacity 250 cost 250 items 836 356 load 250
bin 158 type 3 capacity 160 cost 160 items 912 load 159
bin 159 type 5 capacity 220 cost 220 items 128 35 load 219
bin 160 type 6 capacity 250 cost 250 items 605 808 load 245
bin 161 type 6 capacity 250 cost 250 items 193 635 load 245
bin 162 type 6 capacity 250 cost 250 items 794 592 load 248
bin 163 type 6 capacity 250 cost 250 items 195 37 load 249
bin 164 type 6 capacity 250 cost 250 items 435 839 load 250
bin 165 type 6 capacity 250 cost 250 items 745 581 load 250
bin 166 type 6 capacity 250 cost 250 items 511 381 load 248
bin 167 type 6 capacity 250 cost 250 items 645 744 load 249
