instance_file ../instances/set_2/N_1000/HS_Random_4_9_2.txt
config set2_7types_linear
algorithm AILS
run 1
seed 42
start_time 2026-05-03 05:42:18
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 82.354204
objective 126140.000000
total_bin_cost 126140
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 421 load 250
bin 1 type 6 capacity 250 cost 250 items 761 load 250
bin 2 type 6 capacity 250 cost 250 items 661 load 250
bin 3 type 6 capacity 250 cost 250 items 679 load 250
bin 4 type 6 capacity 250 cost 250 items 853 load 250
bin 5 type 6 capacity 250 cost 250 items 638 load 249
bin 6 type 6 capacity 250 cost 250 items 545 206 load 249
bin 7 type 6 capacity 250 cost 250 items 973 159 load 250
bin 8 type 6 capacity 250 cost 250 items 377 386 load 250
bin 9 type 6 capacity 250 cost 250 items 694 load 244
bin 10 type 6 capacity 250 cost 250 items 746 load 243
bin 11 type 6 capacity 250 cost 250 items 165 805 load 247
bin 12 type 6 capacity 250 cost 250 items 531 481 load 250
bin 13 type 6 capacity 250 cost 250 items 150 220 load 249
bin 14 type 6 capacity 250 cost 250 items 433 77 load 250
bin 15 type 6 capacity 250 cost 250 items 727 998 load 247
bin 16 type 6 capacity 250 cost 250 items 290 911 load 245
bin 17 type 6 capacity 250 cost 250 items 980 963 load 248
bin 18 type 6 capacity 250 cost 250 items 656 893 load 245
bin 19 type 6 capacity 250 cost 250 items 588 724 load 250
bin 20 type 6 capacity 250 cost 250 items 115 891 load 248
bin 21 type 6 capacity 250 cost 250 items 841 253 load 248
bin 22 type 6 capacity 250 cost 250 items 201 325 load 250
bin 23 type 6 capacity 250 cost 250 items 523 338 load 250
bin 24 type 6 capacity 250 cost 250 items 524 626 load 244
bin 25 type 6 capacity 250 cost 250 items 238 795 load 249
bin 26 type 6 capacity 250 cost 250 items 273 193 load 248
bin 27 type 6 capacity 250 cost 250 items 333 303 load 250
bin 28 type 6 capacity 250 cost 250 items 475 519 load 249
