instance_file ../instances/set_2/N_1000/HS_Random_4_9_3.txt
config set2_7types_linear
algorithm AILS
run 2
seed 43
start_time 2026-05-03 06:15:24
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 59.481850
objective 128510.000000
total_bin_cost 128510
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 710 load 250
bin 1 type 6 capacity 250 cost 250 items 344 load 250
bin 2 type 6 capacity 250 cost 250 items 684 load 250
bin 3 type 6 capacity 250 cost 250 items 964 load 250
bin 4 type 6 capacity 250 cost 250 items 135 load 250
bin 5 type 6 capacity 250 cost 250 items 882 load 250
bin 6 type 6 capacity 250 cost 250 items 812 load 250
bin 7 type 6 capacity 250 cost 250 items 831 load 250
bin 8 type 6 capacity 250 cost 250 items 757 load 248
bin 9 type 6 capacity 250 cost 250 items 779 load 248
bin 10 type 6 capacity 250 cost 250 items 348 load 248
bin 11 type 6 capacity 250 cost 250 items 532 load 247
bin 12 type 6 capacity 250 cost 250 items 421 553 load 249
bin 13 type 6 capacity 250 cost 250 items 747 502 load 247
bin 14 type 6 capacity 250 cost 250 items 183 218 load 250
bin 15 type 6 capacity 250 cost 250 items 729 912 load 249
bin 16 type 6 capacity 250 cost 250 items 181 1 load 248
bin 17 type 6 capacity 250 cost 250 items 722 324 load 247
bin 18 type 6 capacity 250 cost 250 items 543 512 load 248
bin 19 type 6 capacity 250 cost 250 items 990 859 load 249
bin 20 type 6 capacity 250 cost 250 items 340 271 load 249
bin 21 type 6 capacity 250 cost 250 items 411 267 load 250
bin 22 type 6 capacity 250 cost 250 items 256 800 load 250
bin 23 type 6 capacity 250 cost 250 items 851 169 load 250
bin 24 type 6 capacity 250 cost 250 items 441 419 load 239
bin 25 type 6 capacity 250 cost 250 items 291 136 load 250
bin 26 type 6 capacity 250 cost 250 items 50 490 load 247
bin 27 type 6 capacity 250 cost 250 items 810 149 load 248
bin 28 type 6 capacity 250 cost 250 items 775 load 231
bin 29 type 6 capacity 250 cost 250 items 592 363 load 246
bin 30 type 6 capacity 250 cost 250 items 284 168 load 250
bin 31 type 6 capacity 250 cost 250 items 707 856 load 249
bin 32 type 6 capacity 250 cost 250 items 809 217 load 247
