instance_file ../instances/set_2/N_1000/HS_Random_4_9_5.txt
config set2_7types_linear
algorithm AILS
run 3
seed 44
start_time 2026-05-03 07:11:07
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 47.730374
objective 124880.000000
total_bin_cost 124880
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 477 load 250
bin 1 type 6 capacity 250 cost 250 items 30 load 250
bin 2 type 6 capacity 250 cost 250 items 163 load 250
bin 3 type 6 capacity 250 cost 250 items 187 load 249
bin 4 type 6 capacity 250 cost 250 items 467 load 249
bin 5 type 6 capacity 250 cost 250 items 563 995 load 250
bin 6 type 6 capacity 250 cost 250 items 562 load 249
bin 7 type 6 capacity 250 cost 250 items 922 load 248
bin 8 type 6 capacity 250 cost 250 items 247 load 248
bin 9 type 6 capacity 250 cost 250 items 105 775 load 250
bin 10 type 6 capacity 250 cost 250 items 277 load 247
bin 11 type 6 capacity 250 cost 250 items 402 load 247
bin 12 type 6 capacity 250 cost 250 items 582 load 247
bin 13 type 6 capacity 250 cost 250 items 716 31 load 248
bin 14 type 6 capacity 250 cost 250 items 632 570 load 250
bin 15 type 6 capacity 250 cost 250 items 497 152 load 244
bin 16 type 6 capacity 250 cost 250 items 200 676 load 249
bin 17 type 6 capacity 250 cost 250 items 720 617 load 246
bin 18 type 6 capacity 250 cost 250 items 585 817 load 248
bin 19 type 6 capacity 250 cost 250 items 912 51 load 250
bin 20 type 6 capacity 250 cost 250 items 863 878 load 250
bin 21 type 6 capacity 250 cost 250 items 507 862 load 250
bin 22 type 6 capacity 250 cost 250 items 534 99 load 249
bin 23 type 6 capacity 250 cost 250 items 157 20 load 249
bin 24 type 6 capacity 250 cost 250 items 491 401 load 249
bin 25 type 6 capacity 250 cost 250 items 756 976 load 250
bin 26 type 6 capacity 250 cost 250 items 812 752 load 248
bin 27 type 6 capacity 250 cost 250 items 287 106 load 246
bin 28 type 6 capacity 250 cost 250 items 979 993 load 238
bin 29 type 6 capacity 250 cost 250 items 884 129 load 247
bin 30 type 6 capacity 250 cost 250 items 466 933 load 249
bin 31 type 6 capacity 250 cost 250 items 555 504 load 250
bin 32 type 6 capacity 250 cost 250 items 10 904 load 250
bin 33 type 6 capacity 250 cost 250 items 584 121 load 249
