instance_file ../instances/set_2/N_1000/HS_Random_4_9_6.txt
config set2_7types_concave
algorithm AILS
run 8
seed 49
start_time 2026-05-03 08:08:56
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 139.908526
objective 78773.000000
total_bin_cost 78773
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 920 load 250
bin 1 type 6 capacity 250 cost 159 items 238 load 250
bin 2 type 6 capacity 250 cost 159 items 249 load 250
bin 3 type 6 capacity 250 cost 159 items 109 load 249
bin 4 type 6 capacity 250 cost 159 items 324 load 249
bin 5 type 6 capacity 250 cost 159 items 911 load 248
bin 6 type 6 capacity 250 cost 159 items 90 927 load 249
bin 7 type 6 capacity 250 cost 159 items 500 load 247
bin 8 type 6 capacity 250 cost 159 items 219 996 load 249
bin 9 type 6 capacity 250 cost 159 items 559 272 load 250
bin 10 type 6 capacity 250 cost 159 items 740 132 load 250
bin 11 type 6 capacity 250 cost 159 items 694 690 load 250
bin 12 type 6 capacity 250 cost 159 items 992 load 245
bin 13 type 6 capacity 250 cost 159 items 472 360 load 248
bin 14 type 6 capacity 250 cost 159 items 597 load 244
bin 15 type 6 capacity 250 cost 159 items 83 load 244
bin 16 type 6 capacity 250 cost 159 items 110 9 load 248
bin 17 type 6 capacity 250 cost 159 items 865 887 load 250
bin 18 type 6 capacity 250 cost 159 items 866 138 load 248
bin 19 type 6 capacity 250 cost 159 items 802 382 load 246
bin 20 type 6 capacity 250 cost 159 items 312 19 load 250
bin 21 type 6 capacity 250 cost 159 items 660 91 load 250
bin 22 type 6 capacity 250 cost 159 items 807 970 load 248
bin 23 type 6 capacity 250 cost 159 items 389 285 load 249
bin 24 type 6 capacity 250 cost 159 items 873 846 load 250
bin 25 type 6 capacity 250 cost 159 items 25 913 load 250
bin 26 type 6 capacity 250 cost 159 items 712 683 load 250
bin 27 type 6 capacity 250 cost 159 items 815 989 load 250
bin 28 type 6 capacity 250 cost 159 items 744 974 load 247
bin 29 type 6 capacity 250 cost 159 items 169 463 load 245
bin 30 type 6 capacity 250 cost 159 items 482 86 load 250
bin 31 type 6 capacity 250 cost 159 items 115 506 load 250
bin 32 type 6 capacity 250 cost 159 items 240 318 load 249
bin 33 type 6 capacity 250 cost 159 items 766 735 load 244
bin 34 type 6 capacity 250 cost 159 items 504 703 load 249
bin 35 type 6 capacity 250 cost 159 items 274 10 load 249
bin 36 type 6 capacity 250 cost 159 items 433 106 load 244
bin 37 type 6 capacity 250 cost 159 items 170 912 load 249
bin 38 type 6 capacity 250 cost 159 items 75 625 load 248
bin 39 type 6 capacity 250 cost 159 items 663 557 load 243
bin 40 type 6 capacity 250 cost 159 items 516 682 load 246
bin 41 type 6 capacity 250 cost 159 items 478 963 load 250
bin 42 type 6 capacity 250 cost 159 items 280 164 load 249
bin 43 type 6 capacity 250 cost 159 items 375 984 load 247
bin 44 type 6 capacity 250 cost 159 items 357 444 load 250
bin 45 type 6 capacity 250 cost 159 items 967 545 load 240
bin 46 type 6 capacity 250 cost 159 items 361 348 load 244
bin 47 type 6 capacity 250 cost 159 items 487 623 load 250
bin 48 type 6 capacity 250 cost 159 items 282 915 load 249
bin 49 type 6 capacity 250 cost 159 items 751 67 load 246
bin 50 type 6 capacity 250 cost 159 items 729 817 load 250
bin 51 type 6 capacity 250 cost 159 items 133 548 load 250
bin 52 type 6 capacity 250 cost 159 items 553 22 load 250
bin 53 type 6 capacity 250 cost 159 items 55 781 load 250
bin 54 type 6 capacity 250 cost 159 items 667 49 load 246
bin 55 type 6 capacity 250 cost 159 items 405 705 load 244
bin 56 type 6 capacity 250 cost 159 items 311 56 load 250
bin 57 type 6 capacity 250 cost 159 items 30 937 load 247
bin 58 type 6 capacity 250 cost 159 items 221 525 load 250
bin 59 type 6 capacity 250 cost 159 items 466 417 load 250
bin 60 type 6 capacity 250 cost 159 items 595 199 load 245
bin 61 type 6 capacity 250 cost 159 items 0 29 load 250
bin 62 type 6 capacity 250 cost 159 items 180 952 load 246
bin 63 type 6 capacity 250 cost 159 items 547 792 load 250
bin 64 type 6 capacity 250 cost 159 items 987 161 load 247
bin 65 type 6 capacity 250 cost 159 items 594 929 load 245
bin 66 type 6 capacity 250 cost 159 items 565 671 load 250
bin 67 type 6 capacity 250 cost 159 items 893 95 load 250
bin 68 type 6 capacity 250 cost 159 items 644 538 load 250
bin 69 type 6 capacity 250 cost 159 items 252 125 load 250
bin 70 type 6 capacity 250 cost 159 items 955 16 load 247
bin 71 type 6 capacity 250 cost 159 items 474 363 load 246
bin 72 type 6 capacity 250 cost 159 items 278 322 load 245
bin 73 type 6 capacity 250 cost 159 items 515 57 load 249
bin 74 type 6 capacity 250 cost 159 items 843 666 load 246
bin 75 type 6 capacity 250 cost 159 items 696 787 load 242
bin 76 type 6 capacity 250 cost 159 items 674 34 load 249
bin 77 type 6 capacity 250 cost 159 items 307 233 load 250
bin 78 type 6 capacity 250 cost 159 items 837 281 load 246
bin 79 type 6 capacity 250 cost 159 items 806 314 load 245
bin 80 type 6 capacity 250 cost 159 items 13 28 load 245
bin 81 type 6 capacity 250 cost 159 items 26 779 load 250
bin 82 type 6 capacity 250 cost 159 items 512 237 load 250
bin 83 type 6 capacity 250 cost 159 items 707 159 load 249
bin 84 type 6 capacity 250 cost 159 items 471 752 load 250
bin 85 type 6 capacity 250 cost 159 items 459 692 load 250
bin 86 type 6 capacity 250 cost 159 items 607 555 load 244
bin 87 type 6 capacity 250 cost 159 items 61 96 load 250
bin 88 type 6 capacity 250 cost 159 items 889 372 load 250
bin 89 type 6 capacity 250 cost 159 items 510 76 load 248
bin 90 type 6 capacity 250 cost 159 items 527 31 load 249
bin 91 type 6 capacity 250 cost 159 items 229 679 load 248
bin 92 type 6 capacity 250 cost 159 items 662 756 load 250
bin 93 type 6 capacity 250 cost 159 items 101 793 load 250
bin 94 type 6 capacity 250 cost 159 items 991 941 load 250
bin 95 type 6 capacity 250 cost 159 items 918 476 load 248
bin 96 type 6 capacity 250 cost 159 items 275 270 load 248
bin 97 type 6 capacity 250 cost 159 items 461 439 load 250
bin 98 type 6 capacity 250 cost 159 items 228 676 load 246
bin 99 type 6 capacity 250 cost 159 items 590 462 load 248
bin 100 type 6 capacity 250 cost 159 items 144 820 load 250
bin 101 type 6 capacity 250 cost 159 items 452 481 load 247
bin 102 type 6 capacity 250 cost 159 items 901 652 load 250
bin 103 type 6 capacity 250 cost 159 items 774 775 load 247
bin 104 type 6 capacity 250 cost 159 items 470 215 load 248
bin 105 type 6 capacity 250 cost 159 items 65 757 load 248
bin 106 type 6 capacity 250 cost 159 items 177 959 load 250
bin 107 type 6 capacity 250 cost 159 items 668 33 load 248
bin 108 type 6 capacity 250 cost 159 items 511 374 load 244
bin 109 type 6 capacity 250 cost 159 items 408 753 load 242
bin 110 type 6 capacity 250 cost 159 items 786 777 load 250
bin 111 type 6 capacity 250 cost 159 items 17 905 load 246
bin 112 type 6 capacity 250 cost 159 items 204 560 load 250
bin 113 type 6 capacity 250 cost 159 items 968 495 load 249
bin 114 type 6 capacity 250 cost 159 items 258 711 load 248
bin 115 type 6 capacity 250 cost 159 items 21 685 load 250
bin 116 type 6 capacity 250 cost 159 items 97 948 load 248
bin 117 type 6 capacity 250 cost 159 items 430 857 load 246
bin 118 type 6 capacity 250 cost 159 items 986 725 load 250
bin 119 type 6 capacity 250 cost 159 items 621 767 load 250
bin 120 type 6 capacity 250 cost 159 items 302 488 load 250
bin 121 type 6 capacity 250 cost 159 items 220 965 load 250
bin 122 type 6 capacity 250 cost 159 items 619 812 load 250
bin 123 type 6 capacity 250 cost 159 items 884 498 load 244
bin 124 type 6 capacity 250 cost 159 items 371 291 load 247
bin 125 type 6 capacity 250 cost 159 items 168 321 load 250
bin 126 type 6 capacity 250 cost 159 items 624 284 load 249
bin 127 type 6 capacity 250 cost 159 items 661 145 972 load 248
bin 128 type 6 capacity 250 cost 159 items 839 723 load 250
bin 129 type 6 capacity 250 cost 159 items 526 182 load 247
bin 130 type 6 capacity 250 cost 159 items 41 922 load 250
bin 131 type 6 capacity 250 cost 159 items 875 977 load 247
bin 132 type 6 capacity 250 cost 159 items 904 328 load 248
bin 133 type 6 capacity 250 cost 159 items 134 736 load 250
bin 134 type 6 capacity 250 cost 159 items 990 852 load 249
bin 135 type 6 capacity 250 cost 159 items 739 212 load 242
bin 136 type 6 capacity 250 cost 159 items 114 900 load 245
bin 137 type 6 capacity 250 cost 159 items 160 854 load 250
bin 138 type 6 capacity 250 cost 159 items 853 763 load 250
bin 139 type 6 capacity 250 cost 159 items 603 684 load 248
bin 140 type 6 capacity 250 cost 159 items 934 790 load 249
bin 141 type 6 capacity 250 cost 159 items 860 264 load 247
bin 142 type 6 capacity 250 cost 159 items 253 305 load 241
bin 143 type 6 capacity 250 cost 159 items 124 70 load 250
bin 144 type 6 capacity 250 cost 159 items 657 828 load 248
bin 145 type 6 capacity 250 cost 159 items 728 44 load 248
bin 146 type 6 capacity 250 cost 159 items 592 741 load 247
bin 147 type 6 capacity 250 cost 159 items 423 184 load 250
bin 148 type 6 capacity 250 cost 159 items 247 902 load 247
bin 149 type 6 capacity 250 cost 159 items 196 176 load 250
bin 150 type 6 capacity 250 cost 159 items 578 104 load 247
bin 151 type 6 capacity 250 cost 159 items 650 441 load 247
bin 152 type 6 capacity 250 cost 159 items 528 507 load 250
bin 153 type 6 capacity 250 cost 159 items 379 653 load 246
bin 154 type 6 capacity 250 cost 159 items 93 429 407 load 247
bin 155 type 6 capacity 250 cost 159 items 798 266 load 249
bin 156 type 6 capacity 250 cost 159 items 154 612 load 244
bin 157 type 6 capacity 250 cost 159 items 596 364 load 246
bin 158 type 6 capacity 250 cost 159 items 163 226 load 250
bin 159 type 6 capacity 250 cost 159 items 742 426 load 250
bin 160 type 6 capacity 250 cost 159 items 332 345 load 250
bin 161 type 6 capacity 250 cost 159 items 637 18 load 249
bin 162 type 6 capacity 250 cost 159 items 207 859 load 247
bin 163 type 6 capacity 250 cost 159 items 136 689 load 249
bin 164 type 6 capacity 250 cost 159 items 878 126 load 245
bin 165 type 6 capacity 250 cost 159 items 403 648 load 250
bin 166 type 6 capacity 250 cost 159 items 971 381 load 246
bin 167 type 6 capacity 250 cost 159 items 497 569 load 250
bin 168 type 6 capacity 250 cost 159 items 732 14 load 249
bin 169 type 6 capacity 250 cost 159 items 618 780 load 248
bin 170 type 6 capacity 250 cost 159 items 633 630 load 250
bin 171 type 6 capacity 250 cost 159 items 954 687 load 250
bin 172 type 6 capacity 250 cost 159 items 317 438 load 250
bin 173 type 6 capacity 250 cost 159 items 599 81 load 249
bin 174 type 6 capacity 250 cost 159 items 891 721 load 247
bin 175 type 6 capacity 250 cost 159 items 362 734 load 250
bin 176 type 6 capacity 250 cost 159 items 769 747 load 246
bin 177 type 6 capacity 250 cost 159 items 562 7 load 249
bin 178 type 6 capacity 250 cost 159 items 867 319 load 245
bin 179 type 6 capacity 250 cost 159 items 187 350 load 246
bin 180 type 6 capacity 250 cost 159 items 216 146 load 250
bin 181 type 6 capacity 250 cost 159 items 745 384 load 250
bin 182 type 6 capacity 250 cost 159 items 428 211 load 249
bin 183 type 6 capacity 250 cost 159 items 868 549 load 239
bin 184 type 6 capacity 250 cost 159 items 265 835 load 245
bin 185 type 6 capacity 250 cost 159 items 699 257 load 249
bin 186 type 6 capacity 250 cost 159 items 287 12 load 244
bin 187 type 6 capacity 250 cost 159 items 150 976 load 250
bin 188 type 6 capacity 250 cost 159 items 35 584 load 250
bin 189 type 6 capacity 250 cost 159 items 279 200 128 load 244
bin 190 type 6 capacity 250 cost 159 items 928 762 load 250
bin 191 type 6 capacity 250 cost 159 items 585 256 load 250
bin 192 type 6 capacity 250 cost 159 items 79 409 600 load 249
bin 193 type 6 capacity 250 cost 159 items 309 410 load 245
bin 194 type 6 capacity 250 cost 159 items 77 809 load 247
bin 195 type 6 capacity 250 cost 159 items 329 73 load 250
bin 196 type 6 capacity 250 cost 159 items 85 611 load 244
bin 197 type 6 capacity 250 cost 159 items 117 960 load 250
bin 198 type 6 capacity 250 cost 159 items 158 546 load 249
bin 199 type 6 capacity 250 cost 159 items 47 931 load 246
bin 200 type 6 capacity 250 cost 159 items 20 262 load 249
bin 201 type 6 capacity 250 cost 159 items 598 953 load 240
bin 202 type 6 capacity 250 cost 159 items 629 656 load 247
bin 203 type 6 capacity 250 cost 159 items 40 776 99 load 246
bin 204 type 6 capacity 250 cost 159 items 300 151 load 250
bin 205 type 6 capacity 250 cost 159 items 251 366 320 load 246
bin 206 type 6 capacity 250 cost 159 items 88 137 load 246
bin 207 type 6 capacity 250 cost 159 items 552 451 load 249
bin 208 type 6 capacity 250 cost 159 items 982 276 load 245
bin 209 type 6 capacity 250 cost 159 items 396 326 load 245
bin 210 type 6 capacity 250 cost 159 items 68 869 load 249
bin 211 type 6 capacity 250 cost 159 items 551 246 load 245
bin 212 type 6 capacity 250 cost 159 items 54 195 load 246
bin 213 type 6 capacity 250 cost 159 items 267 load 239
bin 214 type 6 capacity 250 cost 159 items 626 213 load 245
bin 215 type 6 capacity 250 cost 159 items 794 457 load 247
bin 216 type 6 capacity 250 cost 159 items 999 879 load 249
bin 217 type 6 capacity 250 cost 159 items 760 186 load 247
bin 218 type 6 capacity 250 cost 159 items 673 344 load 250
bin 219 type 6 capacity 250 cost 159 items 906 342 load 247
bin 220 type 6 capacity 250 cost 159 items 675 717 load 249
bin 221 type 5 capacity 220 cost 149 items 331 706 load 219
bin 222 type 6 capacity 250 cost 159 items 938 393 load 247
bin 223 type 6 capacity 250 cost 159 items 148 402 load 243
bin 224 type 6 capacity 250 cost 159 items 892 688 load 245
bin 225 type 6 capacity 250 cost 159 items 702 1 load 249
bin 226 type 6 capacity 250 cost 159 items 369 365 load 244
bin 227 type 6 capacity 250 cost 159 items 218 208 load 245
bin 228 type 6 capacity 250 cost 159 items 602 190 load 248
bin 229 type 6 capacity 250 cost 159 items 453 800 load 250
bin 230 type 6 capacity 250 cost 159 items 803 351 436 load 244
bin 231 type 6 capacity 250 cost 159 items 956 427 load 249
bin 232 type 6 capacity 250 cost 159 items 250 610 load 245
bin 233 type 6 capacity 250 cost 159 items 894 447 53 load 250
bin 234 type 6 capacity 250 cost 159 items 398 66 load 250
bin 235 type 6 capacity 250 cost 159 items 202 288 load 248
bin 236 type 6 capacity 250 cost 159 items 910 513 load 246
bin 237 type 6 capacity 250 cost 159 items 831 949 load 249
bin 238 type 6 capacity 250 cost 159 items 659 924 load 250
bin 239 type 6 capacity 250 cost 159 items 973 533 load 249
bin 240 type 6 capacity 250 cost 159 items 620 665 load 244
bin 241 type 6 capacity 250 cost 159 items 923 473 load 249
bin 242 type 6 capacity 250 cost 159 items 248 173 load 248
bin 243 type 6 capacity 250 cost 159 items 254 392 load 250
bin 244 type 6 capacity 250 cost 159 items 450 268 load 250
bin 245 type 6 capacity 250 cost 159 items 634 355 851 load 250
bin 246 type 6 capacity 250 cost 159 items 82 737 load 247
bin 247 type 6 capacity 250 cost 159 items 401 72 load 246
bin 248 type 6 capacity 250 cost 159 items 638 296 load 249
bin 249 type 6 capacity 250 cost 159 items 58 102 load 246
bin 250 type 6 capacity 250 cost 159 items 301 483 239 load 248
bin 251 type 6 capacity 250 cost 159 items 347 337 294 load 244
bin 252 type 6 capacity 250 cost 159 items 771 930 load 245
bin 253 type 6 capacity 250 cost 159 items 141 456 load 240
bin 254 type 6 capacity 250 cost 159 items 414 78 load 249
bin 255 type 6 capacity 250 cost 159 items 782 112 load 244
bin 256 type 6 capacity 250 cost 159 items 24 295 964 load 249
bin 257 type 6 capacity 250 cost 159 items 561 118 load 246
bin 258 type 6 capacity 250 cost 159 items 116 882 load 250
bin 259 type 6 capacity 250 cost 159 items 864 926 load 244
bin 260 type 6 capacity 250 cost 159 items 862 796 load 246
bin 261 type 6 capacity 250 cost 159 items 788 174 load 246
bin 262 type 6 capacity 250 cost 159 items 888 755 load 249
bin 263 type 6 capacity 250 cost 159 items 192 574 load 249
bin 264 type 6 capacity 250 cost 159 items 387 617 load 244
bin 265 type 6 capacity 250 cost 159 items 795 166 load 248
bin 266 type 6 capacity 250 cost 159 items 107 89 460 load 249
bin 267 type 6 capacity 250 cost 159 items 120 162 load 249
bin 268 type 6 capacity 250 cost 159 items 940 227 645 load 246
bin 269 type 6 capacity 250 cost 159 items 850 558 load 250
bin 270 type 6 capacity 250 cost 159 items 577 71 load 246
bin 271 type 6 capacity 250 cost 159 items 942 844 load 244
bin 272 type 6 capacity 250 cost 159 items 373 171 load 250
bin 273 type 6 capacity 250 cost 159 items 490 42 load 247
bin 274 type 6 capacity 250 cost 159 items 566 477 load 241
bin 275 type 6 capacity 250 cost 159 items 761 464 load 240
bin 276 type 5 capacity 220 cost 149 items 925 376 load 220
bin 277 type 6 capacity 250 cost 159 items 4 903 608 load 247
bin 278 type 6 capacity 250 cost 159 items 273 421 load 246
bin 279 type 6 capacity 250 cost 159 items 697 818 load 246
bin 280 type 6 capacity 250 cost 159 items 346 536 load 246
bin 281 type 6 capacity 250 cost 159 items 232 605 load 248
bin 282 type 6 capacity 250 cost 159 items 701 189 load 249
bin 283 type 6 capacity 250 cost 159 items 523 813 load 250
bin 284 type 6 capacity 250 cost 159 items 152 339 load 245
bin 285 type 6 capacity 250 cost 159 items 502 951 load 250
bin 286 type 6 capacity 250 cost 159 items 939 493 load 249
bin 287 type 6 capacity 250 cost 159 items 810 406 load 248
bin 288 type 6 capacity 250 cost 159 items 749 531 load 241
bin 289 type 6 capacity 250 cost 159 items 39 631 load 244
bin 290 type 6 capacity 250 cost 159 items 642 691 load 247
bin 291 type 6 capacity 250 cost 159 items 11 855 load 248
bin 292 type 6 capacity 250 cost 159 items 499 139 load 245
bin 293 type 6 capacity 250 cost 159 items 62 87 load 247
bin 294 type 6 capacity 250 cost 159 items 333 386 load 247
bin 295 type 6 capacity 250 cost 159 items 704 658 load 244
bin 296 type 6 capacity 250 cost 159 items 449 613 load 243
bin 297 type 6 capacity 250 cost 159 items 651 567 load 247
bin 298 type 6 capacity 250 cost 159 items 201 791 165 load 249
bin 299 type 6 capacity 250 cost 159 items 390 588 load 241
bin 300 type 6 capacity 250 cost 159 items 205 188 load 249
bin 301 type 6 capacity 250 cost 159 items 646 719 load 248
bin 302 type 6 capacity 250 cost 159 items 419 388 load 248
bin 303 type 6 capacity 250 cost 159 items 467 290 load 244
bin 304 type 6 capacity 250 cost 159 items 397 224 764 load 245
bin 305 type 6 capacity 250 cost 159 items 479 153 load 250
bin 306 type 6 capacity 250 cost 159 items 149 446 load 245
bin 307 type 6 capacity 250 cost 159 items 108 838 load 250
bin 308 type 6 capacity 250 cost 159 items 907 601 load 249
bin 309 type 6 capacity 250 cost 159 items 754 412 load 248
bin 310 type 6 capacity 250 cost 159 items 377 63 load 244
bin 311 type 6 capacity 250 cost 159 items 886 157 load 250
bin 312 type 6 capacity 250 cost 159 items 142 518 load 246
bin 313 type 6 capacity 250 cost 159 items 80 896 load 245
bin 314 type 6 capacity 250 cost 159 items 581 983 load 247
bin 315 type 6 capacity 250 cost 159 items 849 210 435 load 248
