instance_file ../instances/set_2/N_1000/HS_Random_4_9_6.txt
config set2_7types_linear
algorithm AILS
run 10
seed 51
start_time 2026-05-03 07:55:38
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 58.385387
objective 123300.000000
total_bin_cost 123300
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 920 load 250
bin 1 type 6 capacity 250 cost 250 items 238 load 250
bin 2 type 6 capacity 250 cost 250 items 249 load 250
bin 3 type 6 capacity 250 cost 250 items 109 load 249
bin 4 type 6 capacity 250 cost 250 items 324 load 249
bin 5 type 6 capacity 250 cost 250 items 911 load 248
bin 6 type 6 capacity 250 cost 250 items 500 load 247
bin 7 type 6 capacity 250 cost 250 items 286 573 load 250
bin 8 type 6 capacity 250 cost 250 items 167 174 load 250
bin 9 type 6 capacity 250 cost 250 items 992 load 245
bin 10 type 6 capacity 250 cost 250 items 472 360 load 248
bin 11 type 6 capacity 250 cost 250 items 597 load 244
bin 12 type 6 capacity 250 cost 250 items 83 load 244
bin 13 type 6 capacity 250 cost 250 items 110 9 load 248
bin 14 type 6 capacity 250 cost 250 items 916 985 load 250
bin 15 type 6 capacity 250 cost 250 items 718 494 load 249
bin 16 type 6 capacity 250 cost 250 items 865 887 load 250
bin 17 type 6 capacity 250 cost 250 items 788 load 242
bin 18 type 6 capacity 250 cost 250 items 105 783 load 250
bin 19 type 6 capacity 250 cost 250 items 866 138 load 248
bin 20 type 6 capacity 250 cost 250 items 241 87 load 250
bin 21 type 6 capacity 250 cost 250 items 876 60 load 250
bin 22 type 6 capacity 250 cost 250 items 832 394 load 248
bin 23 type 6 capacity 250 cost 250 items 458 442 load 250
bin 24 type 6 capacity 250 cost 250 items 807 load 239
bin 25 type 6 capacity 250 cost 250 items 961 load 239
bin 26 type 6 capacity 250 cost 250 items 143 74 load 250
bin 27 type 6 capacity 250 cost 250 items 389 285 load 249
bin 28 type 6 capacity 250 cost 250 items 873 846 load 250
bin 29 type 6 capacity 250 cost 250 items 135 64 load 250
bin 30 type 6 capacity 250 cost 250 items 25 913 load 250
bin 31 type 6 capacity 250 cost 250 items 712 683 load 250
bin 32 type 6 capacity 250 cost 250 items 654 613 load 247
bin 33 type 6 capacity 250 cost 250 items 58 165 load 248
bin 34 type 6 capacity 250 cost 250 items 815 989 load 250
bin 35 type 6 capacity 250 cost 250 items 744 974 load 247
bin 36 type 6 capacity 250 cost 250 items 169 463 load 245
bin 37 type 6 capacity 250 cost 250 items 482 86 load 250
bin 38 type 6 capacity 250 cost 250 items 115 506 load 250
bin 39 type 6 capacity 250 cost 250 items 449 615 load 238
bin 40 type 6 capacity 250 cost 250 items 240 318 load 249
bin 41 type 6 capacity 250 cost 250 items 999 171 load 250
bin 42 type 6 capacity 250 cost 250 items 373 224 load 249
bin 43 type 6 capacity 250 cost 250 items 504 703 load 249
bin 44 type 6 capacity 250 cost 250 items 422 909 load 250
bin 45 type 6 capacity 250 cost 250 items 274 10 load 249
bin 46 type 6 capacity 250 cost 250 items 519 304 load 250
bin 47 type 6 capacity 250 cost 250 items 353 805 load 249
bin 48 type 6 capacity 250 cost 250 items 170 912 load 249
bin 49 type 6 capacity 250 cost 250 items 75 625 load 248
bin 50 type 6 capacity 250 cost 250 items 147 437 load 250
bin 51 type 6 capacity 250 cost 250 items 737 539 load 249
bin 52 type 6 capacity 250 cost 250 items 950 708 load 243
bin 53 type 6 capacity 250 cost 250 items 663 557 load 243
bin 54 type 6 capacity 250 cost 250 items 516 682 load 246
bin 55 type 6 capacity 250 cost 250 items 994 186 load 249
bin 56 type 6 capacity 250 cost 250 items 478 963 load 250
bin 57 type 6 capacity 250 cost 250 items 255 822 load 250
bin 58 type 6 capacity 250 cost 250 items 616 641 load 249
bin 59 type 6 capacity 250 cost 250 items 280 164 load 249
bin 60 type 6 capacity 250 cost 250 items 375 984 load 247
bin 61 type 6 capacity 250 cost 250 items 445 845 load 250
bin 62 type 6 capacity 250 cost 250 items 577 861 load 250
bin 63 type 6 capacity 250 cost 250 items 367 579 load 244
bin 64 type 6 capacity 250 cost 250 items 936 847 load 239
bin 65 type 6 capacity 250 cost 250 items 357 444 load 250
bin 66 type 6 capacity 250 cost 250 items 967 545 load 240
bin 67 type 6 capacity 250 cost 250 items 361 348 load 244
bin 68 type 6 capacity 250 cost 250 items 487 623 load 250
bin 69 type 6 capacity 250 cost 250 items 282 915 load 249
bin 70 type 6 capacity 250 cost 250 items 819 239 load 247
bin 71 type 5 capacity 220 cost 220 items 575 load 217
