instance_file ../instances/set_2/N_1000/HS_Random_4_9_9.txt
config set2_7types_linear
algorithm AILS
run 6
seed 47
start_time 2026-05-03 09:26:26
kw 300
kc 250
max_iterations 500
max_no_improve 40
acceptance RW
improvement BI
builder IFFD
use_ucb false
c 0.5718
use_qrvnd false
alpha 0.1495
gamma 0.7455
epsilon 0.0377
exact_cover true
time_limit 600
status FEASIBLE
runtime 86.696052
objective 123090.000000
total_bin_cost 123090
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 250 items 556 load 250
bin 1 type 6 capacity 250 cost 250 items 228 load 249
bin 2 type 6 capacity 250 cost 250 items 89 load 249
bin 3 type 6 capacity 250 cost 250 items 983 load 249
bin 4 type 6 capacity 250 cost 250 items 128 load 248
bin 5 type 6 capacity 250 cost 250 items 420 load 248
bin 6 type 6 capacity 250 cost 250 items 959 load 247
bin 7 type 6 capacity 250 cost 250 items 558 load 247
bin 8 type 6 capacity 250 cost 250 items 265 949 load 250
bin 9 type 6 capacity 250 cost 250 items 549 load 246
bin 10 type 6 capacity 250 cost 250 items 273 load 245
bin 11 type 6 capacity 250 cost 250 items 68 421 load 249
bin 12 type 6 capacity 250 cost 250 items 159 load 244
bin 13 type 6 capacity 250 cost 250 items 143 275 load 250
bin 14 type 6 capacity 250 cost 250 items 131 load 243
bin 15 type 6 capacity 250 cost 250 items 616 800 load 249
bin 16 type 6 capacity 250 cost 250 items 575 load 242
bin 17 type 6 capacity 250 cost 250 items 18 336 load 248
bin 18 type 6 capacity 250 cost 250 items 754 962 load 249
bin 19 type 6 capacity 250 cost 250 items 330 78 load 249
bin 20 type 6 capacity 250 cost 250 items 205 29 load 249
bin 21 type 6 capacity 250 cost 250 items 364 182 load 247
bin 22 type 6 capacity 250 cost 250 items 272 652 load 250
bin 23 type 6 capacity 250 cost 250 items 115 581 load 250
bin 24 type 6 capacity 250 cost 250 items 295 load 240
bin 25 type 6 capacity 250 cost 250 items 571 690 load 246
bin 26 type 6 capacity 250 cost 250 items 585 188 load 249
bin 27 type 6 capacity 250 cost 250 items 790 651 load 249
bin 28 type 6 capacity 250 cost 250 items 775 664 load 250
bin 29 type 6 capacity 250 cost 250 items 528 76 load 250
bin 30 type 6 capacity 250 cost 250 items 491 684 load 246
bin 31 type 6 capacity 250 cost 250 items 747 966 load 249
bin 32 type 6 capacity 250 cost 250 items 222 824 load 250
bin 33 type 6 capacity 250 cost 250 items 298 432 load 244
bin 34 type 6 capacity 250 cost 250 items 522 722 load 249
bin 35 type 6 capacity 250 cost 250 items 725 736 load 244
bin 36 type 6 capacity 250 cost 250 items 655 574 load 247
bin 37 type 6 capacity 250 cost 250 items 67 351 load 248
bin 38 type 6 capacity 250 cost 250 items 428 261 load 249
bin 39 type 6 capacity 250 cost 250 items 34 929 load 249
bin 40 type 6 capacity 250 cost 250 items 506 950 load 247
bin 41 type 6 capacity 250 cost 250 items 884 510 load 249
bin 42 type 6 capacity 250 cost 250 items 545 716 load 250
bin 43 type 6 capacity 250 cost 250 items 669 720 load 247
bin 44 type 6 capacity 250 cost 250 items 710 969 load 250
bin 45 type 6 capacity 250 cost 250 items 375 653 load 249
bin 46 type 6 capacity 250 cost 250 items 172 430 load 247
bin 47 type 6 capacity 250 cost 250 items 362 783 load 248
bin 48 type 6 capacity 250 cost 250 items 770 593 load 248
bin 49 type 6 capacity 250 cost 250 items 530 757 load 249
bin 50 type 6 capacity 250 cost 250 items 88 633 load 249
bin 51 type 6 capacity 250 cost 250 items 534 274 load 249
bin 52 type 6 capacity 250 cost 250 items 124 435 load 250
bin 53 type 6 capacity 250 cost 250 items 609 577 load 249
bin 54 type 6 capacity 250 cost 250 items 183 621 load 249
bin 55 type 6 capacity 250 cost 250 items 77 288 load 247
bin 56 type 6 capacity 250 cost 250 items 922 706 load 245
bin 57 type 6 capacity 250 cost 250 items 24 307 load 249
bin 58 type 6 capacity 250 cost 250 items 647 826 load 250
bin 59 type 6 capacity 250 cost 250 items 11 285 load 244
bin 60 type 6 capacity 250 cost 250 items 150 760 load 250
bin 61 type 6 capacity 250 cost 250 items 101 461 load 249
bin 62 type 6 capacity 250 cost 250 items 376 505 load 241
bin 63 type 6 capacity 250 cost 250 items 714 44 load 242
bin 64 type 6 capacity 250 cost 250 items 14 847 load 243
bin 65 type 6 capacity 250 cost 250 items 277 520 load 243
bin 66 type 6 capacity 250 cost 250 items 831 882 load 250
bin 67 type 6 capacity 250 cost 250 items 821 555 load 250
bin 68 type 6 capacity 250 cost 250 items 184 730 load 249
bin 69 type 6 capacity 250 cost 250 items 554 301 load 247
bin 70 type 6 capacity 250 cost 250 items 377 423 load 250
bin 71 type 6 capacity 250 cost 250 items 987 514 load 244
bin 72 type 5 capacity 220 cost 220 items 802 load 220
bin 73 type 6 capacity 250 cost 250 items 270 531 load 250
bin 74 type 5 capacity 220 cost 220 items 36 load 220
bin 75 type 6 capacity 250 cost 250 items 586 168 load 248
bin 76 type 6 capacity 250 cost 250 items 412 253 load 249
bin 77 type 5 capacity 220 cost 220 items 459 load 219
bin 78 type 6 capacity 250 cost 250 items 866 103 load 250
