instance_file ../instances/set_1/N_1000/Correia_Random_4_3_10_1.txt
config set1_3types_linear
mode sfc
run 5
seed 46
start_time 2026-04-30 15:06:12
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 8.400418
objective 75620.000000
total_bin_cost 75620
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 645 load 100
bin 1 type 2 capacity 150 cost 150 items 239 43 load 150
bin 2 type 2 capacity 150 cost 150 items 565 436 load 150
bin 3 type 2 capacity 150 cost 150 items 213 340 load 150
bin 4 type 2 capacity 150 cost 150 items 973 838 load 150
bin 5 type 0 capacity 100 cost 100 items 681 load 100
bin 6 type 2 capacity 150 cost 150 items 201 898 load 150
bin 7 type 2 capacity 150 cost 150 items 320 21 load 150
bin 8 type 1 capacity 120 cost 120 items 115 74 load 120
bin 9 type 2 capacity 150 cost 150 items 583 683 load 150
bin 10 type 2 capacity 150 cost 150 items 379 954 load 150
bin 11 type 2 capacity 150 cost 150 items 28 984 load 150
bin 12 type 2 capacity 150 cost 150 items 398 919 load 150
bin 13 type 2 capacity 150 cost 150 items 554 636 load 150
bin 14 type 2 capacity 150 cost 150 items 811 641 load 150
bin 15 type 2 capacity 150 cost 150 items 840 499 load 145
bin 16 type 2 capacity 150 cost 150 items 382 236 load 150
bin 17 type 1 capacity 120 cost 120 items 160 526 load 120
bin 18 type 2 capacity 150 cost 150 items 415 216 load 150
bin 19 type 2 capacity 150 cost 150 items 401 267 load 150
bin 20 type 2 capacity 150 cost 150 items 86 718 load 150
bin 21 type 2 capacity 150 cost 150 items 685 275 load 149
bin 22 type 2 capacity 150 cost 150 items 124 85 load 149
bin 23 type 2 capacity 150 cost 150 items 517 108 load 149
bin 24 type 2 capacity 150 cost 150 items 293 94 load 150
bin 25 type 2 capacity 150 cost 150 items 723 858 load 149
bin 26 type 2 capacity 150 cost 150 items 135 930 load 150
bin 27 type 2 capacity 150 cost 150 items 44 426 load 150
bin 28 type 2 capacity 150 cost 150 items 321 977 load 150
bin 29 type 2 capacity 150 cost 150 items 871 879 load 148
bin 30 type 2 capacity 150 cost 150 items 407 957 load 150
bin 31 type 2 capacity 150 cost 150 items 623 826 load 149
bin 32 type 2 capacity 150 cost 150 items 830 800 load 150
bin 33 type 2 capacity 150 cost 150 items 974 965 load 150
bin 34 type 2 capacity 150 cost 150 items 807 129 load 150
bin 35 type 2 capacity 150 cost 150 items 983 647 load 150
bin 36 type 2 capacity 150 cost 150 items 455 982 load 149
bin 37 type 2 capacity 150 cost 150 items 741 929 load 150
bin 38 type 2 capacity 150 cost 150 items 882 734 load 150
bin 39 type 2 capacity 150 cost 150 items 880 809 load 150
bin 40 type 2 capacity 150 cost 150 items 548 365 load 150
bin 41 type 2 capacity 150 cost 150 items 514 501 load 150
bin 42 type 2 capacity 150 cost 150 items 149 406 load 150
bin 43 type 2 capacity 150 cost 150 items 212 691 load 150
bin 44 type 2 capacity 150 cost 150 items 986 274 load 150
bin 45 type 2 capacity 150 cost 150 items 969 437 load 150
bin 46 type 2 capacity 150 cost 150 items 870 881 load 150
bin 47 type 2 capacity 150 cost 150 items 353 41 load 150
bin 48 type 2 capacity 150 cost 150 items 106 178 load 150
bin 49 type 2 capacity 150 cost 150 items 679 753 load 150
bin 50 type 2 capacity 150 cost 150 items 76 825 load 150
bin 51 type 2 capacity 150 cost 150 items 620 34 load 150
bin 52 type 2 capacity 150 cost 150 items 955 24 load 150
bin 53 type 2 capacity 150 cost 150 items 885 291 load 150
bin 54 type 2 capacity 150 cost 150 items 959 425 load 150
bin 55 type 2 capacity 150 cost 150 items 356 302 load 150
bin 56 type 2 capacity 150 cost 150 items 740 582 load 150
bin 57 type 2 capacity 150 cost 150 items 642 570 load 150
bin 58 type 2 capacity 150 cost 150 items 211 457 load 150
bin 59 type 2 capacity 150 cost 150 items 235 901 load 149
bin 60 type 2 capacity 150 cost 150 items 247 581 load 150
bin 61 type 2 capacity 150 cost 150 items 200 933 load 150
bin 62 type 2 capacity 150 cost 150 items 31 823 load 150
bin 63 type 2 capacity 150 cost 150 items 813 419 load 150
bin 64 type 2 capacity 150 cost 150 items 739 793 load 150
bin 65 type 2 capacity 150 cost 150 items 516 794 load 150
bin 66 type 2 capacity 150 cost 150 items 914 891 load 150
bin 67 type 2 capacity 150 cost 150 items 304 850 load 150
bin 68 type 2 capacity 150 cost 150 items 277 38 load 149
bin 69 type 2 capacity 150 cost 150 items 165 440 load 150
bin 70 type 2 capacity 150 cost 150 items 487 946 load 150
bin 71 type 2 capacity 150 cost 150 items 338 481 load 150
bin 72 type 2 capacity 150 cost 150 items 938 209 load 150
bin 73 type 2 capacity 150 cost 150 items 941 488 load 148
bin 74 type 2 capacity 150 cost 150 items 179 325 load 150
bin 75 type 2 capacity 150 cost 150 items 606 682 load 149
bin 76 type 2 capacity 150 cost 150 items 61 403 load 150
bin 77 type 2 capacity 150 cost 150 items 191 507 load 150
bin 78 type 2 capacity 150 cost 150 items 142 166 load 150
bin 79 type 2 capacity 150 cost 150 items 136 985 load 150
bin 80 type 2 capacity 150 cost 150 items 97 968 load 148
bin 81 type 2 capacity 150 cost 150 items 446 544 load 150
bin 82 type 2 capacity 150 cost 150 items 615 354 load 150
bin 83 type 2 capacity 150 cost 150 items 833 656 load 149
bin 84 type 2 capacity 150 cost 150 items 312 680 load 149
bin 85 type 2 capacity 150 cost 150 items 390 263 load 150
bin 86 type 2 capacity 150 cost 150 items 82 278 load 150
bin 87 type 2 capacity 150 cost 150 items 771 619 load 149
bin 88 type 2 capacity 150 cost 150 items 311 157 load 149
bin 89 type 2 capacity 150 cost 150 items 662 63 load 150
bin 90 type 2 capacity 150 cost 150 items 448 591 load 150
bin 91 type 2 capacity 150 cost 150 items 125 768 load 150
bin 92 type 0 capacity 100 cost 100 items 227 load 100
bin 93 type 2 capacity 150 cost 150 items 865 306 load 150
bin 94 type 2 capacity 150 cost 150 items 391 596 load 150
bin 95 type 2 capacity 150 cost 150 items 75 362 load 150
bin 96 type 2 capacity 150 cost 150 items 428 552 load 148
bin 97 type 1 capacity 120 cost 120 items 752 141 load 120
bin 98 type 2 capacity 150 cost 150 items 80 148 load 150
bin 99 type 2 capacity 150 cost 150 items 960 339 load 150
bin 100 type 2 capacity 150 cost 150 items 638 363 load 150
bin 101 type 2 capacity 150 cost 150 items 896 180 load 150
bin 102 type 2 capacity 150 cost 150 items 783 369 load 149
bin 103 type 0 capacity 100 cost 100 items 421 load 100
bin 104 type 0 capacity 100 cost 100 items 175 load 99
bin 105 type 2 capacity 150 cost 150 items 107 660 load 150
bin 106 type 2 capacity 150 cost 150 items 991 447 load 150
bin 107 type 2 capacity 150 cost 150 items 906 495 load 150
bin 108 type 2 capacity 150 cost 150 items 703 237 load 150
bin 109 type 2 capacity 150 cost 150 items 942 953 load 149
bin 110 type 2 capacity 150 cost 150 items 854 327 load 149
bin 111 type 2 capacity 150 cost 150 items 384 545 load 150
bin 112 type 2 capacity 150 cost 150 items 592 624 load 149
bin 113 type 2 capacity 150 cost 150 items 587 484 load 149
bin 114 type 2 capacity 150 cost 150 items 249 294 load 150
bin 115 type 2 capacity 150 cost 150 items 518 329 load 150
bin 116 type 2 capacity 150 cost 150 items 89 571 load 150
bin 117 type 2 capacity 150 cost 150 items 724 521 load 150
bin 118 type 2 capacity 150 cost 150 items 272 779 load 150
