instance_file ../instances/set_1/N_1000/Correia_Random_4_3_10_3.txt
config set1_3types_linear
mode sfc
run 7
seed 48
start_time 2026-04-30 15:15:44
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.289710
objective 75710.000000
total_bin_cost 75710
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 246 load 100
bin 1 type 0 capacity 100 cost 100 items 249 load 100
bin 2 type 0 capacity 100 cost 100 items 288 load 100
bin 3 type 2 capacity 150 cost 150 items 664 294 load 150
bin 4 type 2 capacity 150 cost 150 items 542 373 load 150
bin 5 type 2 capacity 150 cost 150 items 386 741 load 150
bin 6 type 2 capacity 150 cost 150 items 507 136 load 150
bin 7 type 2 capacity 150 cost 150 items 233 960 load 150
bin 8 type 2 capacity 150 cost 150 items 677 717 load 150
bin 9 type 2 capacity 150 cost 150 items 584 981 load 150
bin 10 type 2 capacity 150 cost 150 items 503 453 load 150
bin 11 type 2 capacity 150 cost 150 items 917 667 load 150
bin 12 type 2 capacity 150 cost 150 items 156 945 load 150
bin 13 type 2 capacity 150 cost 150 items 878 57 load 149
bin 14 type 2 capacity 150 cost 150 items 621 684 load 150
bin 15 type 2 capacity 150 cost 150 items 570 381 load 150
bin 16 type 2 capacity 150 cost 150 items 626 581 load 150
bin 17 type 2 capacity 150 cost 150 items 428 992 load 150
bin 18 type 2 capacity 150 cost 150 items 173 958 load 150
bin 19 type 2 capacity 150 cost 150 items 599 685 load 150
bin 20 type 2 capacity 150 cost 150 items 439 54 load 150
bin 21 type 2 capacity 150 cost 150 items 954 665 load 150
bin 22 type 2 capacity 150 cost 150 items 461 966 load 149
bin 23 type 2 capacity 150 cost 150 items 160 646 load 150
bin 24 type 2 capacity 150 cost 150 items 649 474 load 150
bin 25 type 2 capacity 150 cost 150 items 382 89 load 150
bin 26 type 2 capacity 150 cost 150 items 826 589 load 150
bin 27 type 2 capacity 150 cost 150 items 365 167 load 150
bin 28 type 2 capacity 150 cost 150 items 633 855 load 150
bin 29 type 2 capacity 150 cost 150 items 28 873 load 150
bin 30 type 2 capacity 150 cost 150 items 745 325 load 150
bin 31 type 2 capacity 150 cost 150 items 415 40 load 150
bin 32 type 2 capacity 150 cost 150 items 331 575 load 150
bin 33 type 2 capacity 150 cost 150 items 623 0 load 150
bin 34 type 2 capacity 150 cost 150 items 600 21 load 150
bin 35 type 2 capacity 150 cost 150 items 349 87 load 150
bin 36 type 2 capacity 150 cost 150 items 822 255 load 150
bin 37 type 2 capacity 150 cost 150 items 332 63 load 150
bin 38 type 1 capacity 120 cost 120 items 131 229 load 120
bin 39 type 2 capacity 150 cost 150 items 916 116 load 150
bin 40 type 2 capacity 150 cost 150 items 145 73 load 150
bin 41 type 2 capacity 150 cost 150 items 912 346 load 150
bin 42 type 2 capacity 150 cost 150 items 211 628 load 150
bin 43 type 2 capacity 150 cost 150 items 406 573 load 150
bin 44 type 2 capacity 150 cost 150 items 578 147 load 150
bin 45 type 2 capacity 150 cost 150 items 66 392 load 150
bin 46 type 2 capacity 150 cost 150 items 209 427 load 150
bin 47 type 0 capacity 100 cost 100 items 126 load 99
bin 48 type 2 capacity 150 cost 150 items 911 141 load 150
bin 49 type 2 capacity 150 cost 150 items 50 105 load 150
bin 50 type 2 capacity 150 cost 150 items 612 181 load 150
bin 51 type 2 capacity 150 cost 150 items 746 925 load 149
bin 52 type 2 capacity 150 cost 150 items 625 257 load 150
bin 53 type 2 capacity 150 cost 150 items 892 480 load 150
bin 54 type 2 capacity 150 cost 150 items 164 80 load 150
bin 55 type 2 capacity 150 cost 150 items 630 760 load 150
bin 56 type 2 capacity 150 cost 150 items 83 391 load 150
bin 57 type 2 capacity 150 cost 150 items 819 714 load 149
bin 58 type 2 capacity 150 cost 150 items 692 291 load 150
bin 59 type 2 capacity 150 cost 150 items 481 926 load 150
bin 60 type 2 capacity 150 cost 150 items 244 319 load 150
bin 61 type 2 capacity 150 cost 150 items 356 666 load 149
bin 62 type 2 capacity 150 cost 150 items 39 85 load 150
bin 63 type 2 capacity 150 cost 150 items 513 174 load 150
bin 64 type 2 capacity 150 cost 150 items 48 432 load 150
bin 65 type 2 capacity 150 cost 150 items 529 10 load 150
bin 66 type 2 capacity 150 cost 150 items 679 957 load 150
bin 67 type 2 capacity 150 cost 150 items 224 598 load 150
bin 68 type 2 capacity 150 cost 150 items 724 74 load 150
bin 69 type 2 capacity 150 cost 150 items 557 941 load 150
bin 70 type 2 capacity 150 cost 150 items 654 112 load 149
bin 71 type 2 capacity 150 cost 150 items 388 31 load 150
bin 72 type 2 capacity 150 cost 150 items 134 340 load 150
bin 73 type 2 capacity 150 cost 150 items 433 762 load 150
bin 74 type 2 capacity 150 cost 150 items 215 452 load 150
bin 75 type 2 capacity 150 cost 150 items 813 583 load 150
bin 76 type 0 capacity 100 cost 100 items 265 load 98
bin 77 type 2 capacity 150 cost 150 items 828 526 load 150
bin 78 type 2 capacity 150 cost 150 items 326 402 load 150
bin 79 type 2 capacity 150 cost 150 items 824 900 load 150
bin 80 type 2 capacity 150 cost 150 items 693 906 load 150
bin 81 type 2 capacity 150 cost 150 items 848 606 load 149
bin 82 type 2 capacity 150 cost 150 items 864 739 load 149
bin 83 type 2 capacity 150 cost 150 items 411 2 load 149
bin 84 type 0 capacity 100 cost 100 items 934 load 100
bin 85 type 2 capacity 150 cost 150 items 287 974 load 150
bin 86 type 2 capacity 150 cost 150 items 273 961 load 149
bin 87 type 2 capacity 150 cost 150 items 672 177 load 149
bin 88 type 2 capacity 150 cost 150 items 62 198 load 149
bin 89 type 1 capacity 120 cost 120 items 634 832 load 120
bin 90 type 2 capacity 150 cost 150 items 371 609 load 150
bin 91 type 2 capacity 150 cost 150 items 155 274 load 150
bin 92 type 2 capacity 150 cost 150 items 718 206 load 150
bin 93 type 2 capacity 150 cost 150 items 805 396 load 149
bin 94 type 1 capacity 120 cost 120 items 982 437 load 119
bin 95 type 2 capacity 150 cost 150 items 815 576 load 148
bin 96 type 2 capacity 150 cost 150 items 269 964 load 146
bin 97 type 2 capacity 150 cost 150 items 23 133 load 150
bin 98 type 2 capacity 150 cost 150 items 585 248 load 150
bin 99 type 2 capacity 150 cost 150 items 99 444 load 150
bin 100 type 1 capacity 120 cost 120 items 876 16 load 120
bin 101 type 1 capacity 120 cost 120 items 9 399 load 120
bin 102 type 0 capacity 100 cost 100 items 814 load 99
bin 103 type 2 capacity 150 cost 150 items 20 86 load 149
bin 104 type 2 capacity 150 cost 150 items 812 189 load 150
bin 105 type 2 capacity 150 cost 150 items 46 903 load 150
bin 106 type 2 capacity 150 cost 150 items 465 614 load 148
bin 107 type 2 capacity 150 cost 150 items 403 475 load 150
bin 108 type 2 capacity 150 cost 150 items 370 271 load 150
bin 109 type 2 capacity 150 cost 150 items 232 858 load 150
bin 110 type 1 capacity 120 cost 120 items 968 933 load 120
bin 111 type 0 capacity 100 cost 100 items 185 load 97
bin 112 type 2 capacity 150 cost 150 items 254 163 load 147
bin 113 type 2 capacity 150 cost 150 items 566 352 load 150
bin 114 type 2 capacity 150 cost 150 items 996 29 load 149
bin 115 type 2 capacity 150 cost 150 items 44 833 load 150
bin 116 type 2 capacity 150 cost 150 items 97 946 load 150
bin 117 type 2 capacity 150 cost 150 items 851 17 load 150
bin 118 type 2 capacity 150 cost 150 items 518 488 load 150
bin 119 type 2 capacity 150 cost 150 items 438 713 load 148
bin 120 type 2 capacity 150 cost 150 items 617 549 load 150
bin 121 type 2 capacity 150 cost 150 items 889 551 load 150
bin 122 type 2 capacity 150 cost 150 items 214 877 load 150
bin 123 type 2 capacity 150 cost 150 items 60 297 load 150
bin 124 type 2 capacity 150 cost 150 items 843 755 load 149
bin 125 type 2 capacity 150 cost 150 items 678 657 load 150
bin 126 type 2 capacity 150 cost 150 items 506 798 load 150
