instance_file ../instances/set_1/N_1000/Correia_Random_4_3_10_7.txt
config set1_3types_linear
mode sfc
run 4
seed 45
start_time 2026-04-30 15:27:18
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.908478
objective 75690.000000
total_bin_cost 75690
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 569 load 100
bin 1 type 0 capacity 100 cost 100 items 763 load 100
bin 2 type 2 capacity 150 cost 150 items 798 17 load 150
bin 3 type 2 capacity 150 cost 150 items 829 429 load 150
bin 4 type 2 capacity 150 cost 150 items 149 621 load 150
bin 5 type 2 capacity 150 cost 150 items 559 392 load 150
bin 6 type 2 capacity 150 cost 150 items 618 220 load 150
bin 7 type 2 capacity 150 cost 150 items 84 299 load 150
bin 8 type 2 capacity 150 cost 150 items 714 864 load 150
bin 9 type 2 capacity 150 cost 150 items 322 672 load 150
bin 10 type 2 capacity 150 cost 150 items 219 235 load 150
bin 11 type 2 capacity 150 cost 150 items 364 239 load 150
bin 12 type 2 capacity 150 cost 150 items 685 92 load 150
bin 13 type 2 capacity 150 cost 150 items 275 407 load 150
bin 14 type 2 capacity 150 cost 150 items 548 9 load 150
bin 15 type 2 capacity 150 cost 150 items 964 901 load 150
bin 16 type 2 capacity 150 cost 150 items 521 250 load 150
bin 17 type 2 capacity 150 cost 150 items 866 133 load 150
bin 18 type 2 capacity 150 cost 150 items 27 780 load 150
bin 19 type 2 capacity 150 cost 150 items 527 184 load 150
bin 20 type 2 capacity 150 cost 150 items 872 81 load 149
bin 21 type 2 capacity 150 cost 150 items 347 474 load 150
bin 22 type 2 capacity 150 cost 150 items 680 876 load 150
bin 23 type 2 capacity 150 cost 150 items 966 677 load 150
bin 24 type 2 capacity 150 cost 150 items 418 425 load 150
bin 25 type 2 capacity 150 cost 150 items 565 615 load 150
bin 26 type 2 capacity 150 cost 150 items 383 162 load 150
bin 27 type 2 capacity 150 cost 150 items 226 741 load 150
bin 28 type 2 capacity 150 cost 150 items 280 947 load 149
bin 29 type 2 capacity 150 cost 150 items 3 122 load 150
bin 30 type 2 capacity 150 cost 150 items 989 786 load 150
bin 31 type 2 capacity 150 cost 150 items 63 37 load 150
bin 32 type 2 capacity 150 cost 150 items 143 419 load 150
bin 33 type 1 capacity 120 cost 120 items 272 823 load 120
bin 34 type 2 capacity 150 cost 150 items 490 31 load 150
bin 35 type 2 capacity 150 cost 150 items 808 355 load 150
bin 36 type 2 capacity 150 cost 150 items 26 144 load 150
bin 37 type 2 capacity 150 cost 150 items 761 661 load 150
bin 38 type 2 capacity 150 cost 150 items 13 316 load 150
bin 39 type 2 capacity 150 cost 150 items 182 571 load 150
bin 40 type 2 capacity 150 cost 150 items 72 183 load 150
bin 41 type 2 capacity 150 cost 150 items 958 337 load 150
bin 42 type 2 capacity 150 cost 150 items 585 413 load 149
bin 43 type 2 capacity 150 cost 150 items 446 719 load 150
bin 44 type 2 capacity 150 cost 150 items 10 47 load 150
bin 45 type 2 capacity 150 cost 150 items 243 525 load 149
bin 46 type 2 capacity 150 cost 150 items 6 720 load 150
bin 47 type 2 capacity 150 cost 150 items 387 641 load 150
bin 48 type 2 capacity 150 cost 150 items 631 131 load 150
bin 49 type 2 capacity 150 cost 150 items 828 279 load 150
bin 50 type 2 capacity 150 cost 150 items 236 643 load 150
bin 51 type 2 capacity 150 cost 150 items 305 699 load 150
bin 52 type 2 capacity 150 cost 150 items 791 160 load 150
bin 53 type 2 capacity 150 cost 150 items 139 731 load 150
bin 54 type 2 capacity 150 cost 150 items 862 167 load 150
bin 55 type 2 capacity 150 cost 150 items 259 969 load 150
bin 56 type 2 capacity 150 cost 150 items 115 583 load 150
bin 57 type 2 capacity 150 cost 150 items 80 124 load 150
bin 58 type 2 capacity 150 cost 150 items 865 447 load 150
bin 59 type 2 capacity 150 cost 150 items 213 549 load 150
bin 60 type 2 capacity 150 cost 150 items 0 603 load 150
bin 61 type 2 capacity 150 cost 150 items 369 69 load 150
bin 62 type 2 capacity 150 cost 150 items 317 666 load 150
bin 63 type 2 capacity 150 cost 150 items 487 957 load 149
bin 64 type 0 capacity 100 cost 100 items 905 load 97
bin 65 type 2 capacity 150 cost 150 items 939 512 load 150
bin 66 type 2 capacity 150 cost 150 items 931 594 load 150
bin 67 type 2 capacity 150 cost 150 items 577 878 load 149
bin 68 type 2 capacity 150 cost 150 items 944 281 load 150
bin 69 type 2 capacity 150 cost 150 items 15 217 load 150
bin 70 type 2 capacity 150 cost 150 items 262 807 load 150
bin 71 type 2 capacity 150 cost 150 items 228 386 load 150
bin 72 type 2 capacity 150 cost 150 items 254 902 load 150
bin 73 type 2 capacity 150 cost 150 items 398 543 load 150
bin 74 type 2 capacity 150 cost 150 items 450 619 load 150
bin 75 type 2 capacity 150 cost 150 items 324 726 load 150
bin 76 type 2 capacity 150 cost 150 items 993 660 load 150
bin 77 type 2 capacity 150 cost 150 items 116 73 load 150
bin 78 type 2 capacity 150 cost 150 items 406 234 load 150
bin 79 type 2 capacity 150 cost 150 items 338 414 load 149
bin 80 type 2 capacity 150 cost 150 items 403 592 load 149
bin 81 type 0 capacity 100 cost 100 items 897 load 100
