instance_file ../instances/set_2/N_1000/HS_Random_4_10_7.txt
config set2_7types_concave
mode sfc
run 2
seed 43
start_time 2026-04-30 17:33:08
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.645428
objective 83212.000000
total_bin_cost 83212
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 219 load 250
bin 1 type 6 capacity 250 cost 159 items 480 load 250
bin 2 type 6 capacity 250 cost 159 items 176 873 load 247
bin 3 type 6 capacity 250 cost 159 items 283 load 246
bin 4 type 6 capacity 250 cost 159 items 748 39 load 250
bin 5 type 6 capacity 250 cost 159 items 506 347 load 250
bin 6 type 6 capacity 250 cost 159 items 233 504 load 250
bin 7 type 6 capacity 250 cost 159 items 821 651 load 250
bin 8 type 6 capacity 250 cost 159 items 310 753 load 250
bin 9 type 6 capacity 250 cost 159 items 556 351 load 250
bin 10 type 6 capacity 250 cost 159 items 993 146 load 250
bin 11 type 6 capacity 250 cost 159 items 165 648 load 250
bin 12 type 6 capacity 250 cost 159 items 23 898 load 249
bin 13 type 6 capacity 250 cost 159 items 971 256 load 250
bin 14 type 6 capacity 250 cost 159 items 500 564 load 250
bin 15 type 6 capacity 250 cost 159 items 817 945 load 250
bin 16 type 6 capacity 250 cost 159 items 295 72 load 249
bin 17 type 6 capacity 250 cost 159 items 63 988 load 250
bin 18 type 6 capacity 250 cost 159 items 614 723 load 248
bin 19 type 6 capacity 250 cost 159 items 522 414 load 250
bin 20 type 6 capacity 250 cost 159 items 696 637 load 249
bin 21 type 6 capacity 250 cost 159 items 344 261 load 250
bin 22 type 6 capacity 250 cost 159 items 447 35 load 250
bin 23 type 6 capacity 250 cost 159 items 184 456 load 249
bin 24 type 6 capacity 250 cost 159 items 477 216 load 250
bin 25 type 6 capacity 250 cost 159 items 866 546 load 250
bin 26 type 6 capacity 250 cost 159 items 803 890 load 248
bin 27 type 6 capacity 250 cost 159 items 704 294 389 load 250
bin 28 type 6 capacity 250 cost 159 items 492 489 load 250
bin 29 type 6 capacity 250 cost 159 items 667 177 load 247
bin 30 type 6 capacity 250 cost 159 items 871 306 1 load 250
bin 31 type 6 capacity 250 cost 159 items 139 925 load 250
bin 32 type 6 capacity 250 cost 159 items 60 598 load 250
bin 33 type 6 capacity 250 cost 159 items 524 223 load 250
bin 34 type 5 capacity 220 cost 149 items 79 902 load 220
bin 35 type 5 capacity 220 cost 149 items 612 560 load 220
bin 36 type 5 capacity 220 cost 149 items 862 956 load 219
bin 37 type 6 capacity 250 cost 159 items 111 413 load 248
bin 38 type 6 capacity 250 cost 159 items 286 831 load 247
bin 39 type 6 capacity 250 cost 159 items 654 326 load 250
bin 40 type 6 capacity 250 cost 159 items 638 119 load 247
bin 41 type 6 capacity 250 cost 159 items 202 245 load 245
bin 42 type 6 capacity 250 cost 159 items 137 878 load 241
