instance_file ../instances/set_2/N_1000/HS_Random_4_10_8.txt
config set2_7types_concave
mode sfc
run 10
seed 51
start_time 2026-04-30 17:40:58
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.582086
objective 83106.000000
total_bin_cost 83106
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 240 load 250
bin 1 type 6 capacity 250 cost 159 items 896 load 250
bin 2 type 6 capacity 250 cost 159 items 783 load 249
bin 3 type 6 capacity 250 cost 159 items 909 load 248
bin 4 type 6 capacity 250 cost 159 items 302 load 247
bin 5 type 6 capacity 250 cost 159 items 418 load 245
bin 6 type 6 capacity 250 cost 159 items 237 load 244
bin 7 type 6 capacity 250 cost 159 items 910 load 244
bin 8 type 6 capacity 250 cost 159 items 77 load 242
bin 9 type 6 capacity 250 cost 159 items 502 494 load 250
bin 10 type 6 capacity 250 cost 159 items 966 166 load 250
bin 11 type 6 capacity 250 cost 159 items 562 353 load 250
bin 12 type 6 capacity 250 cost 159 items 879 208 load 250
bin 13 type 6 capacity 250 cost 159 items 165 412 load 248
bin 14 type 6 capacity 250 cost 159 items 390 725 load 250
bin 15 type 6 capacity 250 cost 159 items 404 load 239
bin 16 type 6 capacity 250 cost 159 items 448 535 load 248
bin 17 type 6 capacity 250 cost 159 items 734 load 239
bin 18 type 6 capacity 250 cost 159 items 138 load 238
bin 19 type 6 capacity 250 cost 159 items 679 54 load 250
bin 20 type 6 capacity 250 cost 159 items 777 890 load 250
bin 21 type 6 capacity 250 cost 159 items 626 597 511 load 247
bin 22 type 6 capacity 250 cost 159 items 281 551 load 249
bin 23 type 6 capacity 250 cost 159 items 575 385 load 249
bin 24 type 6 capacity 250 cost 159 items 741 572 load 250
bin 25 type 6 capacity 250 cost 159 items 954 973 load 250
bin 26 type 5 capacity 220 cost 149 items 295 282 load 220
bin 27 type 5 capacity 220 cost 149 items 304 153 load 220
bin 28 type 6 capacity 250 cost 159 items 817 27 load 236
bin 29 type 6 capacity 250 cost 159 items 521 load 233
bin 30 type 6 capacity 250 cost 159 items 636 878 load 249
bin 31 type 5 capacity 220 cost 149 items 534 288 load 220
bin 32 type 5 capacity 220 cost 149 items 579 739 load 220
bin 33 type 5 capacity 220 cost 149 items 719 load 218
bin 34 type 6 capacity 250 cost 159 items 473 635 load 250
bin 35 type 6 capacity 250 cost 159 items 143 560 load 248
bin 36 type 6 capacity 250 cost 159 items 333 255 load 250
bin 37 type 6 capacity 250 cost 159 items 395 637 load 248
bin 38 type 5 capacity 220 cost 149 items 618 940 load 219
bin 39 type 6 capacity 250 cost 159 items 259 162 load 246
bin 40 type 6 capacity 250 cost 159 items 449 501 load 250
bin 41 type 6 capacity 250 cost 159 items 124 183 load 247
bin 42 type 6 capacity 250 cost 159 items 286 750 load 247
bin 43 type 6 capacity 250 cost 159 items 379 621 load 248
bin 44 type 6 capacity 250 cost 159 items 336 196 844 load 250
bin 45 type 6 capacity 250 cost 159 items 447 919 load 250
bin 46 type 6 capacity 250 cost 159 items 274 345 load 249
bin 47 type 6 capacity 250 cost 159 items 972 402 load 247
bin 48 type 6 capacity 250 cost 159 items 567 341 load 250
bin 49 type 6 capacity 250 cost 159 items 293 553 load 249
bin 50 type 6 capacity 250 cost 159 items 272 load 223
bin 51 type 6 capacity 250 cost 159 items 244 14 load 250
bin 52 type 6 capacity 250 cost 159 items 254 565 load 250
bin 53 type 6 capacity 250 cost 159 items 194 245 load 249
bin 54 type 6 capacity 250 cost 159 items 983 468 load 250
bin 55 type 6 capacity 250 cost 159 items 160 384 load 250
bin 56 type 6 capacity 250 cost 159 items 508 854 load 249
bin 57 type 6 capacity 250 cost 159 items 290 962 load 247
bin 58 type 6 capacity 250 cost 159 items 543 585 load 249
bin 59 type 5 capacity 220 cost 149 items 967 726 load 220
bin 60 type 6 capacity 250 cost 159 items 19 964 load 250
bin 61 type 6 capacity 250 cost 159 items 610 937 load 250
bin 62 type 5 capacity 220 cost 149 items 310 738 load 220
bin 63 type 6 capacity 250 cost 159 items 62 46 load 245
bin 64 type 6 capacity 250 cost 159 items 433 797 load 248
bin 65 type 6 capacity 250 cost 159 items 563 536 load 250
bin 66 type 6 capacity 250 cost 159 items 728 104 load 250
bin 67 type 6 capacity 250 cost 159 items 916 429 load 249
bin 68 type 6 capacity 250 cost 159 items 11 802 load 248
bin 69 type 5 capacity 220 cost 149 items 660 654 load 220
bin 70 type 6 capacity 250 cost 159 items 583 953 load 249
bin 71 type 6 capacity 250 cost 159 items 881 729 load 250
bin 72 type 6 capacity 250 cost 159 items 791 525 load 250
bin 73 type 6 capacity 250 cost 159 items 52 252 load 247
bin 74 type 6 capacity 250 cost 159 items 437 930 load 250
bin 75 type 6 capacity 250 cost 159 items 581 829 load 250
bin 76 type 6 capacity 250 cost 159 items 161 951 load 246
bin 77 type 6 capacity 250 cost 159 items 332 905 load 250
bin 78 type 6 capacity 250 cost 159 items 870 204 load 245
bin 79 type 6 capacity 250 cost 159 items 493 863 load 225
bin 80 type 5 capacity 220 cost 149 items 709 619 load 219
