instance_file ../instances/set_2/N_1000/HS_Random_4_10_8.txt
config set2_7types_concave
mode sfc
run 9
seed 50
start_time 2026-04-30 17:40:47
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 10.384437
objective 83060.000000
total_bin_cost 83060
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 927 load 250
bin 1 type 6 capacity 250 cost 159 items 502 494 load 250
bin 2 type 6 capacity 250 cost 159 items 232 458 load 250
bin 3 type 6 capacity 250 cost 159 items 233 885 load 250
bin 4 type 6 capacity 250 cost 159 items 764 419 load 250
bin 5 type 6 capacity 250 cost 159 items 244 14 load 250
bin 6 type 6 capacity 250 cost 159 items 911 75 load 250
bin 7 type 5 capacity 220 cost 149 items 295 282 load 220
bin 8 type 2 capacity 130 cost 115 items 988 320 load 130
bin 9 type 6 capacity 250 cost 159 items 254 565 load 250
bin 10 type 6 capacity 250 cost 159 items 366 443 load 250
bin 11 type 6 capacity 250 cost 159 items 0 410 load 250
bin 12 type 6 capacity 250 cost 159 items 663 289 load 250
bin 13 type 6 capacity 250 cost 159 items 790 25 load 250
bin 14 type 6 capacity 250 cost 159 items 949 537 load 250
bin 15 type 5 capacity 220 cost 149 items 656 67 load 220
bin 16 type 6 capacity 250 cost 159 items 449 501 load 250
bin 17 type 6 capacity 250 cost 159 items 983 468 load 250
bin 18 type 6 capacity 250 cost 159 items 87 109 load 250
bin 19 type 6 capacity 250 cost 159 items 35 213 load 250
bin 20 type 6 capacity 250 cost 159 items 246 704 load 250
bin 21 type 6 capacity 250 cost 159 items 816 270 load 249
bin 22 type 6 capacity 250 cost 159 items 794 59 699 load 250
bin 23 type 5 capacity 220 cost 149 items 102 591 load 220
bin 24 type 6 capacity 250 cost 159 items 544 399 load 250
bin 25 type 5 capacity 220 cost 149 items 778 359 load 220
bin 26 type 6 capacity 250 cost 159 items 152 63 load 250
bin 27 type 3 capacity 160 cost 127 items 992 208 load 160
bin 28 type 4 capacity 190 cost 138 items 957 695 load 190
bin 29 type 4 capacity 190 cost 138 items 310 153 load 190
bin 30 type 6 capacity 250 cost 159 items 44 34 load 249
bin 31 type 2 capacity 130 cost 115 items 218 322 load 130
bin 32 type 6 capacity 250 cost 159 items 195 391 load 250
bin 33 type 5 capacity 220 cost 149 items 546 load 218
bin 34 type 6 capacity 250 cost 159 items 631 28 load 250
bin 35 type 6 capacity 250 cost 159 items 406 710 load 249
bin 36 type 5 capacity 220 cost 149 items 608 796 load 220
bin 37 type 6 capacity 250 cost 159 items 954 973 load 250
bin 38 type 4 capacity 190 cost 138 items 430 47 load 190
bin 39 type 6 capacity 250 cost 159 items 341 567 load 250
