instance_file ../instances/set_2/N_1000/HS_Random_4_9_2.txt
config set2_7types_concave
mode sfc
run 6
seed 47
start_time 2026-04-30 19:08:17
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.923496
objective 81331.000000
total_bin_cost 81331
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 421 load 250
bin 1 type 6 capacity 250 cost 159 items 661 load 250
bin 2 type 6 capacity 250 cost 159 items 853 load 250
bin 3 type 6 capacity 250 cost 159 items 685 447 load 249
bin 4 type 6 capacity 250 cost 159 items 110 678 load 249
bin 5 type 6 capacity 250 cost 159 items 208 9 load 249
bin 6 type 6 capacity 250 cost 159 items 257 896 load 250
bin 7 type 6 capacity 250 cost 159 items 402 495 load 249
bin 8 type 6 capacity 250 cost 159 items 531 481 load 250
bin 9 type 6 capacity 250 cost 159 items 433 77 load 250
bin 10 type 6 capacity 250 cost 159 items 224 135 load 250
bin 11 type 6 capacity 250 cost 159 items 980 963 load 248
bin 12 type 6 capacity 250 cost 159 items 26 956 load 250
bin 13 type 6 capacity 250 cost 159 items 539 19 load 250
bin 14 type 5 capacity 220 cost 149 items 881 load 219
bin 15 type 6 capacity 250 cost 159 items 929 556 load 250
bin 16 type 6 capacity 250 cost 159 items 523 338 load 250
bin 17 type 5 capacity 220 cost 149 items 949 547 load 220
bin 18 type 6 capacity 250 cost 159 items 238 795 load 249
bin 19 type 6 capacity 250 cost 159 items 838 657 load 250
bin 20 type 6 capacity 250 cost 159 items 279 324 load 249
bin 21 type 6 capacity 250 cost 159 items 329 821 load 250
bin 22 type 6 capacity 250 cost 159 items 946 78 load 250
bin 23 type 6 capacity 250 cost 159 items 457 347 load 249
bin 24 type 6 capacity 250 cost 159 items 468 36 load 250
bin 25 type 6 capacity 250 cost 159 items 773 145 load 249
bin 26 type 6 capacity 250 cost 159 items 859 923 load 250
bin 27 type 6 capacity 250 cost 159 items 647 370 load 250
bin 28 type 6 capacity 250 cost 159 items 682 933 load 250
bin 29 type 6 capacity 250 cost 159 items 692 897 load 244
bin 30 type 6 capacity 250 cost 159 items 366 800 load 250
bin 31 type 6 capacity 250 cost 159 items 710 544 load 248
bin 32 type 6 capacity 250 cost 159 items 799 880 load 250
bin 33 type 6 capacity 250 cost 159 items 680 752 load 250
bin 34 type 6 capacity 250 cost 159 items 332 369 load 250
bin 35 type 6 capacity 250 cost 159 items 379 66 load 250
bin 36 type 6 capacity 250 cost 159 items 183 395 load 250
bin 37 type 6 capacity 250 cost 159 items 378 687 load 249
bin 38 type 6 capacity 250 cost 159 items 64 394 load 248
bin 39 type 6 capacity 250 cost 159 items 739 109 load 250
bin 40 type 6 capacity 250 cost 159 items 54 810 load 248
bin 41 type 6 capacity 250 cost 159 items 806 423 load 249
bin 42 type 6 capacity 250 cost 159 items 452 17 load 250
bin 43 type 6 capacity 250 cost 159 items 730 4 712 load 249
bin 44 type 6 capacity 250 cost 159 items 464 45 48 load 250
