instance_file ../instances/set_2/N_1000/HS_Random_4_9_4.txt
config set2_7types_linear
mode sfc
run 5
seed 46
start_time 2026-04-30 19:18:06
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.654970
objective 130110.000000
total_bin_cost 130110
total_excess 0
total_conflicts 0

solution
bin 0 type 4 capacity 190 cost 190 items 171 load 190
bin 1 type 4 capacity 190 cost 190 items 213 33 load 190
bin 2 type 6 capacity 250 cost 250 items 402 78 load 250
bin 3 type 6 capacity 250 cost 250 items 573 62 load 250
bin 4 type 4 capacity 190 cost 190 items 648 load 190
bin 5 type 6 capacity 250 cost 250 items 790 581 load 250
bin 6 type 6 capacity 250 cost 250 items 888 120 load 248
bin 7 type 6 capacity 250 cost 250 items 974 775 load 250
bin 8 type 6 capacity 250 cost 250 items 637 load 249
bin 9 type 5 capacity 220 cost 220 items 29 load 219
bin 10 type 5 capacity 220 cost 220 items 848 load 219
bin 11 type 4 capacity 190 cost 190 items 756 load 189
bin 12 type 5 capacity 220 cost 220 items 810 384 load 220
bin 13 type 5 capacity 220 cost 220 items 193 833 load 220
bin 14 type 4 capacity 190 cost 190 items 989 930 load 190
bin 15 type 6 capacity 250 cost 250 items 426 355 load 250
bin 16 type 5 capacity 220 cost 220 items 238 load 218
bin 17 type 6 capacity 250 cost 250 items 368 882 load 249
bin 18 type 4 capacity 190 cost 190 items 449 950 load 190
bin 19 type 5 capacity 220 cost 220 items 6 386 load 220
bin 20 type 4 capacity 190 cost 190 items 785 542 load 190
bin 21 type 6 capacity 250 cost 250 items 285 534 load 250
bin 22 type 5 capacity 220 cost 220 items 280 726 load 220
bin 23 type 4 capacity 190 cost 190 items 494 832 load 190
bin 24 type 6 capacity 250 cost 250 items 874 255 load 250
bin 25 type 4 capacity 190 cost 190 items 852 803 load 190
bin 26 type 3 capacity 160 cost 160 items 123 399 load 160
bin 27 type 4 capacity 190 cost 190 items 838 392 load 190
bin 28 type 6 capacity 250 cost 250 items 839 548 load 250
