instance_file ../instances/set_2/N_1000/HS_Random_4_9_7.txt
config set2_7types_concave
mode sfc
run 6
seed 47
start_time 2026-04-30 19:39:19
iteration_limit 150
destroy_percent 25
status FEASIBLE
runtime 6.513294
objective 81838.000000
total_bin_cost 81838
total_excess 0
total_conflicts 0

solution
bin 0 type 6 capacity 250 cost 159 items 219 load 250
bin 1 type 6 capacity 250 cost 159 items 388 load 250
bin 2 type 6 capacity 250 cost 159 items 480 load 250
bin 3 type 6 capacity 250 cost 159 items 645 load 250
bin 4 type 6 capacity 250 cost 159 items 392 873 load 250
bin 5 type 6 capacity 250 cost 159 items 724 load 249
bin 6 type 6 capacity 250 cost 159 items 591 972 load 250
bin 7 type 6 capacity 250 cost 159 items 976 953 load 249
bin 8 type 6 capacity 250 cost 159 items 467 39 load 250
bin 9 type 6 capacity 250 cost 159 items 736 389 load 250
bin 10 type 6 capacity 250 cost 159 items 748 load 245
bin 11 type 6 capacity 250 cost 159 items 506 load 244
bin 12 type 6 capacity 250 cost 159 items 541 109 load 249
bin 13 type 6 capacity 250 cost 159 items 280 300 load 248
bin 14 type 6 capacity 250 cost 159 items 660 load 242
bin 15 type 6 capacity 250 cost 159 items 25 695 load 250
bin 16 type 6 capacity 250 cost 159 items 845 510 load 250
bin 17 type 6 capacity 250 cost 159 items 233 651 load 250
bin 18 type 5 capacity 220 cost 149 items 514 load 220
bin 19 type 6 capacity 250 cost 159 items 165 351 load 249
bin 20 type 6 capacity 250 cost 159 items 692 648 load 249
bin 21 type 6 capacity 250 cost 159 items 725 502 load 250
bin 22 type 6 capacity 250 cost 159 items 411 499 load 249
bin 23 type 6 capacity 250 cost 159 items 416 951 load 250
bin 24 type 6 capacity 250 cost 159 items 894 256 load 249
bin 25 type 6 capacity 250 cost 159 items 960 707 load 249
bin 26 type 6 capacity 250 cost 159 items 566 534 load 250
bin 27 type 6 capacity 250 cost 159 items 726 723 load 250
bin 28 type 6 capacity 250 cost 159 items 126 154 load 250
bin 29 type 6 capacity 250 cost 159 items 295 550 load 250
bin 30 type 6 capacity 250 cost 159 items 262 997 load 250
bin 31 type 6 capacity 250 cost 159 items 589 715 load 250
bin 32 type 6 capacity 250 cost 159 items 328 40 load 247
bin 33 type 6 capacity 250 cost 159 items 207 267 load 250
bin 34 type 6 capacity 250 cost 159 items 344 712 load 250
bin 35 type 6 capacity 250 cost 159 items 520 581 load 248
bin 36 type 6 capacity 250 cost 159 items 788 786 load 250
bin 37 type 5 capacity 220 cost 149 items 977 877 load 219
bin 38 type 6 capacity 250 cost 159 items 320 531 load 250
bin 39 type 6 capacity 250 cost 159 items 586 253 load 250
bin 40 type 6 capacity 250 cost 159 items 278 175 load 250
bin 41 type 6 capacity 250 cost 159 items 47 83 load 250
bin 42 type 6 capacity 250 cost 159 items 639 505 load 250
bin 43 type 6 capacity 250 cost 159 items 629 405 load 245
bin 44 type 6 capacity 250 cost 159 items 215 949 load 249
bin 45 type 6 capacity 250 cost 159 items 576 182 load 249
bin 46 type 6 capacity 250 cost 159 items 438 80 load 250
bin 47 type 6 capacity 250 cost 159 items 492 853 load 250
bin 48 type 6 capacity 250 cost 159 items 667 489 load 250
bin 49 type 6 capacity 250 cost 159 items 913 453 load 250
bin 50 type 6 capacity 250 cost 159 items 191 519 load 250
bin 51 type 6 capacity 250 cost 159 items 496 776 load 250
bin 52 type 6 capacity 250 cost 159 items 274 594 load 250
bin 53 type 6 capacity 250 cost 159 items 513 97 load 246
bin 54 type 6 capacity 250 cost 159 items 75 306 load 250
bin 55 type 6 capacity 250 cost 159 items 288 996 load 250
bin 56 type 6 capacity 250 cost 159 items 400 809 load 249
bin 57 type 6 capacity 250 cost 159 items 954 710 load 249
bin 58 type 6 capacity 250 cost 159 items 213 239 load 250
bin 59 type 6 capacity 250 cost 159 items 806 245 load 250
bin 60 type 6 capacity 250 cost 159 items 934 585 load 250
bin 61 type 6 capacity 250 cost 159 items 862 676 load 250
bin 62 type 5 capacity 220 cost 149 items 451 945 load 220
bin 63 type 6 capacity 250 cost 159 items 483 461 898 load 250
bin 64 type 6 capacity 250 cost 159 items 812 446 load 250
bin 65 type 6 capacity 250 cost 159 items 218 119 load 249
bin 66 type 6 capacity 250 cost 159 items 138 828 load 250
bin 67 type 6 capacity 250 cost 159 items 90 618 load 250
bin 68 type 6 capacity 250 cost 159 items 341 358 load 249
bin 69 type 6 capacity 250 cost 159 items 690 547 load 250
bin 70 type 6 capacity 250 cost 159 items 740 490 load 249
bin 71 type 6 capacity 250 cost 159 items 94 887 load 250
bin 72 type 6 capacity 250 cost 159 items 202 361 load 244
bin 73 type 6 capacity 250 cost 159 items 600 606 249 load 250
bin 74 type 6 capacity 250 cost 159 items 751 332 load 250
bin 75 type 6 capacity 250 cost 159 items 617 377 load 250
bin 76 type 5 capacity 220 cost 149 items 181 168 132 load 220
bin 77 type 6 capacity 250 cost 159 items 393 850 load 250
bin 78 type 6 capacity 250 cost 159 items 196 281 load 247
bin 79 type 5 capacity 220 cost 149 items 719 662 load 220
bin 80 type 6 capacity 250 cost 159 items 10 501 load 250
bin 81 type 5 capacity 220 cost 149 items 151 14 load 220
bin 82 type 6 capacity 250 cost 159 items 316 150 load 250
bin 83 type 6 capacity 250 cost 159 items 45 88 load 250
bin 84 type 6 capacity 250 cost 159 items 62 115 load 250
bin 85 type 6 capacity 250 cost 159 items 631 783 load 250
bin 86 type 6 capacity 250 cost 159 items 339 532 load 248
bin 87 type 6 capacity 250 cost 159 items 174 880 load 250
bin 88 type 6 capacity 250 cost 159 items 705 852 load 249
bin 89 type 6 capacity 250 cost 159 items 596 987 330 load 250
bin 90 type 6 capacity 250 cost 159 items 682 427 load 250
bin 91 type 6 capacity 250 cost 159 items 0 674 load 250
bin 92 type 5 capacity 220 cost 149 items 129 713 load 219
bin 93 type 6 capacity 250 cost 159 items 271 291 load 250
bin 94 type 6 capacity 250 cost 159 items 432 16 load 245
bin 95 type 6 capacity 250 cost 159 items 527 663 load 250
bin 96 type 6 capacity 250 cost 159 items 572 2 load 243
bin 97 type 6 capacity 250 cost 159 items 720 56 load 250
bin 98 type 6 capacity 250 cost 159 items 46 290 load 250
bin 99 type 6 capacity 250 cost 159 items 544 4 load 247
bin 100 type 6 capacity 250 cost 159 items 761 764 1 load 250
bin 101 type 6 capacity 250 cost 159 items 742 465 load 250
bin 102 type 6 capacity 250 cost 159 items 908 118 load 249
bin 103 type 6 capacity 250 cost 159 items 206 105 load 250
bin 104 type 6 capacity 250 cost 159 items 678 158 162 load 250
bin 105 type 6 capacity 250 cost 159 items 957 303 load 250
bin 106 type 6 capacity 250 cost 159 items 170 462 load 250
bin 107 type 6 capacity 250 cost 159 items 355 297 load 248
bin 108 type 6 capacity 250 cost 159 items 409 263 load 250
bin 109 type 6 capacity 250 cost 159 items 311 681 load 249
bin 110 type 6 capacity 250 cost 159 items 380 625 load 249
bin 111 type 6 capacity 250 cost 159 items 208 830 load 247
bin 112 type 6 capacity 250 cost 159 items 188 48 load 249
bin 113 type 6 capacity 250 cost 159 items 20 848 load 246
bin 114 type 5 capacity 220 cost 149 items 104 636 load 220
bin 115 type 6 capacity 250 cost 159 items 429 962 load 250
bin 116 type 6 capacity 250 cost 159 items 981 189 load 250
bin 117 type 6 capacity 250 cost 159 items 178 990 load 249
bin 118 type 5 capacity 220 cost 149 items 78 895 load 220
bin 119 type 6 capacity 250 cost 159 items 630 44 load 249
bin 120 type 6 capacity 250 cost 159 items 242 574 load 249
bin 121 type 6 capacity 250 cost 159 items 967 309 load 249
bin 122 type 6 capacity 250 cost 159 items 50 640 load 250
bin 123 type 6 capacity 250 cost 159 items 779 314 load 250
bin 124 type 6 capacity 250 cost 159 items 731 231 load 250
bin 125 type 6 capacity 250 cost 159 items 800 643 load 248
bin 126 type 6 capacity 250 cost 159 items 26 944 load 250
bin 127 type 6 capacity 250 cost 159 items 916 336 load 250
bin 128 type 6 capacity 250 cost 159 items 929 89 load 248
bin 129 type 6 capacity 250 cost 159 items 98 864 load 249
bin 130 type 6 capacity 250 cost 159 items 437 613 load 250
bin 131 type 3 capacity 160 cost 127 items 96 560 load 160
bin 132 type 6 capacity 250 cost 159 items 415 353 818 load 250
bin 133 type 6 capacity 250 cost 159 items 935 892 load 247
bin 134 type 6 capacity 250 cost 159 items 394 937 load 250
bin 135 type 6 capacity 250 cost 159 items 156 931 load 249
bin 136 type 6 capacity 250 cost 159 items 459 669 load 250
bin 137 type 5 capacity 220 cost 149 items 611 555 load 220
bin 138 type 6 capacity 250 cost 159 items 338 671 load 248
bin 139 type 6 capacity 250 cost 159 items 955 910 347 load 250
bin 140 type 5 capacity 220 cost 149 items 583 61 load 219
bin 141 type 6 capacity 250 cost 159 items 687 324 load 250
bin 142 type 6 capacity 250 cost 159 items 855 691 load 250
bin 143 type 6 capacity 250 cost 159 items 834 641 load 242
bin 144 type 5 capacity 220 cost 149 items 521 747 890 load 220
bin 145 type 4 capacity 190 cost 138 items 159 777 load 190
bin 146 type 6 capacity 250 cost 159 items 863 559 load 246
bin 147 type 6 capacity 250 cost 159 items 539 398 load 250
bin 148 type 6 capacity 250 cost 159 items 859 376 735 load 250
bin 149 type 5 capacity 220 cost 149 items 543 76 load 220
bin 150 type 6 capacity 250 cost 159 items 64 57 load 230
bin 151 type 5 capacity 220 cost 149 items 33 884 load 219
bin 152 type 6 capacity 250 cost 159 items 615 762 load 246
bin 153 type 6 capacity 250 cost 159 items 418 436 160 load 249
bin 154 type 6 capacity 250 cost 159 items 642 205 load 249
bin 155 type 6 capacity 250 cost 159 items 792 793 load 250
bin 156 type 6 capacity 250 cost 159 items 426 load 246
bin 157 type 6 capacity 250 cost 159 items 369 334 load 250
bin 158 type 6 capacity 250 cost 159 items 746 77 load 250
bin 159 type 6 capacity 250 cost 159 items 704 272 load 250
bin 160 type 6 capacity 250 cost 159 items 621 435 load 248
bin 161 type 5 capacity 220 cost 149 items 200 179 load 220
bin 162 type 5 capacity 220 cost 149 items 868 136 load 220
bin 163 type 6 capacity 250 cost 159 items 153 484 load 249
bin 164 type 6 capacity 250 cost 159 items 199 214 load 249
bin 165 type 6 capacity 250 cost 159 items 305 912 load 248
bin 166 type 5 capacity 220 cost 149 items 54 455 load 219
bin 167 type 6 capacity 250 cost 159 items 66 246 load 250
bin 168 type 6 capacity 250 cost 159 items 610 275 load 245
bin 169 type 6 capacity 250 cost 159 items 55 743 load 248
bin 170 type 6 capacity 250 cost 159 items 963 986 load 247
bin 171 type 6 capacity 250 cost 159 items 475 410 load 241
bin 172 type 6 capacity 250 cost 159 items 730 942 load 236
bin 173 type 6 capacity 250 cost 159 items 185 403 load 250
bin 174 type 6 capacity 250 cost 159 items 638 65 load 248
bin 175 type 6 capacity 250 cost 159 items 919 230 load 249
