instance_file ../instances/set_1/N_100/Correia_Random_1_3_5_1.txt
config set1_3types_linear
mode vanilla
run 7
seed 48
start_time 2026-04-26 12:57:26
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 0.037815
objective 7560.000000
total_bin_cost 7560
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 15 load 99
bin 1 type 0 capacity 100 cost 100 items 50 load 99
bin 2 type 0 capacity 100 cost 100 items 78 load 99
bin 3 type 0 capacity 100 cost 100 items 6 load 98
bin 4 type 0 capacity 100 cost 100 items 68 load 98
bin 5 type 0 capacity 100 cost 100 items 96 load 98
bin 6 type 2 capacity 150 cost 150 items 60 18 load 150
bin 7 type 2 capacity 150 cost 150 items 98 24 load 150
bin 8 type 2 capacity 150 cost 150 items 2 95 load 150
bin 9 type 2 capacity 150 cost 150 items 72 97 load 150
bin 10 type 2 capacity 150 cost 150 items 27 19 load 150
bin 11 type 2 capacity 150 cost 150 items 58 31 load 149
bin 12 type 2 capacity 150 cost 150 items 64 71 load 149
bin 13 type 2 capacity 150 cost 150 items 91 30 load 147
bin 14 type 2 capacity 150 cost 150 items 51 93 load 150
bin 15 type 2 capacity 150 cost 150 items 37 28 load 144
bin 16 type 2 capacity 150 cost 150 items 69 59 load 150
bin 17 type 2 capacity 150 cost 150 items 11 55 load 150
bin 18 type 2 capacity 150 cost 150 items 8 67 load 150
bin 19 type 2 capacity 150 cost 150 items 48 76 load 147
bin 20 type 2 capacity 150 cost 150 items 25 29 load 150
bin 21 type 2 capacity 150 cost 150 items 85 62 load 148
bin 22 type 2 capacity 150 cost 150 items 3 56 load 139
bin 23 type 2 capacity 150 cost 150 items 77 40 load 150
bin 24 type 2 capacity 150 cost 150 items 34 20 load 150
bin 25 type 2 capacity 150 cost 150 items 43 84 load 149
bin 26 type 2 capacity 150 cost 150 items 90 47 load 150
bin 27 type 2 capacity 150 cost 150 items 36 66 load 147
bin 28 type 2 capacity 150 cost 150 items 73 32 load 150
bin 29 type 2 capacity 150 cost 150 items 65 80 load 150
bin 30 type 2 capacity 150 cost 150 items 94 81 load 150
bin 31 type 2 capacity 150 cost 150 items 13 88 load 150
bin 32 type 2 capacity 150 cost 150 items 5 61 load 149
bin 33 type 2 capacity 150 cost 150 items 83 42 load 148
bin 34 type 2 capacity 150 cost 150 items 4 46 load 149
bin 35 type 2 capacity 150 cost 150 items 23 74 load 146
bin 36 type 2 capacity 150 cost 150 items 82 87 load 147
bin 37 type 2 capacity 150 cost 150 items 12 75 load 150
bin 38 type 2 capacity 150 cost 150 items 21 92 load 122
bin 39 type 1 capacity 120 cost 120 items 79 10 load 118
bin 40 type 2 capacity 150 cost 150 items 38 0 load 148
bin 41 type 2 capacity 150 cost 150 items 54 33 load 150
bin 42 type 2 capacity 150 cost 150 items 45 41 load 150
bin 43 type 2 capacity 150 cost 150 items 52 7 load 143
bin 44 type 2 capacity 150 cost 150 items 35 70 load 150
bin 45 type 2 capacity 150 cost 150 items 26 17 load 149
bin 46 type 2 capacity 150 cost 150 items 89 63 load 139
bin 47 type 2 capacity 150 cost 150 items 44 86 load 150
bin 48 type 2 capacity 150 cost 150 items 22 99 load 136
bin 49 type 2 capacity 150 cost 150 items 39 1 load 150
bin 50 type 2 capacity 150 cost 150 items 57 9 load 148
bin 51 type 1 capacity 120 cost 120 items 16 14 load 120
bin 52 type 1 capacity 120 cost 120 items 49 53 load 120
