instance_file ../instances/set_1/N_100/Correia_Random_1_3_8_10.txt
config set1_3types_linear
mode vanilla
run 6
seed 47
start_time 2026-04-26 12:58:01
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 0.034126
objective 7540.000000
total_bin_cost 7540
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 13 load 100
bin 1 type 0 capacity 100 cost 100 items 20 load 100
bin 2 type 0 capacity 100 cost 100 items 67 load 100
bin 3 type 0 capacity 100 cost 100 items 23 load 98
bin 4 type 0 capacity 100 cost 100 items 80 load 98
bin 5 type 0 capacity 100 cost 100 items 5 load 96
bin 6 type 0 capacity 100 cost 100 items 76 load 95
bin 7 type 2 capacity 150 cost 150 items 33 12 load 148
bin 8 type 0 capacity 100 cost 100 items 17 load 92
bin 9 type 1 capacity 120 cost 120 items 70 83 load 114
bin 10 type 2 capacity 150 cost 150 items 8 66 load 150
bin 11 type 2 capacity 150 cost 150 items 37 15 load 150
bin 12 type 2 capacity 150 cost 150 items 26 68 load 150
bin 13 type 2 capacity 150 cost 150 items 91 44 load 149
bin 14 type 0 capacity 100 cost 100 items 88 load 86
bin 15 type 2 capacity 150 cost 150 items 71 42 load 148
bin 16 type 2 capacity 150 cost 150 items 27 34 load 150
bin 17 type 2 capacity 150 cost 150 items 99 45 load 147
bin 18 type 2 capacity 150 cost 150 items 9 4 load 150
bin 19 type 2 capacity 150 cost 150 items 73 38 load 150
bin 20 type 2 capacity 150 cost 150 items 62 90 load 145
bin 21 type 2 capacity 150 cost 150 items 1 50 load 140
bin 22 type 2 capacity 150 cost 150 items 14 92 load 147
bin 23 type 2 capacity 150 cost 150 items 69 94 load 150
bin 24 type 2 capacity 150 cost 150 items 0 43 load 144
bin 25 type 1 capacity 120 cost 120 items 81 35 load 118
bin 26 type 2 capacity 150 cost 150 items 6 36 load 147
bin 27 type 1 capacity 120 cost 120 items 3 96 load 114
bin 28 type 2 capacity 150 cost 150 items 21 24 load 150
bin 29 type 2 capacity 150 cost 150 items 29 61 load 149
bin 30 type 2 capacity 150 cost 150 items 57 64 load 145
bin 31 type 2 capacity 150 cost 150 items 84 56 load 150
bin 32 type 2 capacity 150 cost 150 items 87 11 load 146
bin 33 type 2 capacity 150 cost 150 items 58 53 load 150
bin 34 type 2 capacity 150 cost 150 items 28 72 load 150
bin 35 type 1 capacity 120 cost 120 items 51 75 load 119
bin 36 type 2 capacity 150 cost 150 items 59 78 load 131
bin 37 type 2 capacity 150 cost 150 items 41 82 load 150
bin 38 type 2 capacity 150 cost 150 items 85 39 load 150
bin 39 type 2 capacity 150 cost 150 items 25 95 load 147
bin 40 type 2 capacity 150 cost 150 items 54 79 load 149
bin 41 type 2 capacity 150 cost 150 items 32 46 load 150
bin 42 type 2 capacity 150 cost 150 items 97 74 load 140
bin 43 type 0 capacity 100 cost 100 items 16 load 98
bin 44 type 2 capacity 150 cost 150 items 77 52 load 149
bin 45 type 2 capacity 150 cost 150 items 89 40 load 149
bin 46 type 2 capacity 150 cost 150 items 31 65 load 144
bin 47 type 2 capacity 150 cost 150 items 98 48 load 149
bin 48 type 2 capacity 150 cost 150 items 49 86 load 146
bin 49 type 2 capacity 150 cost 150 items 18 60 load 147
bin 50 type 2 capacity 150 cost 150 items 22 10 load 149
bin 51 type 2 capacity 150 cost 150 items 2 30 load 142
bin 52 type 1 capacity 120 cost 120 items 47 93 load 119
bin 53 type 1 capacity 120 cost 120 items 7 63 load 120
bin 54 type 1 capacity 120 cost 120 items 19 55 load 118
