instance_file ../instances/set_1/N_500/Correia_Random_3_2_9_10.txt
config set1_3types_linear
mode vanilla
run 3
seed 44
start_time 2026-04-30 06:24:05
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 2.490687
objective 31490.000000
total_bin_cost 31490
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 171 load 100
bin 1 type 0 capacity 100 cost 100 items 243 load 100
bin 2 type 0 capacity 100 cost 100 items 271 load 100
bin 3 type 0 capacity 100 cost 100 items 302 load 100
bin 4 type 0 capacity 100 cost 100 items 341 load 100
bin 5 type 1 capacity 120 cost 120 items 185 331 load 118
bin 6 type 1 capacity 120 cost 120 items 46 465 load 119
bin 7 type 0 capacity 100 cost 100 items 109 load 97
bin 8 type 2 capacity 150 cost 150 items 145 2 load 145
bin 9 type 2 capacity 150 cost 150 items 294 444 load 143
bin 10 type 2 capacity 150 cost 150 items 352 467 load 149
bin 11 type 1 capacity 120 cost 120 items 448 94 load 120
bin 12 type 1 capacity 120 cost 120 items 346 186 load 120
bin 13 type 1 capacity 120 cost 120 items 422 209 load 120
bin 14 type 2 capacity 150 cost 150 items 464 81 load 150
bin 15 type 1 capacity 120 cost 120 items 469 82 load 119
bin 16 type 1 capacity 120 cost 120 items 106 164 load 118
bin 17 type 1 capacity 120 cost 120 items 187 69 load 120
bin 18 type 2 capacity 150 cost 150 items 188 257 load 141
bin 19 type 1 capacity 120 cost 120 items 191 304 load 120
bin 20 type 2 capacity 150 cost 150 items 214 235 load 150
bin 21 type 2 capacity 150 cost 150 items 262 121 load 142
bin 22 type 2 capacity 150 cost 150 items 317 141 load 150
bin 23 type 2 capacity 150 cost 150 items 99 28 242 load 150
bin 24 type 2 capacity 150 cost 150 items 433 383 load 150
bin 25 type 2 capacity 150 cost 150 items 492 282 load 149
bin 26 type 1 capacity 120 cost 120 items 47 204 load 119
bin 27 type 1 capacity 120 cost 120 items 91 258 load 116
bin 28 type 1 capacity 120 cost 120 items 174 55 load 119
bin 29 type 2 capacity 150 cost 150 items 198 100 load 150
bin 30 type 2 capacity 150 cost 150 items 325 70 load 149
bin 31 type 2 capacity 150 cost 150 items 372 275 load 150
bin 32 type 1 capacity 120 cost 120 items 8 248 load 120
bin 33 type 2 capacity 150 cost 150 items 19 31 load 147
bin 34 type 1 capacity 120 cost 120 items 135 370 load 120
bin 35 type 1 capacity 120 cost 120 items 203 300 load 120
bin 36 type 1 capacity 120 cost 120 items 261 133 load 120
bin 37 type 2 capacity 150 cost 150 items 312 451 load 150
bin 38 type 1 capacity 120 cost 120 items 487 305 load 119
bin 39 type 1 capacity 120 cost 120 items 192 127 load 119
bin 40 type 1 capacity 120 cost 120 items 398 405 load 120
bin 41 type 2 capacity 150 cost 150 items 468 394 load 149
bin 42 type 1 capacity 120 cost 120 items 52 129 load 120
bin 43 type 1 capacity 120 cost 120 items 241 228 load 118
bin 44 type 2 capacity 150 cost 150 items 139 489 load 150
bin 45 type 1 capacity 120 cost 120 items 168 390 load 120
bin 46 type 1 capacity 120 cost 120 items 223 376 load 115
bin 47 type 1 capacity 120 cost 120 items 288 181 load 115
bin 48 type 2 capacity 150 cost 150 items 80 67 65 load 146
bin 49 type 1 capacity 120 cost 120 items 406 62 load 120
bin 50 type 2 capacity 150 cost 150 items 493 116 178 load 150
bin 51 type 1 capacity 120 cost 120 items 75 404 load 119
bin 52 type 1 capacity 120 cost 120 items 205 120 load 120
bin 53 type 2 capacity 150 cost 150 items 358 207 load 150
bin 54 type 1 capacity 120 cost 120 items 237 327 load 119
bin 55 type 2 capacity 150 cost 150 items 283 49 load 149
bin 56 type 1 capacity 120 cost 120 items 461 339 load 120
bin 57 type 1 capacity 120 cost 120 items 74 108 load 118
bin 58 type 2 capacity 150 cost 150 items 98 499 load 148
bin 59 type 1 capacity 120 cost 120 items 266 157 load 120
bin 60 type 1 capacity 120 cost 120 items 224 474 load 111
bin 61 type 2 capacity 150 cost 150 items 340 239 260 load 149
bin 62 type 1 capacity 120 cost 120 items 345 59 load 120
bin 63 type 1 capacity 120 cost 120 items 318 400 430 load 115
bin 64 type 1 capacity 120 cost 120 items 421 40 load 120
bin 65 type 2 capacity 150 cost 150 items 443 32 load 150
bin 66 type 2 capacity 150 cost 150 items 463 324 load 150
bin 67 type 1 capacity 120 cost 120 items 478 380 load 119
bin 68 type 2 capacity 150 cost 150 items 117 298 load 150
bin 69 type 2 capacity 150 cost 150 items 155 259 load 149
bin 70 type 1 capacity 120 cost 120 items 292 348 load 120
bin 71 type 1 capacity 120 cost 120 items 249 215 load 120
bin 72 type 2 capacity 150 cost 150 items 269 423 load 147
bin 73 type 2 capacity 150 cost 150 items 276 194 load 150
bin 74 type 2 capacity 150 cost 150 items 308 347 load 149
bin 75 type 1 capacity 120 cost 120 items 334 147 load 118
bin 76 type 1 capacity 120 cost 120 items 449 321 load 118
bin 77 type 1 capacity 120 cost 120 items 218 251 load 120
bin 78 type 2 capacity 150 cost 150 items 307 287 load 150
bin 79 type 1 capacity 120 cost 120 items 45 281 load 118
bin 80 type 1 capacity 120 cost 120 items 57 20 load 119
bin 81 type 1 capacity 120 cost 120 items 86 36 load 120
bin 82 type 1 capacity 120 cost 120 items 92 279 load 120
bin 83 type 2 capacity 150 cost 150 items 182 295 load 149
bin 84 type 1 capacity 120 cost 120 items 274 60 load 110
bin 85 type 2 capacity 150 cost 150 items 353 179 load 150
bin 86 type 1 capacity 120 cost 120 items 388 136 load 120
bin 87 type 2 capacity 150 cost 150 items 413 454 load 149
bin 88 type 2 capacity 150 cost 150 items 447 485 load 148
bin 89 type 1 capacity 120 cost 120 items 477 219 load 119
bin 90 type 1 capacity 120 cost 120 items 217 316 load 119
bin 91 type 0 capacity 100 cost 100 items 143 101 load 100
bin 92 type 2 capacity 150 cost 150 items 280 115 load 150
bin 93 type 1 capacity 120 cost 120 items 216 387 load 120
bin 94 type 1 capacity 120 cost 120 items 337 193 load 119
bin 95 type 1 capacity 120 cost 120 items 343 270 load 120
bin 96 type 1 capacity 120 cost 120 items 373 61 load 114
bin 97 type 2 capacity 150 cost 150 items 484 420 183 load 142
bin 98 type 1 capacity 120 cost 120 items 118 54 load 111
bin 99 type 1 capacity 120 cost 120 items 122 440 load 120
bin 100 type 1 capacity 120 cost 120 items 368 434 load 120
bin 101 type 1 capacity 120 cost 120 items 446 342 load 120
bin 102 type 1 capacity 120 cost 120 items 97 56 load 118
bin 103 type 1 capacity 120 cost 120 items 166 43 load 120
bin 104 type 0 capacity 100 cost 100 items 289 158 load 97
bin 105 type 1 capacity 120 cost 120 items 386 88 load 117
bin 106 type 0 capacity 100 cost 100 items 149 414 load 95
bin 107 type 1 capacity 120 cost 120 items 227 58 load 120
bin 108 type 1 capacity 120 cost 120 items 137 68 load 120
bin 109 type 2 capacity 150 cost 150 items 278 17 load 150
bin 110 type 1 capacity 120 cost 120 items 336 71 load 120
bin 111 type 2 capacity 150 cost 150 items 93 21 265 load 150
bin 112 type 1 capacity 120 cost 120 items 196 226 load 113
