instance_file ../instances/set_1/N_500/Correia_Random_3_2_9_5.txt
config set1_3types_linear
mode vanilla
run 6
seed 47
start_time 2026-04-30 06:27:16
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 2.574745
objective 31150.000000
total_bin_cost 31150
total_excess 0
total_conflicts 0

solution
bin 0 type 1 capacity 120 cost 120 items 245 20 434 load 119
bin 1 type 0 capacity 100 cost 100 items 481 load 92
bin 2 type 0 capacity 100 cost 100 items 450 345 load 98
bin 3 type 1 capacity 120 cost 120 items 269 393 load 117
bin 4 type 2 capacity 150 cost 150 items 370 146 load 140
bin 5 type 1 capacity 120 cost 120 items 208 8 492 load 118
bin 6 type 1 capacity 120 cost 120 items 277 78 load 116
bin 7 type 1 capacity 120 cost 120 items 255 42 load 117
bin 8 type 1 capacity 120 cost 120 items 70 423 load 120
bin 9 type 1 capacity 120 cost 120 items 359 92 load 118
bin 10 type 2 capacity 150 cost 150 items 307 375 load 148
bin 11 type 1 capacity 120 cost 120 items 427 133 458 load 113
bin 12 type 0 capacity 100 cost 100 items 401 338 load 92
bin 13 type 1 capacity 120 cost 120 items 462 464 load 119
bin 14 type 2 capacity 150 cost 150 items 152 145 load 146
bin 15 type 1 capacity 120 cost 120 items 22 372 load 119
bin 16 type 1 capacity 120 cost 120 items 32 26 load 120
bin 17 type 1 capacity 120 cost 120 items 391 77 load 117
bin 18 type 1 capacity 120 cost 120 items 91 134 load 119
bin 19 type 0 capacity 100 cost 100 items 356 273 load 96
bin 20 type 2 capacity 150 cost 150 items 107 486 load 146
bin 21 type 1 capacity 120 cost 120 items 178 470 load 117
bin 22 type 2 capacity 150 cost 150 items 95 364 load 148
bin 23 type 1 capacity 120 cost 120 items 396 115 load 120
bin 24 type 1 capacity 120 cost 120 items 58 366 load 118
bin 25 type 0 capacity 100 cost 100 items 418 295 load 100
bin 26 type 1 capacity 120 cost 120 items 132 112 load 119
bin 27 type 2 capacity 150 cost 150 items 216 483 load 149
bin 28 type 1 capacity 120 cost 120 items 182 194 load 120
bin 29 type 1 capacity 120 cost 120 items 279 169 load 118
bin 30 type 1 capacity 120 cost 120 items 437 223 load 120
bin 31 type 2 capacity 150 cost 150 items 2 276 load 148
bin 32 type 2 capacity 150 cost 150 items 24 367 load 150
bin 33 type 2 capacity 150 cost 150 items 44 49 load 149
bin 34 type 1 capacity 120 cost 120 items 253 135 load 119
bin 35 type 2 capacity 150 cost 150 items 376 291 load 149
bin 36 type 2 capacity 150 cost 150 items 260 198 load 149
bin 37 type 1 capacity 120 cost 120 items 54 494 load 118
bin 38 type 1 capacity 120 cost 120 items 162 272 load 120
bin 39 type 1 capacity 120 cost 120 items 278 7 load 119
bin 40 type 1 capacity 120 cost 120 items 353 31 load 120
bin 41 type 1 capacity 120 cost 120 items 474 306 load 120
bin 42 type 2 capacity 150 cost 150 items 478 98 load 141
bin 43 type 1 capacity 120 cost 120 items 267 456 load 117
bin 44 type 1 capacity 120 cost 120 items 110 11 load 119
bin 45 type 2 capacity 150 cost 150 items 410 320 load 150
bin 46 type 2 capacity 150 cost 150 items 463 212 load 150
bin 47 type 0 capacity 100 cost 100 items 82 466 load 98
bin 48 type 0 capacity 100 cost 100 items 283 455 load 100
bin 49 type 0 capacity 100 cost 100 items 377 140 load 96
bin 50 type 2 capacity 150 cost 150 items 41 177 load 146
bin 51 type 1 capacity 120 cost 120 items 341 448 load 119
bin 52 type 1 capacity 120 cost 120 items 266 357 load 120
bin 53 type 2 capacity 150 cost 150 items 301 53 load 149
bin 54 type 2 capacity 150 cost 150 items 361 16 load 143
bin 55 type 1 capacity 120 cost 120 items 420 153 load 120
bin 56 type 1 capacity 120 cost 120 items 327 447 load 119
bin 57 type 1 capacity 120 cost 120 items 18 79 load 120
bin 58 type 0 capacity 100 cost 100 items 325 load 99
bin 59 type 0 capacity 100 cost 100 items 6 296 load 100
bin 60 type 2 capacity 150 cost 150 items 64 319 load 150
bin 61 type 1 capacity 120 cost 120 items 5 314 load 120
bin 62 type 2 capacity 150 cost 150 items 186 304 load 150
bin 63 type 2 capacity 150 cost 150 items 87 280 load 145
bin 64 type 2 capacity 150 cost 150 items 347 66 load 150
bin 65 type 2 capacity 150 cost 150 items 408 99 load 148
bin 66 type 2 capacity 150 cost 150 items 15 465 load 150
bin 67 type 2 capacity 150 cost 150 items 192 336 load 145
bin 68 type 0 capacity 100 cost 100 items 188 334 load 100
bin 69 type 1 capacity 120 cost 120 items 201 271 load 120
bin 70 type 2 capacity 150 cost 150 items 360 452 load 147
bin 71 type 1 capacity 120 cost 120 items 305 365 load 106
bin 72 type 1 capacity 120 cost 120 items 17 482 load 112
bin 73 type 1 capacity 120 cost 120 items 445 240 load 120
bin 74 type 2 capacity 150 cost 150 items 374 421 load 141
bin 75 type 1 capacity 120 cost 120 items 404 469 load 120
bin 76 type 2 capacity 150 cost 150 items 406 219 load 135
bin 77 type 2 capacity 150 cost 150 items 414 335 load 149
bin 78 type 2 capacity 150 cost 150 items 72 86 load 150
bin 79 type 2 capacity 150 cost 150 items 84 497 load 150
bin 80 type 1 capacity 120 cost 120 items 33 281 load 120
bin 81 type 1 capacity 120 cost 120 items 111 472 load 120
bin 82 type 0 capacity 100 cost 100 items 274 load 88
bin 83 type 1 capacity 120 cost 120 items 322 457 load 119
bin 84 type 1 capacity 120 cost 120 items 65 25 load 120
bin 85 type 2 capacity 150 cost 150 items 358 475 load 148
bin 86 type 2 capacity 150 cost 150 items 496 195 load 147
bin 87 type 1 capacity 120 cost 120 items 405 19 load 114
bin 88 type 0 capacity 100 cost 100 items 150 487 load 98
bin 89 type 0 capacity 100 cost 100 items 174 352 load 100
bin 90 type 1 capacity 120 cost 120 items 284 4 load 120
bin 91 type 2 capacity 150 cost 150 items 36 392 114 load 147
bin 92 type 2 capacity 150 cost 150 items 413 431 load 142
bin 93 type 1 capacity 120 cost 120 items 289 12 load 114
bin 94 type 0 capacity 100 cost 100 items 317 load 100
bin 95 type 1 capacity 120 cost 120 items 28 329 load 120
bin 96 type 2 capacity 150 cost 150 items 171 389 load 142
bin 97 type 2 capacity 150 cost 150 items 173 9 load 150
bin 98 type 1 capacity 120 cost 120 items 333 476 load 120
bin 99 type 2 capacity 150 cost 150 items 125 215 load 149
bin 100 type 1 capacity 120 cost 120 items 337 498 load 119
bin 101 type 2 capacity 150 cost 150 items 124 461 load 141
bin 102 type 2 capacity 150 cost 150 items 429 354 load 136
bin 103 type 1 capacity 120 cost 120 items 56 175 load 119
bin 104 type 1 capacity 120 cost 120 items 351 46 load 120
bin 105 type 1 capacity 120 cost 120 items 10 270 load 120
bin 106 type 1 capacity 120 cost 120 items 433 484 load 120
bin 107 type 2 capacity 150 cost 150 items 21 485 load 149
bin 108 type 1 capacity 120 cost 120 items 156 287 load 120
bin 109 type 2 capacity 150 cost 150 items 167 39 load 150
bin 110 type 2 capacity 150 cost 150 items 311 52 load 141
bin 111 type 2 capacity 150 cost 150 items 129 346 load 148
bin 112 type 2 capacity 150 cost 150 items 93 121 368 load 150
bin 113 type 1 capacity 120 cost 120 items 147 292 473 load 120
bin 114 type 1 capacity 120 cost 120 items 394 310 load 116
bin 115 type 0 capacity 100 cost 100 items 265 247 load 100
bin 116 type 0 capacity 100 cost 100 items 185 249 load 100
bin 117 type 1 capacity 120 cost 120 items 381 138 load 120
bin 118 type 1 capacity 120 cost 120 items 43 290 load 115
bin 119 type 2 capacity 150 cost 150 items 363 200 259 load 149
bin 120 type 2 capacity 150 cost 150 items 191 241 load 150
bin 121 type 1 capacity 120 cost 120 items 387 204 load 117
bin 122 type 2 capacity 150 cost 150 items 73 286 load 149
bin 123 type 2 capacity 150 cost 150 items 137 126 load 150
bin 124 type 2 capacity 150 cost 150 items 205 244 load 145
bin 125 type 2 capacity 150 cost 150 items 226 104 load 146
bin 126 type 2 capacity 150 cost 150 items 256 144 load 149
