instance_file ../instances/set_1/N_500/Correia_Random_3_3_7_7.txt
config set1_3types_linear
mode vanilla
run 1
seed 42
start_time 2026-04-30 08:27:08
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 1.239899
objective 37640.000000
total_bin_cost 37640
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 4 load 100
bin 1 type 2 capacity 150 cost 150 items 47 36 load 150
bin 2 type 2 capacity 150 cost 150 items 144 84 load 150
bin 3 type 2 capacity 150 cost 150 items 229 9 load 150
bin 4 type 0 capacity 100 cost 100 items 345 load 100
bin 5 type 2 capacity 150 cost 150 items 474 350 load 150
bin 6 type 2 capacity 150 cost 150 items 16 226 load 150
bin 7 type 2 capacity 150 cost 150 items 276 152 load 149
bin 8 type 2 capacity 150 cost 150 items 312 22 load 150
bin 9 type 2 capacity 150 cost 150 items 442 169 load 150
bin 10 type 2 capacity 150 cost 150 items 56 69 load 150
bin 11 type 0 capacity 100 cost 100 items 454 load 98
bin 12 type 2 capacity 150 cost 150 items 150 78 load 150
bin 13 type 2 capacity 150 cost 150 items 202 135 load 150
bin 14 type 2 capacity 150 cost 150 items 285 283 load 150
bin 15 type 2 capacity 150 cost 150 items 18 86 load 150
bin 16 type 2 capacity 150 cost 150 items 53 134 load 150
bin 17 type 2 capacity 150 cost 150 items 204 237 load 150
bin 18 type 2 capacity 150 cost 150 items 282 244 load 150
bin 19 type 2 capacity 150 cost 150 items 319 356 load 150
bin 20 type 2 capacity 150 cost 150 items 353 292 load 150
bin 21 type 2 capacity 150 cost 150 items 426 318 load 150
bin 22 type 2 capacity 150 cost 150 items 101 415 load 150
bin 23 type 2 capacity 150 cost 150 items 11 112 load 150
bin 24 type 2 capacity 150 cost 150 items 14 325 load 150
bin 25 type 2 capacity 150 cost 150 items 90 13 load 150
bin 26 type 2 capacity 150 cost 150 items 216 258 load 150
bin 27 type 2 capacity 150 cost 150 items 376 251 load 150
bin 28 type 2 capacity 150 cost 150 items 380 335 load 150
bin 29 type 2 capacity 150 cost 150 items 31 130 load 150
bin 30 type 2 capacity 150 cost 150 items 232 42 load 150
bin 31 type 2 capacity 150 cost 150 items 401 40 load 148
bin 32 type 2 capacity 150 cost 150 items 88 83 load 150
bin 33 type 2 capacity 150 cost 150 items 111 146 load 150
bin 34 type 2 capacity 150 cost 150 items 279 427 load 150
bin 35 type 2 capacity 150 cost 150 items 316 296 load 150
bin 36 type 2 capacity 150 cost 150 items 378 371 load 144
bin 37 type 2 capacity 150 cost 150 items 180 128 load 150
bin 38 type 2 capacity 150 cost 150 items 141 147 load 150
bin 39 type 2 capacity 150 cost 150 items 60 218 load 150
bin 40 type 2 capacity 150 cost 150 items 252 108 load 150
bin 41 type 2 capacity 150 cost 150 items 330 413 load 150
bin 42 type 2 capacity 150 cost 150 items 366 280 load 150
bin 43 type 2 capacity 150 cost 150 items 458 71 load 150
bin 44 type 2 capacity 150 cost 150 items 464 342 load 149
bin 45 type 2 capacity 150 cost 150 items 97 85 load 150
bin 46 type 2 capacity 150 cost 150 items 99 28 load 150
bin 47 type 2 capacity 150 cost 150 items 159 96 load 150
bin 48 type 2 capacity 150 cost 150 items 187 162 load 150
bin 49 type 2 capacity 150 cost 150 items 201 253 load 150
bin 50 type 2 capacity 150 cost 150 items 222 243 load 150
bin 51 type 2 capacity 150 cost 150 items 277 456 load 150
bin 52 type 2 capacity 150 cost 150 items 304 361 load 149
bin 53 type 2 capacity 150 cost 150 items 326 463 load 149
bin 54 type 2 capacity 150 cost 150 items 399 98 load 150
bin 55 type 2 capacity 150 cost 150 items 406 445 load 149
bin 56 type 2 capacity 150 cost 150 items 412 181 load 148
bin 57 type 2 capacity 150 cost 150 items 21 136 load 150
bin 58 type 2 capacity 150 cost 150 items 70 34 load 150
bin 59 type 2 capacity 150 cost 150 items 132 215 load 150
bin 60 type 2 capacity 150 cost 150 items 151 267 load 150
bin 61 type 2 capacity 150 cost 150 items 174 431 load 150
bin 62 type 2 capacity 150 cost 150 items 212 363 load 149
bin 63 type 2 capacity 150 cost 150 items 100 230 load 150
bin 64 type 2 capacity 150 cost 150 items 121 223 load 150
bin 65 type 2 capacity 150 cost 150 items 354 314 load 148
bin 66 type 2 capacity 150 cost 150 items 484 271 load 150
bin 67 type 2 capacity 150 cost 150 items 49 109 load 150
bin 68 type 2 capacity 150 cost 150 items 139 77 load 150
bin 69 type 2 capacity 150 cost 150 items 185 409 load 150
bin 70 type 2 capacity 150 cost 150 items 384 359 load 148
bin 71 type 2 capacity 150 cost 150 items 428 182 load 138
bin 72 type 2 capacity 150 cost 150 items 241 102 load 150
bin 73 type 2 capacity 150 cost 150 items 256 43 load 150
bin 74 type 2 capacity 150 cost 150 items 294 408 load 150
bin 75 type 2 capacity 150 cost 150 items 382 194 load 150
bin 76 type 2 capacity 150 cost 150 items 19 17 load 150
bin 77 type 2 capacity 150 cost 150 items 73 92 load 150
bin 78 type 2 capacity 150 cost 150 items 163 260 load 149
bin 79 type 2 capacity 150 cost 150 items 281 45 load 150
bin 80 type 2 capacity 150 cost 150 items 331 435 load 150
bin 81 type 2 capacity 150 cost 150 items 337 450 load 150
bin 82 type 2 capacity 150 cost 150 items 389 455 load 143
bin 83 type 2 capacity 150 cost 150 items 423 487 load 148
bin 84 type 2 capacity 150 cost 150 items 482 116 load 149
bin 85 type 2 capacity 150 cost 150 items 119 263 load 150
