instance_file ../instances/set_1/N_500/Correia_Random_3_3_9_4.txt
config set1_5types_linear
mode vanilla
run 2
seed 43
start_time 2026-04-30 08:39:59
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 1.929338
objective 37580.000000
total_bin_cost 37580
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 100 cost 100 items 279 load 100
bin 1 type 2 capacity 100 cost 100 items 431 load 100
bin 2 type 2 capacity 100 cost 100 items 425 load 98
bin 3 type 4 capacity 150 cost 150 items 186 382 load 149
bin 4 type 4 capacity 150 cost 150 items 289 377 load 148
bin 5 type 4 capacity 150 cost 150 items 233 61 load 148
bin 6 type 4 capacity 150 cost 150 items 347 168 load 149
bin 7 type 4 capacity 150 cost 150 items 421 287 load 149
bin 8 type 4 capacity 150 cost 150 items 37 264 load 150
bin 9 type 4 capacity 150 cost 150 items 4 326 load 150
bin 10 type 4 capacity 150 cost 150 items 300 163 load 148
bin 11 type 4 capacity 150 cost 150 items 401 460 load 150
bin 12 type 4 capacity 150 cost 150 items 464 392 load 148
bin 13 type 4 capacity 150 cost 150 items 346 487 load 148
bin 14 type 4 capacity 150 cost 150 items 471 102 load 150
bin 15 type 4 capacity 150 cost 150 items 488 81 load 143
bin 16 type 4 capacity 150 cost 150 items 167 493 load 150
bin 17 type 4 capacity 150 cost 150 items 481 108 load 143
bin 18 type 4 capacity 150 cost 150 items 3 402 load 150
bin 19 type 4 capacity 150 cost 150 items 486 202 load 148
bin 20 type 4 capacity 150 cost 150 items 105 96 load 150
bin 21 type 4 capacity 150 cost 150 items 218 313 load 149
bin 22 type 4 capacity 150 cost 150 items 480 339 load 150
bin 23 type 4 capacity 150 cost 150 items 142 274 load 150
bin 24 type 4 capacity 150 cost 150 items 290 146 load 139
bin 25 type 4 capacity 150 cost 150 items 128 91 load 148
bin 26 type 4 capacity 150 cost 150 items 296 285 load 145
bin 27 type 4 capacity 150 cost 150 items 153 159 load 150
bin 28 type 4 capacity 150 cost 150 items 7 453 load 148
bin 29 type 4 capacity 150 cost 150 items 54 244 load 150
bin 30 type 3 capacity 120 cost 120 items 449 79 load 114
bin 31 type 4 capacity 150 cost 150 items 265 52 load 150
bin 32 type 4 capacity 150 cost 150 items 272 247 load 150
bin 33 type 4 capacity 150 cost 150 items 467 44 load 147
bin 34 type 4 capacity 150 cost 150 items 496 250 load 149
bin 35 type 4 capacity 150 cost 150 items 280 335 load 150
bin 36 type 4 capacity 150 cost 150 items 333 442 load 149
bin 37 type 4 capacity 150 cost 150 items 423 350 load 150
bin 38 type 4 capacity 150 cost 150 items 74 409 load 147
bin 39 type 4 capacity 150 cost 150 items 76 371 load 150
bin 40 type 4 capacity 150 cost 150 items 51 151 load 150
bin 41 type 4 capacity 150 cost 150 items 73 206 load 149
bin 42 type 4 capacity 150 cost 150 items 345 369 load 150
bin 43 type 4 capacity 150 cost 150 items 135 342 load 150
bin 44 type 4 capacity 150 cost 150 items 184 260 load 149
bin 45 type 2 capacity 100 cost 100 items 209 load 100
bin 46 type 4 capacity 150 cost 150 items 492 351 load 144
bin 47 type 4 capacity 150 cost 150 items 126 20 load 149
bin 48 type 4 capacity 150 cost 150 items 94 30 load 149
bin 49 type 4 capacity 150 cost 150 items 337 320 load 147
bin 50 type 4 capacity 150 cost 150 items 152 415 load 149
bin 51 type 4 capacity 150 cost 150 items 495 237 load 150
bin 52 type 4 capacity 150 cost 150 items 199 497 load 150
bin 53 type 4 capacity 150 cost 150 items 404 226 load 149
bin 54 type 4 capacity 150 cost 150 items 136 288 load 150
bin 55 type 4 capacity 150 cost 150 items 180 242 load 149
bin 56 type 4 capacity 150 cost 150 items 251 140 load 150
bin 57 type 4 capacity 150 cost 150 items 116 489 load 150
bin 58 type 4 capacity 150 cost 150 items 306 148 load 149
bin 59 type 4 capacity 150 cost 150 items 472 330 load 150
bin 60 type 4 capacity 150 cost 150 items 57 71 load 150
bin 61 type 3 capacity 120 cost 120 items 183 21 load 119
bin 62 type 4 capacity 150 cost 150 items 407 456 load 150
bin 63 type 4 capacity 150 cost 150 items 318 50 load 149
bin 64 type 4 capacity 150 cost 150 items 249 129 load 150
bin 65 type 4 capacity 150 cost 150 items 304 195 load 149
bin 66 type 2 capacity 100 cost 100 items 374 load 100
bin 67 type 4 capacity 150 cost 150 items 156 56 load 149
bin 68 type 4 capacity 150 cost 150 items 194 394 load 150
bin 69 type 4 capacity 150 cost 150 items 84 238 load 149
bin 70 type 4 capacity 150 cost 150 items 223 215 load 150
bin 71 type 4 capacity 150 cost 150 items 8 107 load 149
bin 72 type 4 capacity 150 cost 150 items 387 33 load 149
bin 73 type 4 capacity 150 cost 150 items 476 461 load 150
bin 74 type 4 capacity 150 cost 150 items 41 393 load 149
bin 75 type 4 capacity 150 cost 150 items 246 368 load 150
bin 76 type 4 capacity 150 cost 150 items 315 334 load 150
bin 77 type 4 capacity 150 cost 150 items 433 269 load 146
bin 78 type 4 capacity 150 cost 150 items 112 36 load 150
bin 79 type 4 capacity 150 cost 150 items 145 278 load 150
bin 80 type 4 capacity 150 cost 150 items 331 100 load 146
bin 81 type 4 capacity 150 cost 150 items 375 131 load 149
bin 82 type 4 capacity 150 cost 150 items 115 120 load 148
bin 83 type 4 capacity 150 cost 150 items 204 29 load 150
bin 84 type 4 capacity 150 cost 150 items 1 228 load 150
bin 85 type 4 capacity 150 cost 150 items 32 317 load 150
bin 86 type 4 capacity 150 cost 150 items 60 439 load 150
bin 87 type 4 capacity 150 cost 150 items 277 16 load 150
bin 88 type 4 capacity 150 cost 150 items 457 213 load 150
bin 89 type 4 capacity 150 cost 150 items 207 257 load 150
bin 90 type 4 capacity 150 cost 150 items 466 301 load 149
bin 91 type 4 capacity 150 cost 150 items 0 307 load 150
bin 92 type 2 capacity 100 cost 100 items 254 load 96
bin 93 type 4 capacity 150 cost 150 items 162 319 load 149
bin 94 type 4 capacity 150 cost 150 items 267 432 load 150
bin 95 type 4 capacity 150 cost 150 items 417 446 load 148
bin 96 type 4 capacity 150 cost 150 items 234 11 load 150
bin 97 type 4 capacity 150 cost 150 items 458 143 load 150
bin 98 type 3 capacity 120 cost 120 items 64 483 load 120
bin 99 type 4 capacity 150 cost 150 items 294 420 load 150
bin 100 type 4 capacity 150 cost 150 items 343 86 load 146
bin 101 type 3 capacity 120 cost 120 items 463 459 load 120
bin 102 type 4 capacity 150 cost 150 items 19 239 load 148
bin 103 type 4 capacity 150 cost 150 items 13 397 load 149
bin 104 type 4 capacity 150 cost 150 items 92 227 load 149
bin 105 type 4 capacity 150 cost 150 items 214 440 load 149
bin 106 type 2 capacity 100 cost 100 items 292 load 99
bin 107 type 4 capacity 150 cost 150 items 361 356 load 149
bin 108 type 4 capacity 150 cost 150 items 188 243 load 148
bin 109 type 2 capacity 100 cost 100 items 366 load 98
bin 110 type 4 capacity 150 cost 150 items 147 450 load 150
bin 111 type 4 capacity 150 cost 150 items 170 196 load 150
bin 112 type 4 capacity 150 cost 150 items 138 353 load 150
bin 113 type 4 capacity 150 cost 150 items 192 252 load 150
bin 114 type 4 capacity 150 cost 150 items 352 498 load 150
bin 115 type 4 capacity 150 cost 150 items 455 55 load 149
bin 116 type 4 capacity 150 cost 150 items 411 14 load 150
bin 117 type 4 capacity 150 cost 150 items 283 462 load 150
bin 118 type 4 capacity 150 cost 150 items 97 67 load 144
bin 119 type 4 capacity 150 cost 150 items 160 106 load 146
bin 120 type 4 capacity 150 cost 150 items 429 98 load 150
bin 121 type 4 capacity 150 cost 150 items 191 171 load 150
bin 122 type 4 capacity 150 cost 150 items 396 174 load 150
bin 123 type 4 capacity 150 cost 150 items 75 205 load 150
bin 124 type 4 capacity 150 cost 150 items 430 125 load 150
bin 125 type 4 capacity 150 cost 150 items 477 336 load 150
bin 126 type 4 capacity 150 cost 150 items 212 68 load 150
bin 127 type 4 capacity 150 cost 150 items 499 380 load 148
bin 128 type 4 capacity 150 cost 150 items 370 193 load 149
bin 129 type 4 capacity 150 cost 150 items 491 263 load 150
bin 130 type 4 capacity 150 cost 150 items 23 444 load 147
bin 131 type 4 capacity 150 cost 150 items 389 78 load 150
bin 132 type 4 capacity 150 cost 150 items 399 281 load 149
bin 133 type 4 capacity 150 cost 150 items 70 454 load 150
bin 134 type 4 capacity 150 cost 150 items 134 40 load 150
bin 135 type 4 capacity 150 cost 150 items 216 478 load 150
bin 136 type 4 capacity 150 cost 150 items 201 295 load 149
bin 137 type 4 capacity 150 cost 150 items 211 284 load 150
bin 138 type 4 capacity 150 cost 150 items 291 322 load 147
bin 139 type 4 capacity 150 cost 150 items 111 17 load 150
bin 140 type 4 capacity 150 cost 150 items 363 245 load 150
bin 141 type 4 capacity 150 cost 150 items 364 87 load 150
bin 142 type 4 capacity 150 cost 150 items 395 231 load 145
bin 143 type 4 capacity 150 cost 150 items 410 376 load 149
bin 144 type 1 capacity 80 cost 80 items 321 load 75
bin 145 type 4 capacity 150 cost 150 items 240 438 load 150
bin 146 type 4 capacity 150 cost 150 items 448 59 load 144
bin 147 type 4 capacity 150 cost 150 items 436 341 load 150
bin 148 type 4 capacity 150 cost 150 items 2 316 load 145
bin 149 type 4 capacity 150 cost 150 items 378 381 load 150
bin 150 type 4 capacity 150 cost 150 items 324 452 load 140
bin 151 type 4 capacity 150 cost 150 items 10 88 load 150
bin 152 type 4 capacity 150 cost 150 items 379 412 load 150
bin 153 type 4 capacity 150 cost 150 items 58 414 load 150
bin 154 type 4 capacity 150 cost 150 items 266 62 load 149
bin 155 type 4 capacity 150 cost 150 items 268 38 load 149
bin 156 type 4 capacity 150 cost 150 items 80 99 load 150
bin 157 type 4 capacity 150 cost 150 items 5 302 load 146
bin 158 type 4 capacity 150 cost 150 items 45 358 load 150
bin 159 type 4 capacity 150 cost 150 items 150 200 load 147
bin 160 type 4 capacity 150 cost 150 items 308 172 load 144
bin 161 type 4 capacity 150 cost 150 items 273 422 load 142
bin 162 type 4 capacity 150 cost 150 items 103 141 load 150
bin 163 type 2 capacity 100 cost 100 items 157 load 100
bin 164 type 4 capacity 150 cost 150 items 365 109 load 150
bin 165 type 4 capacity 150 cost 150 items 400 386 load 150
bin 166 type 0 capacity 60 cost 60 items 475 load 60
bin 167 type 2 capacity 100 cost 100 items 101 load 99
bin 168 type 4 capacity 150 cost 150 items 329 340 load 150
bin 169 type 4 capacity 150 cost 150 items 418 177 load 150
bin 170 type 4 capacity 150 cost 150 items 85 328 load 150
bin 171 type 4 capacity 150 cost 150 items 181 385 load 149
bin 172 type 4 capacity 150 cost 150 items 441 65 load 150
bin 173 type 4 capacity 150 cost 150 items 494 82 load 149
bin 174 type 4 capacity 150 cost 150 items 428 117 load 150
bin 175 type 2 capacity 100 cost 100 items 77 load 97
bin 176 type 2 capacity 100 cost 100 items 217 load 97
bin 177 type 4 capacity 150 cost 150 items 63 490 load 150
bin 178 type 4 capacity 150 cost 150 items 179 175 load 146
bin 179 type 4 capacity 150 cost 150 items 27 468 load 150
bin 180 type 4 capacity 150 cost 150 items 113 130 load 150
bin 181 type 4 capacity 150 cost 150 items 123 185 load 150
bin 182 type 2 capacity 100 cost 100 items 161 load 95
bin 183 type 4 capacity 150 cost 150 items 12 132 load 150
bin 184 type 4 capacity 150 cost 150 items 124 6 load 148
bin 185 type 4 capacity 150 cost 150 items 35 83 load 150
bin 186 type 4 capacity 150 cost 150 items 360 235 load 146
bin 187 type 2 capacity 100 cost 100 items 236 load 89
bin 188 type 3 capacity 120 cost 120 items 327 416 load 118
bin 189 type 4 capacity 150 cost 150 items 39 362 load 150
bin 190 type 4 capacity 150 cost 150 items 275 348 load 150
