instance_file ../instances/set_1/N_1000/Correia_Random_4_2_10_6.txt
config set1_3types_linear
mode vanilla
run 5
seed 46
start_time 2026-04-28 01:37:57
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 11.427764
objective 60970.000000
total_bin_cost 60970
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 150 cost 150 items 160 4 0 load 149
bin 1 type 0 capacity 100 cost 100 items 288 load 100
bin 2 type 0 capacity 100 cost 100 items 500 load 100
bin 3 type 2 capacity 150 cost 150 items 121 165 load 146
bin 4 type 0 capacity 100 cost 100 items 237 load 98
bin 5 type 2 capacity 150 cost 150 items 484 862 load 150
bin 6 type 2 capacity 150 cost 150 items 530 194 load 148
bin 7 type 2 capacity 150 cost 150 items 670 177 load 150
bin 8 type 2 capacity 150 cost 150 items 679 461 load 149
bin 9 type 0 capacity 100 cost 100 items 789 load 98
bin 10 type 1 capacity 120 cost 120 items 263 200 load 118
bin 11 type 1 capacity 120 cost 120 items 354 191 load 119
bin 12 type 2 capacity 150 cost 150 items 453 57 load 150
bin 13 type 1 capacity 120 cost 120 items 801 666 load 120
bin 14 type 2 capacity 150 cost 150 items 849 153 load 150
bin 15 type 2 capacity 150 cost 150 items 726 777 load 150
bin 16 type 2 capacity 150 cost 150 items 863 998 load 150
bin 17 type 2 capacity 150 cost 150 items 74 646 load 150
bin 18 type 1 capacity 120 cost 120 items 343 90 load 119
bin 19 type 2 capacity 150 cost 150 items 627 182 load 150
bin 20 type 1 capacity 120 cost 120 items 734 583 load 120
bin 21 type 2 capacity 150 cost 150 items 893 310 load 144
bin 22 type 1 capacity 120 cost 120 items 322 109 load 120
bin 23 type 1 capacity 120 cost 120 items 332 887 load 118
bin 24 type 1 capacity 120 cost 120 items 543 65 load 118
bin 25 type 1 capacity 120 cost 120 items 984 299 load 119
bin 26 type 1 capacity 120 cost 120 items 659 124 load 119
bin 27 type 2 capacity 150 cost 150 items 919 985 load 149
bin 28 type 1 capacity 120 cost 120 items 175 488 load 119
bin 29 type 1 capacity 120 cost 120 items 954 108 load 120
bin 30 type 1 capacity 120 cost 120 items 682 352 load 117
bin 31 type 1 capacity 120 cost 120 items 723 341 load 116
bin 32 type 2 capacity 150 cost 150 items 868 157 load 148
bin 33 type 1 capacity 120 cost 120 items 916 931 load 102
bin 34 type 1 capacity 120 cost 120 items 442 283 load 116
bin 35 type 1 capacity 120 cost 120 items 624 1 load 119
bin 36 type 2 capacity 150 cost 150 items 910 123 load 150
bin 37 type 2 capacity 150 cost 150 items 193 235 load 145
bin 38 type 1 capacity 120 cost 120 items 731 95 load 119
bin 39 type 2 capacity 150 cost 150 items 473 91 load 149
bin 40 type 1 capacity 120 cost 120 items 560 859 load 120
bin 41 type 1 capacity 120 cost 120 items 210 242 load 119
bin 42 type 2 capacity 150 cost 150 items 386 306 load 150
bin 43 type 1 capacity 120 cost 120 items 418 422 load 120
bin 44 type 1 capacity 120 cost 120 items 795 637 load 119
bin 45 type 1 capacity 120 cost 120 items 53 410 load 115
bin 46 type 1 capacity 120 cost 120 items 219 536 load 119
bin 47 type 1 capacity 120 cost 120 items 260 326 load 117
bin 48 type 1 capacity 120 cost 120 items 205 929 load 120
bin 49 type 1 capacity 120 cost 120 items 555 29 load 120
bin 50 type 1 capacity 120 cost 120 items 969 132 load 118
bin 51 type 0 capacity 100 cost 100 items 238 load 86
bin 52 type 1 capacity 120 cost 120 items 348 136 load 118
bin 53 type 1 capacity 120 cost 120 items 380 979 load 120
bin 54 type 1 capacity 120 cost 120 items 898 700 load 120
bin 55 type 1 capacity 120 cost 120 items 215 574 load 119
bin 56 type 1 capacity 120 cost 120 items 733 851 load 117
bin 57 type 2 capacity 150 cost 150 items 871 133 load 148
bin 58 type 1 capacity 120 cost 120 items 18 351 load 116
bin 59 type 0 capacity 100 cost 100 items 680 62 load 99
bin 60 type 1 capacity 120 cost 120 items 406 772 load 118
bin 61 type 1 capacity 120 cost 120 items 598 37 load 120
bin 62 type 1 capacity 120 cost 120 items 934 267 load 120
bin 63 type 1 capacity 120 cost 120 items 265 213 load 120
bin 64 type 1 capacity 120 cost 120 items 316 305 load 119
bin 65 type 2 capacity 150 cost 150 items 568 425 490 load 148
bin 66 type 2 capacity 150 cost 150 items 830 546 962 load 149
bin 67 type 1 capacity 120 cost 120 items 888 540 load 111
bin 68 type 1 capacity 120 cost 120 items 949 503 load 119
bin 69 type 1 capacity 120 cost 120 items 325 373 load 120
bin 70 type 1 capacity 120 cost 120 items 736 966 load 120
bin 71 type 1 capacity 120 cost 120 items 295 757 load 120
bin 72 type 1 capacity 120 cost 120 items 592 421 load 118
bin 73 type 1 capacity 120 cost 120 items 977 534 load 114
bin 74 type 1 capacity 120 cost 120 items 360 588 load 119
bin 75 type 1 capacity 120 cost 120 items 573 762 load 120
bin 76 type 1 capacity 120 cost 120 items 770 883 load 120
bin 77 type 1 capacity 120 cost 120 items 937 64 load 119
bin 78 type 1 capacity 120 cost 120 items 290 638 load 118
bin 79 type 1 capacity 120 cost 120 items 107 129 load 113
bin 80 type 1 capacity 120 cost 120 items 569 222 load 120
bin 81 type 0 capacity 100 cost 100 items 872 445 load 99
bin 82 type 1 capacity 120 cost 120 items 601 247 load 119
bin 83 type 1 capacity 120 cost 120 items 661 122 load 120
bin 84 type 0 capacity 100 cost 100 items 509 634 load 97
bin 85 type 0 capacity 100 cost 100 items 812 318 load 97
bin 86 type 1 capacity 120 cost 120 items 31 911 load 116
bin 87 type 1 capacity 120 cost 120 items 46 287 load 120
bin 88 type 2 capacity 150 cost 150 items 155 66 192 load 146
bin 89 type 1 capacity 120 cost 120 items 374 448 load 118
bin 90 type 0 capacity 100 cost 100 items 688 491 load 97
bin 91 type 1 capacity 120 cost 120 items 767 440 load 120
bin 92 type 1 capacity 120 cost 120 items 882 720 load 119
bin 93 type 0 capacity 100 cost 100 items 34 727 load 100
bin 94 type 1 capacity 120 cost 120 items 85 796 load 120
bin 95 type 1 capacity 120 cost 120 items 319 376 load 120
bin 96 type 1 capacity 120 cost 120 items 358 525 load 117
bin 97 type 1 capacity 120 cost 120 items 375 590 load 120
bin 98 type 2 capacity 150 cost 150 items 379 68 24 load 149
bin 99 type 1 capacity 120 cost 120 items 516 311 load 119
bin 100 type 1 capacity 120 cost 120 items 528 216 load 118
bin 101 type 1 capacity 120 cost 120 items 945 250 load 119
bin 102 type 1 capacity 120 cost 120 items 713 270 load 120
bin 103 type 1 capacity 120 cost 120 items 843 596 load 112
bin 104 type 1 capacity 120 cost 120 items 990 471 load 120
bin 105 type 1 capacity 120 cost 120 items 96 495 load 108
bin 106 type 1 capacity 120 cost 120 items 137 714 load 120
bin 107 type 1 capacity 120 cost 120 items 529 327 load 120
bin 108 type 0 capacity 100 cost 100 items 544 273 load 100
bin 109 type 1 capacity 120 cost 120 items 740 40 load 111
bin 110 type 1 capacity 120 cost 120 items 293 93 load 120
bin 111 type 1 capacity 120 cost 120 items 308 869 load 120
bin 112 type 0 capacity 100 cost 100 items 39 89 load 93
bin 113 type 1 capacity 120 cost 120 items 603 9 load 118
bin 114 type 1 capacity 120 cost 120 items 623 292 load 120
bin 115 type 1 capacity 120 cost 120 items 808 174 load 118
bin 116 type 0 capacity 100 cost 100 items 398 171 load 100
bin 117 type 2 capacity 150 cost 150 items 58 21 370 load 134
bin 118 type 0 capacity 100 cost 100 items 467 920 load 100
bin 119 type 0 capacity 100 cost 100 items 570 794 load 98
bin 120 type 1 capacity 120 cost 120 items 664 802 load 120
bin 121 type 1 capacity 120 cost 120 items 708 114 load 108
bin 122 type 0 capacity 100 cost 100 items 807 371 load 95
bin 123 type 1 capacity 120 cost 120 items 832 814 load 120
bin 124 type 0 capacity 100 cost 100 items 845 631 load 97
bin 125 type 1 capacity 120 cost 120 items 665 232 load 118
bin 126 type 1 capacity 120 cost 120 items 897 834 load 113
bin 127 type 0 capacity 100 cost 100 items 935 542 load 98
bin 128 type 1 capacity 120 cost 120 items 86 782 load 117
bin 129 type 0 capacity 100 cost 100 items 466 988 load 98
bin 130 type 0 capacity 100 cost 100 items 383 480 load 100
bin 131 type 1 capacity 120 cost 120 items 907 282 load 107
bin 132 type 1 capacity 120 cost 120 items 154 444 load 112
bin 133 type 1 capacity 120 cost 120 items 339 501 load 120
bin 134 type 2 capacity 150 cost 150 items 349 737 655 load 150
bin 135 type 1 capacity 120 cost 120 items 117 559 load 118
bin 136 type 1 capacity 120 cost 120 items 145 330 load 119
bin 137 type 2 capacity 150 cost 150 items 181 240 187 load 145
bin 138 type 1 capacity 120 cost 120 items 460 313 load 120
bin 139 type 0 capacity 100 cost 100 items 669 693 load 100
bin 140 type 1 capacity 120 cost 120 items 725 206 load 104
bin 141 type 1 capacity 120 cost 120 items 829 873 load 119
bin 142 type 1 capacity 120 cost 120 items 496 684 load 120
bin 143 type 1 capacity 120 cost 120 items 982 246 load 120
bin 144 type 1 capacity 120 cost 120 items 27 16 load 120
bin 145 type 1 capacity 120 cost 120 items 202 451 load 120
bin 146 type 0 capacity 100 cost 100 items 328 675 load 99
bin 147 type 0 capacity 100 cost 100 items 610 185 load 99
bin 148 type 2 capacity 150 cost 150 items 823 128 298 load 144
bin 149 type 1 capacity 120 cost 120 items 656 698 load 118
bin 150 type 0 capacity 100 cost 100 items 878 993 load 95
bin 151 type 1 capacity 120 cost 120 items 69 539 load 117
bin 152 type 1 capacity 120 cost 120 items 253 591 load 120
bin 153 type 0 capacity 100 cost 100 items 309 413 load 98
bin 154 type 1 capacity 120 cost 120 items 522 110 load 119
bin 155 type 1 capacity 120 cost 120 items 508 957 load 116
