instance_file ../instances/set_1/N_1000/Correia_Random_4_2_9_4.txt
config set1_3types_linear
mode vanilla
run 7
seed 48
start_time 2026-04-29 06:01:50
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 19.907849
objective 61670.000000
total_bin_cost 61670
total_excess 0
total_conflicts 0

solution
bin 0 type 0 capacity 100 cost 100 items 57 load 100
bin 1 type 0 capacity 100 cost 100 items 699 load 100
bin 2 type 0 capacity 100 cost 100 items 37 load 99
bin 3 type 2 capacity 150 cost 150 items 104 719 331 load 148
bin 4 type 0 capacity 100 cost 100 items 651 load 99
bin 5 type 2 capacity 150 cost 150 items 336 598 load 150
bin 6 type 0 capacity 100 cost 100 items 339 load 98
bin 7 type 1 capacity 120 cost 120 items 997 683 load 118
bin 8 type 2 capacity 150 cost 150 items 726 143 load 144
bin 9 type 1 capacity 120 cost 120 items 53 550 load 120
bin 10 type 1 capacity 120 cost 120 items 682 947 load 120
bin 11 type 1 capacity 120 cost 120 items 144 343 load 120
bin 12 type 1 capacity 120 cost 120 items 179 28 load 120
bin 13 type 2 capacity 150 cost 150 items 476 562 311 load 150
bin 14 type 1 capacity 120 cost 120 items 119 313 load 120
bin 15 type 1 capacity 120 cost 120 items 849 369 load 120
bin 16 type 1 capacity 120 cost 120 items 923 117 load 120
bin 17 type 2 capacity 150 cost 150 items 182 945 load 143
bin 18 type 1 capacity 120 cost 120 items 224 891 load 120
bin 19 type 1 capacity 120 cost 120 items 381 316 load 117
bin 20 type 1 capacity 120 cost 120 items 486 908 load 120
bin 21 type 1 capacity 120 cost 120 items 152 735 load 120
bin 22 type 1 capacity 120 cost 120 items 508 804 load 120
bin 23 type 1 capacity 120 cost 120 items 946 400 load 111
bin 24 type 1 capacity 120 cost 120 items 27 417 load 120
bin 25 type 1 capacity 120 cost 120 items 261 661 load 119
bin 26 type 2 capacity 150 cost 150 items 374 943 load 150
bin 27 type 1 capacity 120 cost 120 items 556 995 load 120
bin 28 type 0 capacity 100 cost 100 items 103 671 load 83
bin 29 type 1 capacity 120 cost 120 items 639 967 load 119
bin 30 type 1 capacity 120 cost 120 items 126 297 load 120
bin 31 type 2 capacity 150 cost 150 items 442 346 load 146
bin 32 type 2 capacity 150 cost 150 items 252 599 load 150
bin 33 type 1 capacity 120 cost 120 items 725 615 load 114
bin 34 type 2 capacity 150 cost 150 items 996 498 load 149
bin 35 type 1 capacity 120 cost 120 items 58 781 load 120
bin 36 type 2 capacity 150 cost 150 items 93 521 load 150
bin 37 type 1 capacity 120 cost 120 items 232 116 load 120
bin 38 type 2 capacity 150 cost 150 items 322 597 load 147
bin 39 type 2 capacity 150 cost 150 items 468 85 load 150
bin 40 type 2 capacity 150 cost 150 items 481 567 load 150
bin 41 type 2 capacity 150 cost 150 items 495 226 load 149
bin 42 type 2 capacity 150 cost 150 items 675 473 341 load 150
bin 43 type 2 capacity 150 cost 150 items 684 540 load 150
bin 44 type 2 capacity 150 cost 150 items 392 456 757 load 146
bin 45 type 2 capacity 150 cost 150 items 905 107 load 150
bin 46 type 1 capacity 120 cost 120 items 193 658 load 120
bin 47 type 2 capacity 150 cost 150 items 302 770 load 150
bin 48 type 1 capacity 120 cost 120 items 863 215 load 120
bin 49 type 2 capacity 150 cost 150 items 43 190 load 150
bin 50 type 1 capacity 120 cost 120 items 192 377 load 117
bin 51 type 2 capacity 150 cost 150 items 245 334 load 150
bin 52 type 2 capacity 150 cost 150 items 254 108 load 148
bin 53 type 2 capacity 150 cost 150 items 426 372 load 150
bin 54 type 2 capacity 150 cost 150 items 470 100 load 149
bin 55 type 2 capacity 150 cost 150 items 527 835 load 149
bin 56 type 2 capacity 150 cost 150 items 572 323 load 150
bin 57 type 2 capacity 150 cost 150 items 624 497 load 147
bin 58 type 2 capacity 150 cost 150 items 715 549 load 150
bin 59 type 1 capacity 120 cost 120 items 300 705 load 120
bin 60 type 1 capacity 120 cost 120 items 329 907 load 120
bin 61 type 1 capacity 120 cost 120 items 453 16 load 120
bin 62 type 1 capacity 120 cost 120 items 478 676 load 120
bin 63 type 1 capacity 120 cost 120 items 555 507 load 120
bin 64 type 1 capacity 120 cost 120 items 749 975 load 119
bin 65 type 1 capacity 120 cost 120 items 862 477 load 115
bin 66 type 1 capacity 120 cost 120 items 24 875 load 119
bin 67 type 1 capacity 120 cost 120 items 172 146 load 120
bin 68 type 1 capacity 120 cost 120 items 371 517 load 120
bin 69 type 2 capacity 150 cost 150 items 884 151 load 150
bin 70 type 1 capacity 120 cost 120 items 938 829 load 117
bin 71 type 1 capacity 120 cost 120 items 33 148 load 120
bin 72 type 2 capacity 150 cost 150 items 112 848 load 150
bin 73 type 1 capacity 120 cost 120 items 380 345 load 120
bin 74 type 0 capacity 100 cost 100 items 72 763 load 100
bin 75 type 1 capacity 120 cost 120 items 751 267 load 120
bin 76 type 1 capacity 120 cost 120 items 965 181 load 120
bin 77 type 1 capacity 120 cost 120 items 90 611 load 119
bin 78 type 1 capacity 120 cost 120 items 320 141 load 120
bin 79 type 1 capacity 120 cost 120 items 514 416 load 120
bin 80 type 2 capacity 150 cost 150 items 674 262 480 load 149
bin 81 type 1 capacity 120 cost 120 items 553 213 load 115
bin 82 type 2 capacity 150 cost 150 items 577 81 load 149
bin 83 type 1 capacity 120 cost 120 items 771 970 load 120
bin 84 type 1 capacity 120 cost 120 items 0 130 load 120
bin 85 type 0 capacity 100 cost 100 items 969 282 load 100
bin 86 type 0 capacity 100 cost 100 items 902 993 load 99
bin 87 type 1 capacity 120 cost 120 items 601 697 load 120
bin 88 type 1 capacity 120 cost 120 items 976 794 load 119
bin 89 type 1 capacity 120 cost 120 items 194 870 load 120
bin 90 type 2 capacity 150 cost 150 items 878 30 752 load 150
bin 91 type 1 capacity 120 cost 120 items 406 824 load 120
bin 92 type 1 capacity 120 cost 120 items 422 694 load 120
bin 93 type 1 capacity 120 cost 120 items 530 492 load 120
bin 94 type 1 capacity 120 cost 120 items 573 627 load 119
bin 95 type 1 capacity 120 cost 120 items 588 708 load 120
bin 96 type 1 capacity 120 cost 120 items 115 744 load 118
bin 97 type 1 capacity 120 cost 120 items 927 934 125 load 120
bin 98 type 2 capacity 150 cost 150 items 625 137 load 150
bin 99 type 1 capacity 120 cost 120 items 730 154 load 120
bin 100 type 1 capacity 120 cost 120 items 856 359 load 120
bin 101 type 0 capacity 100 cost 100 items 18 71 load 100
bin 102 type 1 capacity 120 cost 120 items 2 610 load 110
bin 103 type 0 capacity 100 cost 100 items 444 762 load 100
bin 104 type 1 capacity 120 cost 120 items 61 780 load 113
bin 105 type 1 capacity 120 cost 120 items 753 260 load 120
bin 106 type 2 capacity 150 cost 150 items 327 816 load 146
bin 107 type 1 capacity 120 cost 120 items 877 777 load 120
bin 108 type 1 capacity 120 cost 120 items 191 70 load 120
bin 109 type 1 capacity 120 cost 120 items 249 407 load 117
bin 110 type 0 capacity 100 cost 100 items 296 26 load 100
bin 111 type 1 capacity 120 cost 120 items 810 709 load 117
bin 112 type 1 capacity 120 cost 120 items 424 966 load 120
bin 113 type 1 capacity 120 cost 120 items 696 667 load 120
bin 114 type 1 capacity 120 cost 120 items 963 32 load 120
bin 115 type 1 capacity 120 cost 120 items 545 50 load 120
bin 116 type 0 capacity 100 cost 100 items 710 428 load 100
bin 117 type 1 capacity 120 cost 120 items 776 584 load 120
bin 118 type 0 capacity 100 cost 100 items 992 338 load 100
bin 119 type 1 capacity 120 cost 120 items 668 652 load 120
bin 120 type 1 capacity 120 cost 120 items 953 825 load 120
bin 121 type 1 capacity 120 cost 120 items 99 396 load 119
bin 122 type 2 capacity 150 cost 150 items 223 645 713 load 150
bin 123 type 1 capacity 120 cost 120 items 233 721 load 119
bin 124 type 1 capacity 120 cost 120 items 378 984 load 118
bin 125 type 1 capacity 120 cost 120 items 612 202 load 120
bin 126 type 1 capacity 120 cost 120 items 740 169 load 120
bin 127 type 1 capacity 120 cost 120 items 36 546 load 120
bin 128 type 1 capacity 120 cost 120 items 698 594 load 120
bin 129 type 1 capacity 120 cost 120 items 120 185 load 120
bin 130 type 1 capacity 120 cost 120 items 124 317 load 120
bin 131 type 1 capacity 120 cost 120 items 386 366 load 120
bin 132 type 1 capacity 120 cost 120 items 640 187 load 120
bin 133 type 1 capacity 120 cost 120 items 759 756 load 118
bin 134 type 1 capacity 120 cost 120 items 775 731 load 119
bin 135 type 1 capacity 120 cost 120 items 251 512 load 120
bin 136 type 1 capacity 120 cost 120 items 344 73 load 120
bin 137 type 1 capacity 120 cost 120 items 494 434 load 120
