instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_3.txt
config set1_5types_linear
mode vanilla
run 2
seed 43
start_time 2026-04-29 19:10:10
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 15.971721
objective 75310.000000
total_bin_cost 75310
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 100 cost 100 items 70 load 100
bin 1 type 2 capacity 100 cost 100 items 249 load 100
bin 2 type 4 capacity 150 cost 150 items 288 431 load 150
bin 3 type 4 capacity 150 cost 150 items 125 381 load 150
bin 4 type 4 capacity 150 cost 150 items 570 642 load 149
bin 5 type 4 capacity 150 cost 150 items 754 379 load 150
bin 6 type 4 capacity 150 cost 150 items 959 706 load 150
bin 7 type 4 capacity 150 cost 150 items 367 908 load 148
bin 8 type 4 capacity 150 cost 150 items 863 905 load 150
bin 9 type 4 capacity 150 cost 150 items 223 613 load 150
bin 10 type 3 capacity 120 cost 120 items 721 340 load 119
bin 11 type 4 capacity 150 cost 150 items 356 666 load 149
bin 12 type 4 capacity 150 cost 150 items 213 440 load 150
bin 13 type 4 capacity 150 cost 150 items 438 34 load 150
bin 14 type 4 capacity 150 cost 150 items 471 208 load 150
bin 15 type 4 capacity 150 cost 150 items 635 395 load 150
bin 16 type 4 capacity 150 cost 150 items 647 424 load 150
bin 17 type 4 capacity 150 cost 150 items 842 964 load 150
bin 18 type 4 capacity 150 cost 150 items 870 978 load 150
bin 19 type 4 capacity 150 cost 150 items 776 827 load 150
bin 20 type 4 capacity 150 cost 150 items 44 509 load 150
bin 21 type 4 capacity 150 cost 150 items 939 508 load 150
bin 22 type 4 capacity 150 cost 150 items 963 200 load 150
bin 23 type 3 capacity 120 cost 120 items 576 32 load 119
bin 24 type 4 capacity 150 cost 150 items 303 264 load 146
bin 25 type 4 capacity 150 cost 150 items 24 961 load 149
bin 26 type 4 capacity 150 cost 150 items 830 347 load 150
bin 27 type 4 capacity 150 cost 150 items 415 982 load 150
bin 28 type 4 capacity 150 cost 150 items 385 723 load 150
bin 29 type 4 capacity 150 cost 150 items 929 495 load 150
bin 30 type 4 capacity 150 cost 150 items 983 403 load 149
bin 31 type 4 capacity 150 cost 150 items 225 283 load 148
bin 32 type 4 capacity 150 cost 150 items 652 488 load 150
bin 33 type 3 capacity 120 cost 120 items 361 240 load 120
bin 34 type 4 capacity 150 cost 150 items 335 139 load 149
bin 35 type 4 capacity 150 cost 150 items 473 51 load 150
bin 36 type 4 capacity 150 cost 150 items 586 547 load 150
bin 37 type 4 capacity 150 cost 150 items 765 945 load 150
bin 38 type 4 capacity 150 cost 150 items 653 275 load 150
bin 39 type 4 capacity 150 cost 150 items 668 643 load 150
bin 40 type 4 capacity 150 cost 150 items 121 255 load 150
bin 41 type 4 capacity 150 cost 150 items 265 114 load 150
bin 42 type 4 capacity 150 cost 150 items 692 455 load 150
bin 43 type 4 capacity 150 cost 150 items 183 788 load 150
bin 44 type 4 capacity 150 cost 150 items 593 366 load 150
bin 45 type 4 capacity 150 cost 150 items 469 33 load 150
bin 46 type 4 capacity 150 cost 150 items 991 615 load 150
bin 47 type 4 capacity 150 cost 150 items 113 846 load 149
bin 48 type 4 capacity 150 cost 150 items 243 985 load 148
bin 49 type 4 capacity 150 cost 150 items 178 742 load 150
bin 50 type 4 capacity 150 cost 150 items 246 583 load 150
bin 51 type 4 capacity 150 cost 150 items 704 545 load 150
bin 52 type 4 capacity 150 cost 150 items 88 179 load 150
bin 53 type 4 capacity 150 cost 150 items 542 711 load 150
bin 54 type 4 capacity 150 cost 150 items 232 999 load 149
bin 55 type 4 capacity 150 cost 150 items 363 394 load 150
bin 56 type 4 capacity 150 cost 150 items 751 167 load 150
bin 57 type 4 capacity 150 cost 150 items 815 734 load 149
bin 58 type 4 capacity 150 cost 150 items 654 100 load 150
bin 59 type 4 capacity 150 cost 150 items 901 263 load 147
bin 60 type 2 capacity 100 cost 100 items 386 load 95
bin 61 type 4 capacity 150 cost 150 items 555 376 load 150
bin 62 type 4 capacity 150 cost 150 items 50 468 load 150
bin 63 type 4 capacity 150 cost 150 items 973 857 load 149
bin 64 type 4 capacity 150 cost 150 items 328 519 load 150
bin 65 type 4 capacity 150 cost 150 items 812 714 load 149
bin 66 type 4 capacity 150 cost 150 items 984 594 load 150
bin 67 type 4 capacity 150 cost 150 items 631 427 load 150
bin 68 type 4 capacity 150 cost 150 items 730 825 load 145
bin 69 type 2 capacity 100 cost 100 items 294 43 load 100
bin 70 type 2 capacity 100 cost 100 items 55 load 100
bin 71 type 2 capacity 100 cost 100 items 587 load 100
bin 72 type 2 capacity 100 cost 100 items 813 load 100
bin 73 type 4 capacity 150 cost 150 items 817 853 load 150
bin 74 type 4 capacity 150 cost 150 items 860 410 load 150
bin 75 type 4 capacity 150 cost 150 items 925 478 load 150
bin 76 type 4 capacity 150 cost 150 items 954 171 load 150
bin 77 type 4 capacity 150 cost 150 items 118 9 load 150
bin 78 type 4 capacity 150 cost 150 items 843 486 load 150
bin 79 type 4 capacity 150 cost 150 items 544 306 load 150
bin 80 type 4 capacity 150 cost 150 items 757 382 load 150
bin 81 type 4 capacity 150 cost 150 items 490 355 load 149
bin 82 type 2 capacity 100 cost 100 items 58 load 96
bin 83 type 4 capacity 150 cost 150 items 580 808 load 148
bin 84 type 4 capacity 150 cost 150 items 633 741 load 150
bin 85 type 4 capacity 150 cost 150 items 470 772 load 150
bin 86 type 4 capacity 150 cost 150 items 980 408 load 150
bin 87 type 4 capacity 150 cost 150 items 790 383 load 150
bin 88 type 4 capacity 150 cost 150 items 769 216 load 141
bin 89 type 4 capacity 150 cost 150 items 574 568 load 150
bin 90 type 4 capacity 150 cost 150 items 67 209 load 150
bin 91 type 4 capacity 150 cost 150 items 464 709 load 150
bin 92 type 4 capacity 150 cost 150 items 828 205 load 149
bin 93 type 4 capacity 150 cost 150 items 46 261 load 148
bin 94 type 4 capacity 150 cost 150 items 797 210 load 143
bin 95 type 4 capacity 150 cost 150 items 368 321 load 150
bin 96 type 4 capacity 150 cost 150 items 879 614 load 150
bin 97 type 4 capacity 150 cost 150 items 119 900 load 150
bin 98 type 4 capacity 150 cost 150 items 145 551 load 150
bin 99 type 4 capacity 150 cost 150 items 948 918 load 150
bin 100 type 4 capacity 150 cost 150 items 851 140 load 150
bin 101 type 4 capacity 150 cost 150 items 449 106 load 150
bin 102 type 4 capacity 150 cost 150 items 7 338 load 150
bin 103 type 4 capacity 150 cost 150 items 940 933 load 150
bin 104 type 4 capacity 150 cost 150 items 398 737 load 145
bin 105 type 4 capacity 150 cost 150 items 248 976 load 148
bin 106 type 4 capacity 150 cost 150 items 507 524 load 150
bin 107 type 1 capacity 80 cost 80 items 132 load 75
bin 108 type 3 capacity 120 cost 120 items 942 781 load 120
bin 109 type 3 capacity 120 cost 120 items 997 392 load 120
bin 110 type 4 capacity 150 cost 150 items 0 662 load 145
bin 111 type 4 capacity 150 cost 150 items 66 847 load 150
bin 112 type 4 capacity 150 cost 150 items 875 548 load 150
bin 113 type 2 capacity 100 cost 100 items 498 load 100
bin 114 type 2 capacity 100 cost 100 items 829 load 100
bin 115 type 4 capacity 150 cost 150 items 207 169 load 150
bin 116 type 4 capacity 150 cost 150 items 419 194 load 150
bin 117 type 4 capacity 150 cost 150 items 562 91 load 150
bin 118 type 4 capacity 150 cost 150 items 95 337 load 150
bin 119 type 2 capacity 100 cost 100 items 97 load 98
bin 120 type 4 capacity 150 cost 150 items 747 553 load 150
bin 121 type 4 capacity 150 cost 150 items 831 946 load 150
bin 122 type 4 capacity 150 cost 150 items 242 856 load 150
bin 123 type 4 capacity 150 cost 150 items 371 906 load 150
bin 124 type 4 capacity 150 cost 150 items 778 186 load 150
bin 125 type 2 capacity 100 cost 100 items 285 load 96
bin 126 type 2 capacity 100 cost 100 items 341 load 96
bin 127 type 4 capacity 150 cost 150 items 552 809 load 150
bin 128 type 4 capacity 150 cost 150 items 898 235 load 150
bin 129 type 4 capacity 150 cost 150 items 932 691 load 149
bin 130 type 4 capacity 150 cost 150 items 84 234 load 150
bin 131 type 4 capacity 150 cost 150 items 364 346 load 150
bin 132 type 2 capacity 100 cost 100 items 912 load 94
bin 133 type 4 capacity 150 cost 150 items 90 910 load 150
bin 134 type 4 capacity 150 cost 150 items 513 998 load 149
bin 135 type 4 capacity 150 cost 150 items 818 229 load 149
bin 136 type 3 capacity 120 cost 120 items 921 974 load 120
bin 137 type 4 capacity 150 cost 150 items 172 802 load 150
bin 138 type 4 capacity 150 cost 150 items 826 445 load 150
bin 139 type 4 capacity 150 cost 150 items 605 93 load 150
bin 140 type 4 capacity 150 cost 150 items 799 968 load 150
bin 141 type 2 capacity 100 cost 100 items 679 load 100
bin 142 type 4 capacity 150 cost 150 items 612 16 load 150
bin 143 type 4 capacity 150 cost 150 items 887 373 load 149
bin 144 type 4 capacity 150 cost 150 items 947 291 load 150
bin 145 type 4 capacity 150 cost 150 items 324 803 load 150
bin 146 type 4 capacity 150 cost 150 items 435 217 load 150
bin 147 type 4 capacity 150 cost 150 items 693 779 load 150
bin 148 type 4 capacity 150 cost 150 items 839 795 load 149
bin 149 type 4 capacity 150 cost 150 items 164 935 load 149
bin 150 type 4 capacity 150 cost 150 items 538 877 load 149
bin 151 type 4 capacity 150 cost 150 items 602 861 load 150
bin 152 type 4 capacity 150 cost 150 items 996 639 load 150
bin 153 type 4 capacity 150 cost 150 items 28 343 load 150
bin 154 type 4 capacity 150 cost 150 items 476 109 load 150
bin 155 type 4 capacity 150 cost 150 items 745 926 load 150
bin 156 type 4 capacity 150 cost 150 items 211 971 load 148
bin 157 type 4 capacity 150 cost 150 items 388 472 load 150
bin 158 type 4 capacity 150 cost 150 items 707 589 load 150
bin 159 type 4 capacity 150 cost 150 items 45 201 load 149
bin 160 type 4 capacity 150 cost 150 items 128 656 load 150
bin 161 type 4 capacity 150 cost 150 items 563 391 load 150
bin 162 type 4 capacity 150 cost 150 items 672 257 load 150
bin 163 type 4 capacity 150 cost 150 items 748 661 load 150
bin 164 type 4 capacity 150 cost 150 items 917 862 load 150
bin 165 type 4 capacity 150 cost 150 items 400 792 load 150
bin 166 type 4 capacity 150 cost 150 items 372 530 load 150
bin 167 type 4 capacity 150 cost 150 items 658 309 load 150
bin 168 type 4 capacity 150 cost 150 items 886 226 load 150
bin 169 type 4 capacity 150 cost 150 items 370 152 load 149
bin 170 type 2 capacity 100 cost 100 items 673 load 100
bin 171 type 4 capacity 150 cost 150 items 718 456 load 150
bin 172 type 4 capacity 150 cost 150 items 601 22 load 148
bin 173 type 4 capacity 150 cost 150 items 160 646 load 150
bin 174 type 2 capacity 100 cost 100 items 173 load 99
bin 175 type 4 capacity 150 cost 150 items 442 295 load 150
bin 176 type 4 capacity 150 cost 150 items 454 636 load 150
bin 177 type 4 capacity 150 cost 150 items 717 390 load 148
bin 178 type 4 capacity 150 cost 150 items 744 387 load 150
bin 179 type 4 capacity 150 cost 150 items 864 430 load 150
bin 180 type 4 capacity 150 cost 150 items 941 296 load 146
bin 181 type 4 capacity 150 cost 150 items 497 151 load 150
bin 182 type 4 capacity 150 cost 150 items 866 505 load 149
bin 183 type 4 capacity 150 cost 150 items 111 197 load 150
bin 184 type 4 capacity 150 cost 150 items 722 423 load 150
bin 185 type 4 capacity 150 cost 150 items 800 752 load 150
bin 186 type 4 capacity 150 cost 150 items 62 176 load 150
bin 187 type 4 capacity 150 cost 150 items 122 315 load 150
bin 188 type 4 capacity 150 cost 150 items 158 460 load 150
bin 189 type 3 capacity 120 cost 120 items 277 199 load 120
bin 190 type 4 capacity 150 cost 150 items 675 760 load 148
bin 191 type 4 capacity 150 cost 150 items 891 30 load 150
bin 192 type 4 capacity 150 cost 150 items 920 773 load 148
bin 193 type 4 capacity 150 cost 150 items 972 865 load 150
bin 194 type 4 capacity 150 cost 150 items 904 977 load 150
bin 195 type 4 capacity 150 cost 150 items 27 147 load 150
bin 196 type 4 capacity 150 cost 150 items 834 627 load 147
bin 197 type 4 capacity 150 cost 150 items 443 299 load 148
bin 198 type 4 capacity 150 cost 150 items 135 956 load 150
bin 199 type 4 capacity 150 cost 150 items 967 607 load 150
bin 200 type 4 capacity 150 cost 150 items 608 85 load 143
bin 201 type 4 capacity 150 cost 150 items 489 150 load 150
bin 202 type 4 capacity 150 cost 150 items 907 177 load 149
bin 203 type 3 capacity 120 cost 120 items 432 351 load 118
bin 204 type 4 capacity 150 cost 150 items 156 493 load 150
bin 205 type 4 capacity 150 cost 150 items 590 780 load 150
bin 206 type 4 capacity 150 cost 150 items 302 944 load 149
bin 207 type 4 capacity 150 cost 150 items 585 54 load 150
bin 208 type 4 capacity 150 cost 150 items 523 686 load 140
bin 209 type 4 capacity 150 cost 150 items 8 353 load 148
bin 210 type 4 capacity 150 cost 150 items 165 87 load 150
bin 211 type 4 capacity 150 cost 150 items 584 444 load 144
bin 212 type 4 capacity 150 cost 150 items 936 271 load 150
bin 213 type 4 capacity 150 cost 150 items 130 375 load 150
bin 214 type 4 capacity 150 cost 150 items 287 181 load 150
bin 215 type 4 capacity 150 cost 150 items 170 581 load 150
bin 216 type 4 capacity 150 cost 150 items 245 73 load 150
bin 217 type 4 capacity 150 cost 150 items 626 59 load 145
bin 218 type 4 capacity 150 cost 150 items 712 448 load 150
bin 219 type 4 capacity 150 cost 150 items 720 3 load 149
bin 220 type 3 capacity 120 cost 120 items 131 988 load 120
bin 221 type 4 capacity 150 cost 150 items 274 869 load 149
bin 222 type 4 capacity 150 cost 150 items 348 155 load 150
bin 223 type 4 capacity 150 cost 150 items 975 312 load 148
bin 224 type 4 capacity 150 cost 150 items 284 161 load 148
bin 225 type 4 capacity 150 cost 150 items 885 588 load 150
bin 226 type 4 capacity 150 cost 150 items 187 404 load 146
bin 227 type 4 capacity 150 cost 150 items 215 29 load 150
bin 228 type 4 capacity 150 cost 150 items 384 557 load 150
bin 229 type 4 capacity 150 cost 150 items 543 762 load 150
bin 230 type 4 capacity 150 cost 150 items 329 72 load 150
bin 231 type 4 capacity 150 cost 150 items 539 417 load 150
bin 232 type 4 capacity 150 cost 150 items 640 915 load 150
bin 233 type 4 capacity 150 cost 150 items 695 559 load 149
bin 234 type 3 capacity 120 cost 120 items 437 189 load 120
bin 235 type 4 capacity 150 cost 150 items 715 536 load 150
bin 236 type 4 capacity 150 cost 150 items 107 849 load 149
bin 237 type 4 capacity 150 cost 150 items 766 993 load 149
bin 238 type 4 capacity 150 cost 150 items 102 80 load 148
bin 239 type 2 capacity 100 cost 100 items 787 load 93
