instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_3.txt
config set1_5types_linear
mode vanilla
run 7
seed 48
start_time 2026-04-29 19:11:19
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 13.976928
objective 75290.000000
total_bin_cost 75290
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 100 cost 100 items 70 load 100
bin 1 type 2 capacity 100 cost 100 items 249 load 100
bin 2 type 2 capacity 100 cost 100 items 498 load 100
bin 3 type 4 capacity 150 cost 150 items 532 871 load 150
bin 4 type 2 capacity 100 cost 100 items 813 load 100
bin 5 type 4 capacity 150 cost 150 items 879 614 load 150
bin 6 type 4 capacity 150 cost 150 items 119 900 load 150
bin 7 type 4 capacity 150 cost 150 items 542 711 load 150
bin 8 type 4 capacity 150 cost 150 items 207 169 load 150
bin 9 type 4 capacity 150 cost 150 items 570 642 load 149
bin 10 type 4 capacity 150 cost 150 items 407 649 load 149
bin 11 type 4 capacity 150 cost 150 items 758 923 load 150
bin 12 type 4 capacity 150 cost 150 items 947 291 load 150
bin 13 type 4 capacity 150 cost 150 items 365 721 load 147
bin 14 type 4 capacity 150 cost 150 items 412 531 load 150
bin 15 type 4 capacity 150 cost 150 items 435 217 load 150
bin 16 type 4 capacity 150 cost 150 items 76 78 load 150
bin 17 type 4 capacity 150 cost 150 items 214 522 load 149
bin 18 type 4 capacity 150 cost 150 items 323 638 load 150
bin 19 type 4 capacity 150 cost 150 items 512 680 load 149
bin 20 type 4 capacity 150 cost 150 items 623 123 load 150
bin 21 type 4 capacity 150 cost 150 items 58 151 load 150
bin 22 type 4 capacity 150 cost 150 items 940 933 load 150
bin 23 type 4 capacity 150 cost 150 items 213 440 load 150
bin 24 type 4 capacity 150 cost 150 items 258 728 load 150
bin 25 type 4 capacity 150 cost 150 items 438 34 load 150
bin 26 type 2 capacity 100 cost 100 items 446 load 95
bin 27 type 4 capacity 150 cost 150 items 539 417 load 150
