instance_file ../instances/set_1/N_1000/Correia_Random_4_3_9_8.txt
config set1_5types_linear
mode vanilla
run 1
seed 42
start_time 2026-04-29 19:27:59
iteration_limit 200
destroy_percent 20
status FEASIBLE
runtime 13.893675
objective 76060.000000
total_bin_cost 76060
total_excess 0
total_conflicts 0

solution
bin 0 type 2 capacity 100 cost 100 items 65 load 100
bin 1 type 4 capacity 150 cost 150 items 77 553 load 150
bin 2 type 4 capacity 150 cost 150 items 379 260 load 150
bin 3 type 2 capacity 100 cost 100 items 643 load 100
bin 4 type 4 capacity 150 cost 150 items 680 234 load 150
bin 5 type 4 capacity 150 cost 150 items 772 197 load 150
bin 6 type 1 capacity 80 cost 80 items 824 load 80
bin 7 type 4 capacity 150 cost 150 items 253 242 load 150
bin 8 type 3 capacity 120 cost 120 items 204 180 load 120
bin 9 type 4 capacity 150 cost 150 items 391 480 load 150
bin 10 type 4 capacity 150 cost 150 items 68 324 load 150
bin 11 type 4 capacity 150 cost 150 items 146 96 load 150
bin 12 type 4 capacity 150 cost 150 items 238 877 load 150
bin 13 type 4 capacity 150 cost 150 items 458 139 load 150
bin 14 type 3 capacity 120 cost 120 items 22 25 load 120
bin 15 type 4 capacity 150 cost 150 items 662 971 load 150
bin 16 type 4 capacity 150 cost 150 items 667 937 load 150
bin 17 type 4 capacity 150 cost 150 items 878 471 load 150
bin 18 type 3 capacity 120 cost 120 items 638 408 load 120
bin 19 type 4 capacity 150 cost 150 items 203 486 load 150
bin 20 type 4 capacity 150 cost 150 items 277 767 load 150
bin 21 type 4 capacity 150 cost 150 items 434 155 load 150
bin 22 type 4 capacity 150 cost 150 items 529 32 load 148
bin 23 type 2 capacity 100 cost 100 items 622 load 98
bin 24 type 4 capacity 150 cost 150 items 684 289 load 149
bin 25 type 4 capacity 150 cost 150 items 6 590 load 148
bin 26 type 4 capacity 150 cost 150 items 35 402 load 150
bin 27 type 4 capacity 150 cost 150 items 319 451 load 150
bin 28 type 4 capacity 150 cost 150 items 498 719 load 147
bin 29 type 4 capacity 150 cost 150 items 552 85 load 150
bin 30 type 4 capacity 150 cost 150 items 580 918 load 147
bin 31 type 4 capacity 150 cost 150 items 749 315 load 149
bin 32 type 4 capacity 150 cost 150 items 834 507 load 147
bin 33 type 4 capacity 150 cost 150 items 892 406 load 150
