set,config,method,avg_objective,best_objective,avg_runtime,runs
set1,set1_3types_linear,sfc,76829.26666666666,75170.0,9.20919464,300
set1,set1_3types_linear,vanilla,76791.2,75140.0,6.23932296,300
set1,set1_5types_linear,sfc,76427.6,75040.0,10.60024722,300
set1,set1_5types_linear,vanilla,76427.8,75050.0,11.175568109999999,300
set2,set2_7types_concave,sfc,84337.88,79583.0,9.448777100000001,300
set2,set2_7types_concave,vanilla,83895.65,79236.0,9.918456800000001,300
set2,set2_7types_convex,sfc,179944.01666666666,175165.0,17.219918003333333,300
set2,set2_7types_convex,vanilla,179877.49666666667,175146.0,16.843354996666665,300
set2,set2_7types_linear,sfc,128303.86666666667,123730.0,10.673044673333333,300
set2,set2_7types_linear,vanilla,128217.13333333333,123580.0,12.029426816666668,300
