file,method,instance_file,config,mode,run,seed,start_time,iteration_limit,destroy_percent,status,runtime,objective,total_bin_cost,total_excess,total_conflicts,instance_name,set,x,y,z,t
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run1.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,1,42,2026-04-29 18:59:23,200,20,FEASIBLE,5.847623,75190.0,75190.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run2.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,2,43,2026-04-29 18:59:28,200,20,FEASIBLE,5.929706,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run3.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,3,44,2026-04-29 18:59:34,200,20,FEASIBLE,5.873011,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run4.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,4,45,2026-04-29 18:59:40,200,20,FEASIBLE,5.66688,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run5.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,5,46,2026-04-29 18:59:46,200,20,FEASIBLE,6.142574,75150.0,75150.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run6.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,6,47,2026-04-29 18:59:52,200,20,FEASIBLE,5.72141,75180.0,75180.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run7.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,7,48,2026-04-29 18:59:58,200,20,FEASIBLE,4.907522,75190.0,75190.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run8.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,8,49,2026-04-29 19:00:03,200,20,FEASIBLE,5.577008,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run9.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,9,50,2026-04-29 19:00:08,200,20,FEASIBLE,5.96341,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_3types_linear_run10.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_3types_linear,vanilla,10,51,2026-04-29 19:00:14,200,20,FEASIBLE,5.35683,75170.0,75170.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run1.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,1,42,2026-04-29 19:00:20,200,20,FEASIBLE,16.418944,75090.0,75090.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run2.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,2,43,2026-04-29 19:00:36,200,20,FEASIBLE,16.735907,75050.0,75050.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run3.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,3,44,2026-04-29 19:00:53,200,20,FEASIBLE,15.142325,75100.0,75100.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run4.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,4,45,2026-04-29 19:01:08,200,20,FEASIBLE,15.938733,75100.0,75100.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run5.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,5,46,2026-04-29 19:01:24,200,20,FEASIBLE,16.419176,75070.0,75070.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run6.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,6,47,2026-04-29 19:01:40,200,20,FEASIBLE,15.645689,75070.0,75070.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run7.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,7,48,2026-04-29 19:01:56,200,20,FEASIBLE,15.12045,75050.0,75050.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
/home/pc-515/Documents/Graduate/Mestrado/Disciplinas/Período 2026-1/Métodos Híbridos em Otimização Combinatória/Programs/cos841_VSBPPC/lnsa_solutions/vanilla_subset/sol_Correia_Random_4_3_9_1_set1_5types_linear_run8.txt,vanilla,../instances/set_1/N_1000/Correia_Random_4_3_9_1.txt,set1_5types_linear,vanilla,8,49,2026-04-29 19:02:11,200,20,FEASIBLE,16.232218,75070.0,75070.0,0.0,0.0,Correia_Random_4_3_9_1,set1,4,3,9,1.0
