method,instance_name,config,avg_gap
AILS,Correia_Random_4_3_10_1,set1_3types_linear,-0.21448431086985303
AILS,Correia_Random_4_3_10_1,set1_5types_linear,-0.19493435883835036
AILS,Correia_Random_4_3_10_10,set1_3types_linear,-0.18100734522560336
AILS,Correia_Random_4_3_10_10,set1_5types_linear,-0.11550072187951174
AILS,Correia_Random_4_3_10_2,set1_3types_linear,-0.24861878453038674
AILS,Correia_Random_4_3_10_2,set1_5types_linear,-0.2474335351408265
AILS,Correia_Random_4_3_10_3,set1_3types_linear,-0.2340341134470448
AILS,Correia_Random_4_3_10_3,set1_5types_linear,-0.23015873015873015
AILS,Correia_Random_4_3_10_4,set1_3types_linear,-0.1912676427911885
AILS,Correia_Random_4_3_10_4,set1_5types_linear,-0.10034327964087668
AILS,Correia_Random_4_3_10_5,set1_3types_linear,-0.041813667842676074
AILS,Correia_Random_4_3_10_5,set1_5types_linear,-0.04315417810906237
AILS,Correia_Random_4_3_10_6,set1_3types_linear,-0.32525678166973926
AILS,Correia_Random_4_3_10_6,set1_5types_linear,-0.2860532559978909
AILS,Correia_Random_4_3_10_7,set1_3types_linear,-0.16666666666666666
AILS,Correia_Random_4_3_10_7,set1_5types_linear,-0.10206786850477201
AILS,Correia_Random_4_3_10_8,set1_3types_linear,-0.1554133472639415
AILS,Correia_Random_4_3_10_8,set1_5types_linear,-0.09674467250620997
AILS,Correia_Random_4_3_10_9,set1_3types_linear,-0.20491803278688522
AILS,Correia_Random_4_3_10_9,set1_5types_linear,-0.23021963482402752
AILS,Correia_Random_4_3_11_1,set1_3types_linear,-0.1467772814294831
AILS,Correia_Random_4_3_11_1,set1_5types_linear,-0.12297734627831716
AILS,Correia_Random_4_3_11_10,set1_3types_linear,-0.21093848680055577
AILS,Correia_Random_4_3_11_10,set1_5types_linear,-0.10981994636700294
AILS,Correia_Random_4_3_11_2,set1_3types_linear,-0.2556638400202506
AILS,Correia_Random_4_3_11_2,set1_5types_linear,-0.19683026584867075
AILS,Correia_Random_4_3_11_3,set1_3types_linear,-0.3477371516236257
AILS,Correia_Random_4_3_11_3,set1_5types_linear,-0.13174890209248255
AILS,Correia_Random_4_3_11_4,set1_3types_linear,-0.13021830716200689
AILS,Correia_Random_4_3_11_4,set1_5types_linear,-0.10834515671353025
AILS,Correia_Random_4_3_11_5,set1_3types_linear,-0.0984102952308857
