set,rho,bin,cost,method,A,G,T
S1,.90,3,Lin.,AILS,75471.5,-0.04712156740224265,29.75202504
S1,.90,3,Lin.,Vanilla,75576.1,0.09152617063506574,6.36407384
S1,.90,3,Lin.,SFC,75553.6,0.06171543283547929,9.289961510000001
S1,.90,5,Lin.,AILS,75419.3,-0.06996633474147003,27.20532188
S1,.90,5,Lin.,Vanilla,75521.1,0.06511244304861498,14.331613729999999
S1,.90,5,Lin.,SFC,75500.1,0.03725347866871425,10.64034556
S1,.95,3,Lin.,AILS,75802.0,-0.19634806930939852,45.004053160000005
S1,.95,3,Lin.,Vanilla,76003.9,0.06967648761401224,5.772447039999999
S1,.95,3,Lin.,SFC,76009.2,0.07667834692821324,8.637275429999999
S1,.95,5,Lin.,AILS,75751.2,-0.1646610235600258,30.810347110000002
S1,.95,5,Lin.,Vanilla,75924.4,0.06385214882924607,10.88732387
S1,.95,5,Lin.,SFC,75916.1,0.0528961699981198,10.02342894
S1,.99,3,Lin.,AILS,78587.7,-0.18466112325410552,42.04218088
S1,.99,3,Lin.,Vanilla,78793.6,0.07698858093799785,6.581448
S1,.99,3,Lin.,SFC,78925.0,0.24385056020941756,9.70034698
S1,.99,5,Lin.,AILS,77706.9,-0.12352450912202016,23.4353389
S1,.99,5,Lin.,Vanilla,77837.9,0.044863464490295095,8.307766729999999
S1,.99,5,Lin.,SFC,77866.6,0.08172454394655894,11.13696716
S2,.90,7,Conc.,AILS,80755.19,-0.4774246274003767,92.69180476
S2,.90,7,Conc.,Vanilla,81220.03,0.09703970140810979,12.4416832
S2,.90,7,Conc.,SFC,81564.25,0.5222122028455858,9.25776112
S2,.90,7,Conv.,AILS,178990.96,-0.2241353685422912,57.76077402
S2,.90,7,Conv.,Vanilla,179436.66,0.024740306789252473,25.216764650000002
S2,.90,7,Conv.,SFC,179497.29,0.05850233730135287,20.16387752
S2,.90,7,Lin.,AILS,126207.9,-0.3166242374554569,52.30117623
S2,.90,7,Lin.,Vanilla,126669.6,0.04864412496048807,15.32928999
S2,.90,7,Lin.,SFC,126770.5,0.12825392033718733,8.56321723
S2,.95,7,Conc.,AILS,81666.1,-0.7240199293737875,94.57094253
S2,.95,7,Conc.,Vanilla,82351.23,0.11104075781922942,9.422436639999999
S2,.95,7,Conc.,SFC,82894.48,0.7721987811002288,7.910583229999999
S2,.95,7,Conv.,AILS,179186.87,-0.21665278517253497,60.45515201999999
S2,.95,7,Conv.,Vanilla,179608.87,0.01855482978818826,15.37544296
S2,.95,7,Conv.,SFC,179660.37,0.047281245202504485,18.90462646
S2,.95,7,Lin.,AILS,126990.1,-0.33469771599674947,60.83922134
S2,.95,7,Lin.,Vanilla,127477.7,0.048561927800972945,11.913598219999999
S2,.95,7,Lin.,SFC,127562.1,0.1149016337981454,10.92981
S2,.99,7,Conc.,AILS,87503.48,-0.5825254826424298,59.45985238
S2,.99,7,Conc.,Vanilla,88115.69,0.11458274995885395,7.89125056
S2,.99,7,Conc.,SFC,88554.91,0.6141053848673588,11.17798695
S2,.99,7,Conv.,AILS,180210.53,-0.18825732414210605,46.79028435
S2,.99,7,Conv.,Vanilla,180586.96,0.020033518671630498,9.93785738
S2,.99,7,Conv.,SFC,180674.39,0.0684122137481478,12.591250030000001
S2,.99,7,Lin.,AILS,130214.8,-0.17244037400425005,37.23055935
S2,.99,7,Lin.,Vanilla,130504.1,0.04916931498967373,8.84539224
S2,.99,7,Lin.,SFC,130579.0,0.10668822476162396,12.526106789999998
